# Time	Value
50.2	-0.0507225
50.4	-0.0512634
50.6	-0.0515421
50.8	-0.0515563
51	-0.0513068
51.2	-0.0507973
51.4	-0.0500347
51.6	-0.049029
51.8	-0.0477929
52	-0.0463421
52.2	-0.0446944
52.4	-0.0428697
52.6	-0.0408897
52.8	-0.0387767
53	-0.0365538
53.2	-0.0342441
53.4	-0.0318699
53.6	-0.0294527
53.8	-0.0270126
54	-0.0245682
54.2	-0.0221361
54.4	-0.0197313
54.6	-0.0173668
54.8	-0.0150543
55	-0.0128036
55.2	-0.0106236
55.4	-0.00852215
55.6	-0.00650653
55.8	-0.00458338
56	-0.00275974
56.2	-0.00104252
56.4	0.000561239
56.6	0.0020437
56.8	0.00339788
57	0.0046156
57.2	0.00568732
57.4	0.00660473
57.6	0.00735848
57.8	0.00793694
58	0.00833137
58.2	0.00853268
58.4	0.00853216
58.6	0.00832209
58.8	0.00789636
59	0.00725068
59.2	0.00638341
59.4	0.00529485
59.6	0.00398876
59.8	0.00247275
60	0.000757734
60.2	-0.00114326
60.4	-0.00320901
60.6	-0.00542063
60.8	-0.00775176
61	-0.0101772
61.2	-0.0126675
61.4	-0.0151921
61.6	-0.0177201
61.8	-0.0202202
62	-0.0226609
62.2	-0.0250114
62.4	-0.0272419
62.6	-0.0293238
62.8	-0.0312324
63	-0.0329442
63.2	-0.0344398
63.4	-0.0357028
63.6	-0.0367209
63.8	-0.0374856
64	-0.0379929
64.2	-0.0382429
64.4	-0.0382401
64.6	-0.0379928
64.8	-0.0375133
65	-0.0368174
65.2	-0.0359235
65.4	-0.0348527
65.6	-0.0336279
65.8	-0.032273
66	-0.0308127
66.2	-0.0292712
66.4	-0.0276724
66.6	-0.0260385
66.8	-0.0243899
67	-0.0227448
67.2	-0.0211189
67.4	-0.019525
67.6	-0.0179732
67.8	-0.0164713
68	-0.0150244
68.2	-0.0136358
68.4	-0.0123069
68.6	-0.0110382
68.8	-0.00982933
69	-0.00867974
69.2	-0.0075891
69.4	-0.0065575
69.6	-0.00558609
69.8	-0.00467696
70	-0.00383356
70.2	-0.00306051
70.4	-0.00236333
70.6	-0.00174906
70.8	-0.00122604
71	-0.000801559
71.2	-0.000484589
71.4	-0.000284218
71.6	-0.000208818
71.8	-0.000266346
72	-0.000463729
72.2	-0.000806398
72.4	-0.00129841
72.6	-0.00194098
72.8	-0.00273363
73	-0.00367314
73.2	-0.00475277
73.4	-0.00596378
73.6	-0.00729197
73.8	-0.0087254
74	-0.0102427
74.2	-0.0118242
74.4	-0.0134478
74.6	-0.0150906
74.8	-0.016728
75	-0.0183349
75.2	-0.0198865
75.4	-0.0213592
75.6	-0.0227299
75.8	-0.0239778
76	-0.0250853
76.2	-0.0260365
76.4	-0.0268192
76.6	-0.0274239
76.8	-0.0278454
77	-0.0280813
77.2	-0.0281336
77.4	-0.0280074
77.6	-0.0277112
77.8	-0.0272569
78	-0.0266586
78.2	-0.0259328
78.4	-0.0250976
78.6	-0.0241724
78.8	-0.0231768
79	-0.0221308
79.2	-0.0210533
79.4	-0.0199626
79.6	-0.0188751
79.8	-0.0178056
80	-0.0167665
80.2	-0.015768
80.4	-0.0148179
80.6	-0.0139214
80.8	-0.0130818
81	-0.0123003
81.2	-0.0115764
81.4	-0.0109082
81.6	-0.0102933
81.8	-0.00972851
82	-0.00921056
82.2	-0.00873681
82.4	-0.00830523
82.6	-0.00791452
82.8	-0.00756454
83	-0.00725633
83.2	-0.0069921
83.4	-0.00677505
83.6	-0.00660932
83.8	-0.00649964
84	-0.00645109
84.2	-0.00646897
84.4	-0.00655817
84.6	-0.00672333
84.8	-0.00696818
85	-0.00729558
85.2	-0.00770686
85.4	-0.00820206
85.6	-0.00877984
85.8	-0.0094367
86	-0.010167
86.2	-0.0109641
86.4	-0.0118198
86.6	-0.0127223
86.8	-0.0136594
87	-0.0146175
87.2	-0.0155818
87.4	-0.0165369
87.6	-0.0174666
87.8	-0.0183546
88	-0.0191864
88.2	-0.0199476
88.4	-0.0206247
88.6	-0.0212058
88.8	-0.0216814
89	-0.022044
89.2	-0.0222884
89.4	-0.0224121
89.6	-0.0224149
89.8	-0.0222995
90	-0.0220708
90.2	-0.0217361
90.4	-0.0213048
90.6	-0.020788
90.8	-0.0201983
91	-0.0195492
91.2	-0.018855
91.4	-0.0181302
91.6	-0.0173888
91.8	-0.0166445
92	-0.0159099
92.2	-0.0151963
92.4	-0.0145135
92.6	-0.0138698
92.8	-0.0132714
93	-0.0127229
93.2	-0.0122271
93.4	-0.0117852
93.6	-0.0113969
93.8	-0.0110603
94	-0.0107731
94.2	-0.0105319
94.4	-0.0103332
94.6	-0.0101734
94.8	-0.0100489
95	-0.00995658
95.2	-0.00989397
95.4	-0.00985933
95.6	-0.00985183
95.8	-0.00987139
96	-0.00991876
96.2	-0.00999533
96.4	-0.010103
96.6	-0.0102439
96.8	-0.0104204
97	-0.0106346
97.2	-0.0108882
97.4	-0.0111826
97.6	-0.0115181
97.8	-0.0118941
98	-0.0123094
98.2	-0.0127613
98.4	-0.0132464
98.6	-0.0137595
98.8	-0.014295
99	-0.0148461
99.2	-0.0154051
99.4	-0.0159634
99.6	-0.016512
99.8	-0.0170416
100	-0.0175427
100.2	-0.0180061
100.4	-0.0184225
100.6	-0.0187838
100.8	-0.0190831
101	-0.0193142
101.2	-0.0194723
101.4	-0.0195543
101.6	-0.0195584
101.8	-0.0194847
102	-0.0193348
102.2	-0.0191121
102.4	-0.0188215
102.6	-0.0184692
102.8	-0.0180629
103	-0.017611
103.2	-0.017123
103.4	-0.0166088
103.6	-0.0160783
103.8	-0.0155419
104	-0.0150093
104.2	-0.0144898
104.4	-0.0139916
104.6	-0.0135225
104.8	-0.0130886
105	-0.0126951
105.2	-0.0123457
105.4	-0.012043
105.6	-0.0117883
105.8	-0.0115813
106	-0.011421
106.2	-0.0113054
106.4	-0.0112318
106.6	-0.0111971
106.8	-0.0111979
107	-0.0112308
107.2	-0.0112919
107.4	-0.011378
107.6	-0.011486
107.8	-0.0116135
108	-0.0117585
108.2	-0.0119195
108.4	-0.0120955
108.6	-0.0122861
108.8	-0.0124911
109	-0.0127107
109.2	-0.0129451
109.4	-0.0131945
109.6	-0.0134591
109.8	-0.0137384
110	-0.014032
110.2	-0.0143387
110.4	-0.0146568
110.6	-0.0149841
110.8	-0.0153175
111	-0.0156535
111.2	-0.0159881
111.4	-0.0163166
111.6	-0.0166342
111.8	-0.0169359
112	-0.0172163
112.2	-0.0174703
112.4	-0.0176926
112.6	-0.0178783
112.8	-0.018023
113	-0.0181232
113.2	-0.0181759
113.4	-0.0181792
113.6	-0.0181319
113.8	-0.0180338
114	-0.017886
114.2	-0.0176906
114.4	-0.0174506
114.6	-0.0171702
114.8	-0.0168541
115	-0.0165081
115.2	-0.0161385
115.4	-0.0157519
115.6	-0.0153555
115.8	-0.0149562
116	-0.0145611
116.2	-0.014177
116.4	-0.0138103
116.6	-0.0134668
116.8	-0.0131514
117	-0.0128684
117.2	-0.0126212
117.4	-0.0124123
117.6	-0.0122433
117.8	-0.0121149
118	-0.0120268
118.2	-0.0119783
118.4	-0.0119674
118.6	-0.011992
118.8	-0.0120491
119	-0.0121357
119.2	-0.0122486
119.4	-0.0123846
119.6	-0.0125404
119.8	-0.0127132
120	-0.0129
120.2	-0.0130981
120.4	-0.0133053
120.6	-0.0135198
120.8	-0.0137399
121	-0.0139643
121.2	-0.0141917
121.4	-0.0144214
121.6	-0.0146526
121.8	-0.0148844
122	-0.0151161
122.2	-0.0153468
122.4	-0.0155753
122.6	-0.0158003
122.8	-0.0160202
123	-0.0162332
123.2	-0.0164372
123.4	-0.01663
123.6	-0.0168092
123.8	-0.016972
124	-0.0171158
124.2	-0.0172377
124.4	-0.0173354
124.6	-0.0174065
124.8	-0.017449
125	-0.0174611
