# Frequency	Magnitude
0	1.12859e-17
0.00488281	0.000588927
0.00976563	0.000380129
0.0146484	0.000290322
0.0195313	0.00023979
0.0244141	0.000223232
0.0292969	0.000232434
0.0341797	0.000262586
0.0390625	0.000312848
0.0439453	0.000384973
0.0488281	0.000483622
0.0537109	0.000616566
0.0585938	0.000794488
0.0634766	0.00102806
0.0683594	0.00131252
0.0732422	0.00159798
0.078125	0.00184953
0.0830078	0.00211945
0.0878906	0.00137806
0.0927734	0.000677618
0.0976563	0.000557196
0.102539	0.000473303
0.107422	0.00041332
0.112305	0.000365461
0.117188	0.000324725
0.12207	0.000287339
0.126953	0.000250032
0.131836	0.000210426
0.136719	0.000169129
0.141602	0.000137296
0.146484	0.000146267
0.151367	0.000213014
0.15625	0.000311114
0.161133	0.000366653
0.166016	0.00027988
0.170898	0.000192907
0.175781	0.000185477
0.180664	0.000179974
0.185547	0.000171846
0.19043	0.000164875
0.195313	0.000158709
0.200195	0.000153265
0.205078	0.000148333
0.209961	0.000143764
0.214844	0.00013955
0.219727	0.000135936
0.224609	0.000133175
0.229492	0.000130727
0.234375	0.00012698
0.239258	0.000121778
0.244141	0.000118223
0.249023	0.000116686
0.253906	0.000114814
0.258789	0.000112636
0.263672	0.000110661
0.268555	0.00010868
0.273438	0.000106856
0.27832	0.00010508
0.283203	0.000103411
0.288086	0.000101732
0.292969	9.99607e-05
0.297852	9.80339e-05
0.302734	9.59763e-05
0.307617	9.39599e-05
0.3125	9.2182e-05
0.317383	9.05827e-05
0.322266	8.89843e-05
0.327148	8.72938e-05
0.332031	8.56959e-05
0.336914	8.4091e-05
0.341797	8.25397e-05
0.34668	8.09993e-05
0.351563	7.95101e-05
0.356445	7.80759e-05
0.361328	7.66814e-05
0.366211	7.53871e-05
0.371094	7.4138e-05
0.375977	7.29992e-05
0.380859	7.19202e-05
0.385742	7.08491e-05
0.390625	6.97904e-05
0.395508	6.88208e-05
0.400391	6.79418e-05
0.405273	6.71214e-05
0.410156	6.6343e-05
0.415039	6.56395e-05
0.419922	6.4965e-05
0.424805	6.43441e-05
0.429688	6.3768e-05
0.43457	6.32062e-05
0.439453	6.27087e-05
0.444336	6.21906e-05
0.449219	6.17119e-05
0.454102	6.12457e-05
0.458984	6.07835e-05
0.463867	6.0344e-05
0.46875	5.98891e-05
0.473633	5.94126e-05
0.478516	5.89242e-05
0.483398	5.84402e-05
0.488281	5.79297e-05
0.493164	5.74012e-05
0.498047	5.68528e-05
0.50293	5.62971e-05
0.507813	5.57115e-05
0.512695	5.51287e-05
0.517578	5.45202e-05
0.522461	5.39005e-05
0.527344	5.32735e-05
0.532227	5.26283e-05
0.537109	5.19823e-05
0.541992	5.13531e-05
0.546875	5.07246e-05
0.551758	5.01027e-05
0.556641	4.94936e-05
0.561523	4.89054e-05
0.566406	4.83311e-05
0.571289	4.778e-05
0.576172	4.72622e-05
0.581055	4.67636e-05
0.585938	4.63013e-05
0.59082	4.58688e-05
0.595703	4.54692e-05
0.600586	4.51144e-05
0.605469	4.47693e-05
0.610352	4.44567e-05
0.615234	4.4179e-05
0.620117	4.39151e-05
0.625	4.36908e-05
0.629883	4.34892e-05
0.634766	4.32922e-05
0.639648	4.31109e-05
0.644531	4.2944e-05
0.649414	4.2782e-05
0.654297	4.2618e-05
0.65918	4.24509e-05
0.664063	4.22884e-05
0.668945	4.21128e-05
0.673828	4.19309e-05
0.678711	4.17436e-05
0.683594	4.1537e-05
0.688477	4.13108e-05
0.693359	4.10694e-05
0.698242	4.08064e-05
0.703125	4.05307e-05
0.708008	4.02463e-05
0.712891	3.99376e-05
0.717773	3.96188e-05
0.722656	3.92869e-05
0.727539	3.89408e-05
0.732422	3.85857e-05
0.737305	3.8225e-05
0.742188	3.78614e-05
0.74707	3.74953e-05
0.751953	3.71331e-05
0.756836	3.67801e-05
0.761719	3.6441e-05
0.766602	3.61043e-05
0.771484	3.57818e-05
0.776367	3.54761e-05
0.78125	3.5188e-05
0.786133	3.49197e-05
0.791016	3.46783e-05
0.795898	3.44554e-05
0.800781	3.42526e-05
0.805664	3.40773e-05
0.810547	3.39197e-05
0.81543	3.37804e-05
0.820313	3.36582e-05
0.825195	3.35562e-05
0.830078	3.34678e-05
0.834961	3.33907e-05
0.839844	3.33234e-05
0.844727	3.32639e-05
0.849609	3.32058e-05
0.854492	3.31463e-05
0.859375	3.30866e-05
0.864258	3.30207e-05
0.869141	3.29507e-05
0.874023	3.28712e-05
0.878906	3.278e-05
0.883789	3.2678e-05
0.888672	3.256e-05
0.893555	3.24279e-05
0.898438	3.22804e-05
0.90332	3.21177e-05
0.908203	3.19409e-05
0.913086	3.17512e-05
0.917969	3.15519e-05
0.922852	3.13397e-05
0.927734	3.11121e-05
0.932617	3.08795e-05
0.9375	3.06392e-05
0.942383	3.03941e-05
0.947266	3.01495e-05
0.952148	2.99063e-05
0.957031	2.9666e-05
0.961914	2.94327e-05
0.966797	2.92102e-05
0.97168	2.89946e-05
0.976563	2.87887e-05
0.981445	2.85972e-05
0.986328	2.84211e-05
0.991211	2.82628e-05
0.996094	2.81235e-05
1.00098	2.80013e-05
1.00586	2.7895e-05
1.01074	2.78055e-05
1.01563	2.77306e-05
1.02051	2.76712e-05
1.02539	2.76233e-05
1.03027	2.75848e-05
1.03516	2.75552e-05
1.04004	2.75343e-05
1.04492	2.75218e-05
1.0498	2.75107e-05
1.05469	2.74967e-05
1.05957	2.74818e-05
1.06445	2.74615e-05
1.06934	2.74339e-05
1.07422	2.74007e-05
1.0791	2.7359e-05
1.08398	2.7306e-05
1.08887	2.72385e-05
1.09375	2.71591e-05
1.09863	2.70688e-05
1.10352	2.69677e-05
1.1084	2.68518e-05
1.11328	2.67197e-05
1.11816	2.65765e-05
1.12305	2.6425e-05
1.12793	2.62652e-05
1.13281	2.60976e-05
1.1377	2.59226e-05
1.14258	2.57436e-05
1.14746	2.55638e-05
1.15234	2.53836e-05
1.15723	2.52069e-05
1.16211	2.50353e-05
1.16699	2.48684e-05
1.17188	2.47079e-05
1.17676	2.45573e-05
1.18164	2.44208e-05
1.18652	2.4298e-05
1.19141	2.41881e-05
1.19629	2.40896e-05
1.20117	2.40055e-05
1.20605	2.39387e-05
1.21094	2.3886e-05
1.21582	2.3845e-05
1.2207	2.38161e-05
1.22559	2.37978e-05
1.23047	2.37881e-05
1.23535	2.37879e-05
1.24023	2.37945e-05
1.24512	2.38045e-05
1.25	2.38156e-05
1.25488	2.38246e-05
1.25977	2.38314e-05
1.26465	2.38378e-05
1.26953	2.38391e-05
1.27441	2.38299e-05
1.2793	2.38111e-05
1.28418	2.37829e-05
1.28906	2.3745e-05
1.29395	2.36965e-05
1.29883	2.36365e-05
1.30371	2.35652e-05
1.30859	2.34811e-05
1.31348	2.33852e-05
1.31836	2.32811e-05
1.32324	2.31679e-05
1.32813	2.30448e-05
1.33301	2.2914e-05
1.33789	2.27781e-05
1.34277	2.26401e-05
1.34766	2.25007e-05
1.35254	2.23615e-05
1.35742	2.22236e-05
1.3623	2.20881e-05
1.36719	2.19573e-05
1.37207	2.1833e-05
1.37695	2.17178e-05
1.38184	2.16133e-05
1.38672	2.15199e-05
1.3916	2.14381e-05
1.39648	2.13691e-05
1.40137	2.13132e-05
1.40625	2.12691e-05
1.41113	2.12366e-05
1.41602	2.12156e-05
1.4209	2.12054e-05
1.42578	2.12056e-05
1.43066	2.12143e-05
1.43555	2.12299e-05
1.44043	2.12504e-05
1.44531	2.12732e-05
1.4502	2.12972e-05
1.45508	2.13205e-05
1.45996	2.13419e-05
1.46484	2.136e-05
1.46973	2.13728e-05
1.47461	2.13789e-05
1.47949	2.13775e-05
1.48438	2.13674e-05
1.48926	2.1347e-05
1.49414	2.1316e-05
1.49902	2.12753e-05
1.50391	2.12251e-05
1.50879	2.11641e-05
1.51367	2.10927e-05
1.51855	2.10121e-05
1.52344	2.09237e-05
1.52832	2.08271e-05
1.5332	2.07229e-05
1.53809	2.06133e-05
1.54297	2.05003e-05
1.54785	2.03862e-05
1.55273	2.02723e-05
1.55762	2.01597e-05
1.5625	2.00497e-05
1.56738	1.99433e-05
1.57227	1.98422e-05
1.57715	1.97491e-05
1.58203	1.96656e-05
1.58691	1.95927e-05
1.5918	1.95303e-05
1.59668	1.94789e-05
1.60156	1.94394e-05
1.60645	1.94114e-05
1.61133	1.93945e-05
1.61621	1.93875e-05
1.62109	1.93897e-05
1.62598	1.94005e-05
1.63086	1.9419e-05
1.63574	1.94447e-05
1.64063	1.94758e-05
1.64551	1.95089e-05
1.65039	1.95421e-05
