# Time	Value
50.2	-0.050703
50.4	-0.0510622
50.6	-0.0511617
50.8	-0.0510014
51	-0.050584
51.2	-0.0499153
51.4	-0.0490042
51.6	-0.0478622
51.8	-0.046504
52	-0.0449463
52.2	-0.0432081
52.4	-0.0413101
52.6	-0.0392741
52.8	-0.0371224
53	-0.0348778
53.2	-0.0325623
53.4	-0.0301974
53.6	-0.0278033
53.8	-0.0253987
54	-0.0230006
54.2	-0.0206243
54.4	-0.0182834
54.6	-0.0159896
54.8	-0.0137536
55	-0.0115845
55.2	-0.0094904
55.4	-0.00747868
55.6	-0.00555662
55.8	-0.00373101
56	-0.00200877
56.2	-0.000397189
56.4	0.00109619
56.6	0.00246362
56.8	0.00369746
57	0.00478902
57.2	0.00572846
57.4	0.0065072
57.6	0.00711596
57.8	0.00754343
58	0.00778075
58.2	0.00781981
58.4	0.007653
58.6	0.00727408
58.8	0.00667886
59	0.00586462
59.2	0.00483174
59.4	0.00358396
59.6	0.00212779
59.8	0.000473581
60	-0.00136564
60.2	-0.00337008
60.4	-0.00552102
60.6	-0.00779421
60.8	-0.0101629
61	-0.0126009
61.2	-0.0150776
61.4	-0.0175623
61.6	-0.0200242
61.8	-0.0224324
62	-0.0247566
62.2	-0.0269669
62.4	-0.0290358
62.6	-0.0309384
62.8	-0.032651
63	-0.0341542
63.2	-0.0354313
63.4	-0.0364695
63.6	-0.0372599
63.8	-0.0377981
64	-0.0380834
64.2	-0.0381194
64.4	-0.0379139
64.6	-0.0374782
64.8	-0.0368272
65	-0.0359787
65.2	-0.0349529
65.4	-0.0337719
65.6	-0.0324589
65.8	-0.0310379
66	-0.0295329
66.2	-0.0279672
66.4	-0.0263626
66.6	-0.0247396
66.8	-0.0231162
67	-0.0215081
67.2	-0.0199285
67.4	-0.0183877
67.6	-0.0168936
67.8	-0.015452
68	-0.0140664
68.2	-0.0127387
68.4	-0.0114698
68.6	-0.0102599
68.8	-0.00910835
69	-0.00801554
69.2	-0.00698157
69.4	-0.00600785
69.6	-0.00509654
69.8	-0.00425114
70	-0.00347646
70.2	-0.00277777
70.4	-0.00216214
70.6	-0.00163734
70.8	-0.00121219
71	-0.00089417
71.2	-0.000692381
71.4	-0.000615374
71.6	-0.00067094
71.8	-0.00086592
72	-0.00120568
72.2	-0.0016934
72.4	-0.00233102
72.6	-0.00311767
72.8	-0.00404981
73	-0.00512062
73.2	-0.00632125
73.4	-0.00763784
73.6	-0.00905674
73.8	-0.010559
74	-0.0121237
74.2	-0.0137291
74.4	-0.0153521
74.6	-0.0169687
74.8	-0.0185545
75	-0.0200849
75.2	-0.0215367
75.4	-0.0228865
75.6	-0.024115
75.8	-0.0252046
76	-0.0261397
76.2	-0.0269084
76.4	-0.0275017
76.6	-0.0279143
76.8	-0.0281444
77	-0.0281937
77.2	-0.0280675
77.4	-0.0277743
77.6	-0.0273255
77.8	-0.0267353
78	-0.0260198
78.2	-0.0251967
78.4	-0.024285
78.6	-0.0233039
78.8	-0.0222728
79	-0.0212104
79.2	-0.0201343
79.4	-0.0190606
79.6	-0.0180038
79.8	-0.016976
80	-0.0159871
80.2	-0.0150448
80.4	-0.0141542
80.6	-0.0133187
80.8	-0.0125394
81	-0.0118161
81.2	-0.0111472
81.4	-0.0105305
81.6	-0.00996326
81.8	-0.00944248
82	-0.0089659
82.2	-0.00853181
82.4	-0.00813925
82.6	-0.00778845
82.8	-0.00748058
83	-0.00721803
83.2	-0.00700413
83.4	-0.00684308
83.6	-0.00673959
83.8	-0.00669868
84	-0.00672553
84.2	-0.00682488
84.4	-0.00700115
84.6	-0.00725791
84.8	-0.00759759
85	-0.00802123
85.2	-0.00852858
85.4	-0.00911801
85.6	-0.00978532
85.8	-0.0105247
86	-0.0113291
86.2	-0.0121898
86.4	-0.0130949
86.6	-0.0140319
86.8	-0.0149869
87	-0.0159451
87.2	-0.016891
87.4	-0.0178083
87.6	-0.0186814
87.8	-0.0194961
88	-0.0202383
88.2	-0.0208947
88.4	-0.0214541
88.6	-0.0219077
88.8	-0.0222482
89	-0.0224713
89.2	-0.0225749
89.4	-0.0225594
89.6	-0.0224278
89.8	-0.0221854
90	-0.0218399
90.2	-0.0214007
90.4	-0.0208791
90.6	-0.0202876
90.8	-0.0196396
91	-0.0189491
91.2	-0.0182303
91.4	-0.0174969
91.6	-0.0167621
91.8	-0.0160379
92	-0.0153353
92.2	-0.0146636
92.4	-0.0140305
92.6	-0.0134421
92.8	-0.0129025
93	-0.0124142
93.2	-0.0119782
93.4	-0.0115942
93.6	-0.0112604
93.8	-0.0109743
94	-0.0107331
94.2	-0.0105332
94.4	-0.0103716
94.6	-0.010245
94.8	-0.0101506
95	-0.0100863
95.2	-0.0100509
95.4	-0.0100438
95.6	-0.0100651
95.8	-0.0101159
96	-0.0101976
96.2	-0.0103122
96.4	-0.0104618
96.6	-0.0106485
96.8	-0.0108743
97	-0.0111406
97.2	-0.0114485
97.4	-0.0117977
97.6	-0.0121875
97.8	-0.012616
98	-0.0130803
98.2	-0.0135762
98.4	-0.0140985
98.6	-0.0146409
98.8	-0.0151964
99	-0.015757
99.2	-0.016314
99.4	-0.0168581
99.6	-0.0173801
99.8	-0.0178707
100	-0.0183206
100.2	-0.0187208
100.4	-0.019064
100.6	-0.0193434
100.8	-0.0195534
101	-0.0196897
101.2	-0.0197497
101.4	-0.0197325
101.6	-0.0196384
101.8	-0.0194698
102	-0.0192304
102.2	-0.0189256
102.4	-0.018562
102.6	-0.0181474
102.8	-0.0176903
103	-0.0172003
103.2	-0.0166872
103.4	-0.0161608
103.6	-0.015631
103.8	-0.0151074
104	-0.0145986
104.2	-0.0141126
104.4	-0.0136565
104.6	-0.0132361
104.8	-0.012856
105	-0.0125194
105.2	-0.0122286
105.4	-0.0119844
105.6	-0.0117866
105.8	-0.0116336
106	-0.0115236
106.2	-0.0114539
106.4	-0.0114216
106.6	-0.0114235
106.8	-0.0114562
107	-0.0115163
107.2	-0.0116009
107.4	-0.0117074
107.6	-0.0118337
107.8	-0.0119779
108	-0.0121391
108.2	-0.0123164
108.4	-0.0125094
108.6	-0.0127182
108.8	-0.0129429
109	-0.0131836
109.2	-0.0134404
109.4	-0.013713
109.6	-0.0140009
109.8	-0.0143032
110	-0.0146184
110.2	-0.0149444
110.4	-0.0152785
110.6	-0.0156174
110.8	-0.015957
111	-0.0162932
111.2	-0.016621
111.4	-0.0169356
111.6	-0.0172317
111.8	-0.0175042
112	-0.0177476
112.2	-0.0179572
112.4	-0.0181281
112.6	-0.0182562
112.8	-0.0183385
113	-0.0183726
113.2	-0.0183568
113.4	-0.0182905
113.6	-0.0181741
113.8	-0.0180091
114	-0.0177981
114.2	-0.0175446
114.4	-0.017253
114.6	-0.0169284
114.8	-0.0165769
115	-0.0162047
115.2	-0.0158186
115.4	-0.0154256
115.6	-0.0150326
115.8	-0.0146463
116	-0.0142733
116.2	-0.0139195
116.4	-0.0135903
116.6	-0.0132902
116.8	-0.013023
117	-0.0127916
117.2	-0.0125981
117.4	-0.0124438
117.6	-0.0123288
117.8	-0.0122529
118	-0.0122148
118.2	-0.0122127
118.4	-0.012244
118.6	-0.0123061
118.8	-0.0123961
119	-0.0125108
119.2	-0.0126473
119.4	-0.0128026
119.6	-0.0129741
119.8	-0.0131591
120	-0.0133553
120.2	-0.0135607
120.4	-0.0137736
120.6	-0.0139925
120.8	-0.0142163
121	-0.0144438
121.2	-0.0146741
121.4	-0.0149065
121.6	-0.01514
121.8	-0.0153737
122	-0.0156063
122.2	-0.0158366
122.4	-0.0160629
122.6	-0.0162833
122.8	-0.0164959
123	-0.0166984
123.2	-0.0168882
123.4	-0.0170628
123.6	-0.0172195
123.8	-0.0173554
124	-0.0174679
124.2	-0.0175546
