# Time	U	V	U_magnitude
25.6	0.00969322	0.191393	0.191638
25.8	0.0117308	0.190392	0.190753
26	0.0137046	0.18931	0.189806
26.2	0.015612	0.188178	0.188824
26.4	0.0174776	0.186986	0.187802
26.6	0.0193302	0.185701	0.186704
26.8	0.0211769	0.18429	0.185503
27	0.0229987	0.182757	0.184199
27.2	0.0247641	0.181135	0.18282
27.4	0.0264547	0.179466	0.181405
27.6	0.0280759	0.177768	0.179971
27.8	0.0296509	0.176028	0.178508
28	0.031199	0.174215	0.176987
28.2	0.0327215	0.172309	0.175388
28.4	0.0341989	0.170317	0.173717
28.6	0.0356077	0.168274	0.172
28.8	0.0369363	0.166209	0.170264
29	0.0381935	0.164132	0.168517
29.2	0.0393997	0.162024	0.166745
29.4	0.0405688	0.159857	0.164924
29.6	0.0416978	0.15762	0.163042
29.8	0.042769	0.155328	0.161108
30	0.0437628	0.153007	0.159143
30.2	0.0446738	0.150681	0.157164
30.4	0.0455126	0.148348	0.155172
30.6	0.046296	0.145988	0.153153
30.8	0.0470329	0.14358	0.151087
31	0.0477173	0.141123	0.148972
31.2	0.0483336	0.138634	0.146818
31.4	0.0488678	0.136137	0.144642
31.6	0.0493186	0.133645	0.142454
31.8	0.0496973	0.131151	0.140251
32	0.0500184	0.128636	0.138019
32.2	0.0502877	0.126089	0.135748
32.4	0.0504979	0.123515	0.133439
32.6	0.0506349	0.120932	0.131104
32.8	0.0506892	0.118358	0.128756
33	0.0506636	0.1158	0.126398
33.2	0.0505707	0.113246	0.124025
33.4	0.0504227	0.110684	0.121628
33.6	0.0502224	0.108108	0.119205
33.8	0.0499615	0.105529	0.116758
34	0.0496286	0.102962	0.114299
34.2	0.0492189	0.100421	0.111834
34.4	0.0487385	0.0979047	0.109365
34.6	0.0482004	0.0954025	0.106887
34.8	0.0476142	0.0929053	0.104396
35	0.04698	0.0904141	0.101891
35.2	0.0462893	0.0879404	0.0993791
35.4	0.0455335	0.0854978	0.0968667
35.6	0.0447119	0.0830921	0.0943582
35.8	0.0438336	0.0807191	0.0918529
36	0.0429105	0.0783693	0.089348
36.2	0.0419495	0.0760384	0.0868423
36.4	0.0409476	0.0737308	0.0843383
36.6	0.039897	0.0714574	0.0818409
36.8	0.0387924	0.0692269	0.079355
37	0.0376369	0.0670403	0.0768826
37.2	0.0364406	0.0648916	0.0744234
37.4	0.0352138	0.0627741	0.0719764
37.6	0.0339594	0.0606869	0.0695423
37.8	0.032673	0.058636	0.0671245
38	0.0313478	0.0566298	0.0647272
38.2	0.0299819	0.0546728	0.0623541
38.4	0.0285814	0.0527627	0.0600066
38.6	0.027156	0.0508937	0.0576855
38.8	0.025713	0.0490618	0.0553915
39	0.0242522	0.0472685	0.053127
39.2	0.0227682	0.0455198	0.0508964
39.4	0.0212563	0.043821	0.0487044
39.6	0.019718	0.0421734	0.0465553
39.8	0.0181605	0.0405733	0.0444522
40	0.0165923	0.039016	0.0423975
40.2	0.0150172	0.0374998	0.040395
40.4	0.0134327	0.0360276	0.0384503
40.6	0.0118337	0.0346041	0.0365716
40.8	0.0102182	0.0332322	0.0347677
41	0.00858995	0.0319108	0.0330467
41.2	0.00695657	0.0306362	0.0314161
41.4	0.00532383	0.0294054	0.0298835
41.6	0.00369284	0.0282185	0.0284591
41.8	0.00205969	0.0270784	0.0271567
42	0.000420965	0.0259884	0.0259918
42.2	-0.00122277	0.0249494	0.0249794
42.4	-0.00286651	0.0239594	0.0241303
42.6	-0.00450451	0.0230155	0.0234522
42.8	-0.00613365	0.022116	0.0229508
43	-0.00775576	0.021262	0.0226324
43.2	-0.00937448	0.0204561	0.0225019
43.4	-0.010992	0.0197001	0.0225592
43.6	-0.0126059	0.0189935	0.0227961
43.8	-0.0142115	0.0183342	0.0231972
44	-0.0158046	0.0177202	0.0237443
44.2	-0.0173845	0.0171509	0.0244208
44.4	-0.0189537	0.0166276	0.0252135
44.6	-0.0205151	0.016152	0.0261105
44.8	-0.0220685	0.0157247	0.0270977
45	-0.0236108	0.0153449	0.0281591
45.2	-0.0251378	0.0150105	0.0292784
45.4	-0.0266473	0.0147202	0.0304428
45.6	-0.0281399	0.0144741	0.0316442
45.8	-0.0296179	0.0142733	0.0328778
46	-0.0310825	0.0141189	0.0341389
46.2	-0.0325322	0.0140106	0.035421
46.4	-0.0339637	0.0139473	0.0367159
46.6	-0.0353737	0.0139274	0.0380167
46.8	-0.0367614	0.0139501	0.0393193
47	-0.0381279	0.0140157	0.0406224
47.2	-0.0394746	0.014125	0.0419257
47.4	-0.0408012	0.0142784	0.0432274
47.6	-0.0421053	0.0144752	0.044524
47.8	-0.0433837	0.0147142	0.0458111
48	-0.0446346	0.0149941	0.0470858
48.2	-0.0458578	0.0153145	0.0483474
48.4	-0.047054	0.0156755	0.0495964
48.6	-0.0482233	0.016077	0.0508327
48.8	-0.0493648	0.0165192	0.0520554
49	-0.0504757	0.0170011	0.0532619
49.2	-0.0515537	0.0175216	0.0544499
49.4	-0.0525975	0.0180796	0.055618
49.6	-0.053607	0.0186741	0.0567664
49.8	-0.0545828	0.0193051	0.0578962
50	-0.0555244	0.0199729	0.0590075
50.2	-0.0564299	0.020677	0.0600988
50.4	-0.0572965	0.0214156	0.0611679
50.6	-0.0581228	0.0221872	0.0622136
50.8	-0.0589083	0.022991	0.0632358
51	-0.0596528	0.0238263	0.0642351
51.2	-0.0603563	0.0246923	0.0652119
51.4	-0.0610175	0.025589	0.066166
51.6	-0.0616344	0.0265149	0.0670957
51.8	-0.0622051	0.027468	0.0679997
52	-0.0627286	0.028447	0.0688774
52.2	-0.0632045	0.0294503	0.0697289
52.4	-0.0636327	0.030477	0.0705548
52.6	-0.0640127	0.0315264	0.071355
52.8	-0.0643428	0.0325969	0.0721287
53	-0.0646215	0.0336867	0.0728748
53.2	-0.0648476	0.0347937	0.0735922
53.4	-0.0650204	0.0359158	0.0742805
53.6	-0.0651398	0.0370513	0.07494
53.8	-0.0652057	0.038199	0.0755707
54	-0.0652171	0.0393571	0.0761726
54.2	-0.0651731	0.0405237	0.0767444
54.4	-0.0650725	0.0416962	0.0772852
54.6	-0.0649147	0.042872	0.0777941
54.8	-0.0646997	0.044049	0.0782711
55	-0.0644277	0.045225	0.0787162
55.2	-0.0640986	0.0463984	0.0791293
55.4	-0.063712	0.0475668	0.0795098
55.6	-0.0632672	0.0487276	0.0798569
55.8	-0.062764	0.0498779	0.0801694
56	-0.0622027	0.0510151	0.080447
56.2	-0.0615838	0.0521366	0.0806895
56.4	-0.0609079	0.0532405	0.080897
56.6	-0.0601752	0.0543243	0.081069
56.8	-0.0593861	0.0553855	0.0812051
57	-0.0585408	0.0564211	0.0813041
57.2	-0.0576398	0.0574283	0.0813656
57.4	-0.0566843	0.0584044	0.0813891
57.6	-0.0556755	0.0593471	0.0813746
57.8	-0.0546144	0.0602541	0.0813222
58	-0.0535022	0.061123	0.0812312
58.2	-0.0523398	0.0619511	0.0811011
58.4	-0.0511285	0.0627355	0.0809313
58.6	-0.0498697	0.0634737	0.0807211
58.8	-0.0485655	0.0641633	0.0804707
59	-0.0472176	0.0648023	0.0801801
59.2	-0.0458281	0.0653885	0.0798491
59.4	-0.0443988	0.0659195	0.0794773
59.6	-0.0429316	0.0663929	0.0790642
59.8	-0.0414287	0.0668064	0.0786094
60	-0.0398926	0.067158	0.0781128
60.2	-0.0383261	0.0674458	0.0775746
60.4	-0.0367318	0.0676681	0.0769948
60.6	-0.0351126	0.0678233	0.0763734
60.8	-0.0334711	0.0679095	0.0757101
61	-0.0318101	0.0679249	0.0750045
61.2	-0.030133	0.0678681	0.0742568
61.4	-0.0284429	0.0677377	0.073467
61.6	-0.0267436	0.0675328	0.0726354
61.8	-0.0250383	0.0672524	0.0717621
62	-0.0233307	0.0668955	0.0708472
62.2	-0.0216242	0.0664611	0.0698905
62.4	-0.0199225	0.0659486	0.0688921
62.6	-0.0182295	0.0653575	0.0678522
62.8	-0.0165493	0.0646877	0.0667711
63	-0.014886	0.0639392	0.0656492
63.2	-0.0132435	0.0631121	0.0644866
63.4	-0.0116259	0.0622065	0.0632836
63.6	-0.0100374	0.0612227	0.0620401
63.8	-0.00848203	0.0601614	0.0607564
64	-0.00696437	0.0590235	0.059433
64.2	-0.0054888	0.0578101	0.0580701
