# Time	U	V	U_magnitude
0	-1.84949e-10	2.17965e-10	2.85858e-10
0.2	-0.00718925	4.47116e-05	0.00718939
0.4	-0.00899784	0.000650182	0.0090213
0.6	-0.00832257	0.000167661	0.00832425
0.8	-0.0120076	0.00115379	0.0120629
1	-0.0106762	0.00116263	0.0107394
1.2	-0.0128505	0.00155997	0.0129449
1.4	-0.0128863	0.0023975	0.0131074
1.6	-0.0136844	0.00249243	0.0139095
1.8	-0.014562	0.00363588	0.0150091
2	-0.0150505	0.00402791	0.0155802
2.2	-0.016045	0.00509574	0.0168348
2.4	-0.0167708	0.00597425	0.0178031
2.6	-0.0176965	0.00699859	0.0190301
2.8	-0.0186698	0.00822921	0.020403
3	-0.0196296	0.00939753	0.0217632
3.2	-0.0207229	0.0108298	0.0233821
3.4	-0.0218015	0.012255	0.0250098
3.6	-0.0229539	0.0138529	0.0268101
3.8	-0.0241467	0.015548	0.0287194
4	-0.0253564	0.0173504	0.0307243
4.2	-0.0266211	0.0192981	0.0328801
4.4	-0.027888	0.0213502	0.0351223
4.6	-0.0291867	0.0235496	0.0375027
4.8	-0.0304886	0.0258775	0.03999
5	-0.031792	0.0283465	0.042594
5.2	-0.0330907	0.0309631	0.0453179
5.4	-0.0343669	0.0337232	0.0481491
5.6	-0.0356185	0.0366382	0.0510983
5.8	-0.0368274	0.0397041	0.0541542
6	-0.0379858	0.0429259	0.0573197
6.2	-0.0390799	0.0463035	0.0605908
6.4	-0.0400967	0.0498358	0.0639636
6.6	-0.0410247	0.0535241	0.0674378
6.8	-0.0418501	0.0573673	0.0710101
7	-0.0425623	0.061372	0.0746865
7.2	-0.0431505	0.0655544	0.0784815
7.4	-0.0436056	0.0699524	0.0824305
7.6	-0.0439164	0.0746333	0.0865956
7.8	-0.0440652	0.0796921	0.0910636
8	-0.0440218	0.0852369	0.0959336
8.2	-0.0437401	0.0913565	0.101288
8.4	-0.0431612	0.0980853	0.107162
8.6	-0.0422216	0.105376	0.11352
8.8	-0.0408657	0.113093	0.12025
9	-0.0390574	0.121031	0.127177
9.2	-0.036787	0.128942	0.134087
9.4	-0.0340723	0.136575	0.140761
9.6	-0.030955	0.143694	0.14699
9.8	-0.0274955	0.150106	0.152603
10	-0.0237644	0.155664	0.157467
10.2	-0.0198373	0.160271	0.161494
10.4	-0.0157889	0.163878	0.164637
10.6	-0.0116887	0.166475	0.166884
10.8	-0.0075983	0.168085	0.168257
11	-0.00356988	0.168762	0.1688
11.2	0.000352166	0.16858	0.16858
11.4	0.00413454	0.167631	0.167682
11.6	0.00774498	0.166012	0.166192
11.8	0.0111653	0.163833	0.164213
12	0.0143823	0.161191	0.161832
12.2	0.0173931	0.158191	0.159144
12.4	0.0201973	0.154922	0.156233
12.6	0.0228037	0.151464	0.153171
12.8	0.0252227	0.147888	0.150023
13	0.0274659	0.14425	0.146841
13.2	0.029548	0.140595	0.143667
13.4	0.0314836	0.136957	0.140529
13.6	0.0332852	0.133356	0.137447
13.8	0.0349647	0.129809	0.134435
14	0.0365314	0.126321	0.131497
14.2	0.0379922	0.122893	0.128631
14.4	0.0393525	0.11952	0.125832
14.6	0.0406157	0.116196	0.12309
14.8	0.0417835	0.112913	0.120396
15	0.0428545	0.109662	0.117738
15.2	0.0438258	0.106433	0.115103
15.4	0.0446953	0.10322	0.112481
15.6	0.0454597	0.100015	0.109862
15.8	0.0461153	0.0968136	0.107236
16	0.0466582	0.0936106	0.104594
16.2	0.0470841	0.0904035	0.10193
16.4	0.0473894	0.0871911	0.0992373
16.6	0.0475702	0.0839734	0.0965114
16.8	0.0476237	0.0807518	0.093749
17	0.0475472	0.0775289	0.0909476
17.2	0.0473386	0.0743078	0.0881055
17.4	0.0469967	0.0710931	0.0852228
17.6	0.0465204	0.0678896	0.0822991
17.8	0.0459099	0.064703	0.079336
18	0.0451656	0.0615394	0.076335
18.2	0.0442884	0.0584049	0.073298
18.4	0.0432807	0.0553063	0.0702282
18.6	0.0421446	0.0522508	0.067129
18.8	0.0408822	0.0492451	0.0640034
19	0.0394975	0.0462961	0.0608555
19.2	0.0379943	0.0434096	0.0576885
19.4	0.0363777	0.0405921	0.0545073
19.6	0.0346532	0.0378506	0.0513178
19.8	0.0328247	0.0351913	0.0481237
20	0.0308982	0.0326197	0.0449305
20.2	0.0288805	0.0301421	0.0417448
20.4	0.0267784	0.0277635	0.0385732
20.6	0.024598	0.0254889	0.0354224
20.8	0.0223465	0.0233233	0.0323008
21	0.0200315	0.0212712	0.0292186
21.2	0.0176613	0.0193365	0.0261882
21.4	0.0152422	0.0175223	0.023224
21.6	0.0127829	0.0158324	0.0203486
21.8	0.0102927	0.0142701	0.0175948
22	0.0077789	0.0128382	0.015011
22.2	0.00525005	0.0115373	0.0126757
22.4	0.0027159	0.0103686	0.0107184
22.6	0.000184343	0.00933447	0.00933629
22.8	-0.00233466	0.00843521	0.00875234
23	-0.00483163	0.00767102	0.00906583
23.2	-0.007297	0.00704127	0.0101403
23.4	-0.00972289	0.00654477	0.0117204
23.6	-0.012102	0.00617973	0.0135885
23.8	-0.0144261	0.00594376	0.0156026
24	-0.0166887	0.00583402	0.0176791
24.2	-0.0188842	0.0058469	0.0197687
24.4	-0.021006	0.00597867	0.0218403
24.6	-0.0230492	0.0062253	0.023875
24.8	-0.0250094	0.00658196	0.025861
25	-0.0268816	0.0070438	0.0277891
25.2	-0.028662	0.00760619	0.0296541
25.4	-0.0303478	0.00826386	0.0314528
25.6	-0.0319352	0.00901052	0.0331821
25.8	-0.0334213	0.0098416	0.0348403
26	-0.0348042	0.0107517	0.0364271
26.2	-0.0360818	0.0117354	0.0379423
26.4	-0.0372514	0.0127843	0.039384
26.6	-0.0383109	0.0138942	0.0407526
26.8	-0.0392594	0.0150595	0.0420487
27	-0.0400959	0.0162747	0.043273
27.2	-0.0408198	0.0175342	0.0444264
27.4	-0.0414292	0.0188311	0.0455081
27.6	-0.0419234	0.0201587	0.0465182
27.8	-0.0423024	0.0215116	0.0474578
28	-0.0425663	0.0228842	0.0483278
28.2	-0.0427146	0.0242708	0.0491285
28.4	-0.0427478	0.0256641	0.04986
28.6	-0.0426665	0.0270577	0.0505227
28.8	-0.0424717	0.0284454	0.0511174
29	-0.042164	0.0298212	0.051644
29.2	-0.0417447	0.0311778	0.0521025
29.4	-0.0412158	0.0325081	0.052493
29.6	-0.0405795	0.0338056	0.0528159
29.8	-0.039838	0.0350634	0.0530708
30	-0.0389943	0.0362743	0.0532577
30.2	-0.0380521	0.0374312	0.0533766
30.4	-0.0370151	0.0385276	0.0534275
30.6	-0.0358875	0.0395566	0.0534101
30.8	-0.0346737	0.0405115	0.053324
31	-0.0333795	0.0413854	0.053169
31.2	-0.0320109	0.0421723	0.0529453
31.4	-0.0305746	0.0428666	0.0526531
31.6	-0.0290769	0.0434627	0.0522922
31.8	-0.0275253	0.0439551	0.0518622
32	-0.0259282	0.0443389	0.0513635
32.2	-0.024294	0.0446106	0.0507967
32.4	-0.0226309	0.0447664	0.0501616
32.6	-0.0209486	0.0448027	0.0494583
32.8	-0.0192574	0.0447175	0.0486878
33	-0.0175667	0.04451	0.0478512
33.2	-0.0158869	0.0441785	0.0469482
33.4	-0.014229	0.0437233	0.0459803
33.6	-0.0126038	0.043146	0.0449492
33.8	-0.0110208	0.0424478	0.0438551
34	-0.00949117	0.0416315	0.0426997
34.2	-0.00802538	0.0407015	0.0414851
34.4	-0.00663214	0.039663	0.0402137
34.6	-0.00532173	0.0385207	0.0388865
34.8	-0.00410352	0.0372816	0.0375068
35	-0.00298629	0.0359527	0.0360765
35.2	-0.0019769	0.0345422	0.0345987
35.4	-0.00108242	0.0330577	0.0330754
35.6	-0.000309394	0.0315088	0.0315103
35.8	0.000336286	0.0299051	0.029907
36	0.000850444	0.0282561	0.0282689
36.2	0.0012295	0.0265723	0.0266007
36.4	0.00147054	0.0248642	0.0249077
36.6	0.00157158	0.0231423	0.0231956
36.8	0.00153164	0.0214173	0.021472
37	0.00135044	0.0197004	0.0197466
37.2	0.00102845	0.0180022	0.0180316
37.4	0.000567196	0.016334	0.0163439
37.6	-3.09571e-05	0.0147072	0.0147072
37.8	-0.000762808	0.0131325	0.0131547
38	-0.00162406	0.0116215	0.0117344
38.2	-0.00260967	0.0101854	0.0105144
38.4	-0.00371322	0.00883707	0.0095855
38.6	-0.00492565	0.00758531	0.00904428
38.8	-0.00623834	0.00644159	0.00896722
39	-0.00764133	0.00541685	0.00936654
39.2	-0.00912373	0.0045202	0.0101821
39.4	-0.0106712	0.00376128	0.0113146
39.6	-0.0122702	0.00314823	0.0126677
39.8	-0.0139074	0.00268651	0.0141645
40	-0.0155654	0.00238186	0.0157466
40.2	-0.0172278	0.00223953	0.0173727
40.4	-0.0188777	0.00226013	0.0190125
40.6	-0.0204976	0.00244508	0.0206429
40.8	-0.0220704	0.00279313	0.0222465
41	-0.0235773	0.00329794	0.0238069
41.2	-0.0250033	0.00395561	0.0253143
41.4	-0.0263331	0.00475899	0.0267596
41.6	-0.0275516	0.00569799	0.0281347
41.8	-0.0286445	0.00676147	0.0294317
42	-0.0295998	0.0079374	0.0306455
42.2	-0.0304066	0.00921015	0.0317709
42.4	-0.0310564	0.0105626	0.0328035
42.6	-0.0315423	0.0119778	0.03374
42.8	-0.0318598	0.0134387	0.0345781
43	-0.0320065	0.0149258	0.0353157
43.2	-0.0319827	0.0164203	0.0359516
43.4	-0.0317913	0.0179037	0.036486
43.6	-0.0314368	0.0193572	0.0369185
43.8	-0.0309266	0.0207633	0.0372501
44	-0.0302701	0.0221058	0.0374826
44.2	-0.0294783	0.0233695	0.0376178
44.4	-0.028564	0.024541	0.0376585
44.6	-0.0275417	0.0256089	0.037608
44.8	-0.0264263	0.0265643	0.0374701
45	-0.0252334	0.0273993	0.0372484
45.2	-0.0239793	0.0281087	0.0369474
45.4	-0.0226805	0.0286895	0.0365718
45.6	-0.0213526	0.029141	0.0361266
45.8	-0.0200102	0.0294637	0.0356163
46	-0.0186681	0.0296599	0.0350458
46.2	-0.0173394	0.0297338	0.0344203
46.4	-0.0160354	0.0296902	0.0337437
46.6	-0.0147676	0.0295345	0.0330207
46.8	-0.0135454	0.0292744	0.0322563
47	-0.012376	0.0289163	0.0314535
47.2	-0.0112672	0.0284671	0.0306158
47.4	-0.0102255	0.027935	0.0297477
47.6	-0.00925394	0.0273277	0.028852
47.8	-0.0083569	0.0266512	0.0279307
48	-0.00753786	0.0259132	0.0269873
48.2	-0.00679931	0.0251206	0.0260245
48.4	-0.00614347	0.0242806	0.0250458
48.6	-0.00557131	0.023399	0.0240531
48.8	-0.00508483	0.0224811	0.023049
49	-0.00468491	0.0215332	0.022037
49.2	-0.0043725	0.0205612	0.0210209
49.4	-0.00414836	0.0195709	0.0200057
49.6	-0.00401324	0.018568	0.0189967
49.8	-0.00396749	0.0175584	0.018001
50	-0.00401148	0.0165482	0.0170275
50.2	-0.00414527	0.0155439	0.0160871
50.4	-0.00436869	0.0145521	0.0151937
50.6	-0.00468132	0.0135799	0.0143641
50.8	-0.00508205	0.012635	0.0136188
51	-0.00556915	0.0117255	0.0129809
51.2	-0.0061404	0.0108594	0.0124752
51.4	-0.00679253	0.0100463	0.0121271
51.6	-0.00752012	0.00929439	0.0119557
51.8	-0.00831749	0.00861268	0.0119733
52	-0.00917765	0.00801006	0.0121816
52.2	-0.0100927	0.00749501	0.0125713
52.4	-0.0110528	0.00707432	0.0131229
52.6	-0.0120476	0.00675571	0.0138124
52.8	-0.0130642	0.00654438	0.0146117
53	-0.0140899	0.00644505	0.015494
53.2	-0.0151104	0.00645957	0.0164332
53.4	-0.0161108	0.00658965	0.0174063
53.6	-0.0170761	0.00683408	0.0183929
53.8	-0.0179932	0.00718836	0.0193759
54	-0.0188493	0.00764743	0.0203416
54.2	-0.0196313	0.00820392	0.0212765
54.4	-0.0203277	0.00884902	0.0221702
54.6	-0.0209289	0.00957179	0.0230139
54.8	-0.021427	0.0103599	0.0238001
55	-0.0218158	0.0112	0.0245228
55.2	-0.0220913	0.0120766	0.0251768
55.4	-0.0222518	0.0129749	0.0257583
55.6	-0.0222975	0.01388	0.0262646
55.8	-0.022231	0.0147778	0.0266946
56	-0.0220569	0.0156543	0.0270475
56.2	-0.0217817	0.0164963	0.0273234
56.4	-0.0214132	0.0172921	0.0275235
56.6	-0.020961	0.0180314	0.0276495
56.8	-0.0204354	0.0187059	0.027704
57	-0.0198472	0.0193086	0.02769
57.2	-0.019208	0.0198342	0.0276106
57.4	-0.0185297	0.0202792	0.0274699
57.6	-0.0178237	0.020642	0.0272722
57.8	-0.0171014	0.0209223	0.0270222
58	-0.0163735	0.0211217	0.0267249
58.2	-0.0156494	0.0212431	0.0263851
58.4	-0.0149377	0.0212895	0.0260072
58.6	-0.0142464	0.0212653	0.0255963
58.8	-0.0135825	0.0211755	0.0251573
59	-0.0129517	0.0210261	0.024695
59.2	-0.0123582	0.020823	0.0242141
59.4	-0.0118052	0.0205714	0.023718
59.6	-0.0112958	0.0202768	0.0232109
59.8	-0.0108319	0.019945	0.0226966
60	-0.0104147	0.0195813	0.0221787
60.2	-0.010045	0.0191906	0.0216606
60.4	-0.00972306	0.0187776	0.0211456
60.6	-0.00944841	0.0183472	0.0206371
60.8	-0.00922048	0.0179026	0.0201375
61	-0.00903899	0.0174467	0.0196492
61.2	-0.00890314	0.0169829	0.0191751
61.4	-0.00881216	0.0165143	0.0187184
61.6	-0.00876535	0.016044	0.0182823
61.8	-0.00876198	0.0155748	0.0178703
62	-0.00880136	0.0151095	0.017486
62.2	-0.00888274	0.0146507	0.0171332
62.4	-0.00900552	0.0142015	0.0168162
62.6	-0.00916879	0.0137646	0.0165388
62.8	-0.00937154	0.0133432	0.0163054
63	-0.00961277	0.0129405	0.0161202
63.2	-0.00989083	0.0125599	0.0159869
63.4	-0.0102038	0.012205	0.0159085
63.6	-0.0105494	0.0118793	0.0158874
63.8	-0.0109252	0.0115866	0.0159251
64	-0.0113278	0.0113303	0.0160217
64.2	-0.0117537	0.011114	0.0161762
64.4	-0.0121987	0.0109411	0.0163865
64.6	-0.0126582	0.0108145	0.0166488
64.8	-0.013127	0.0107367	0.0169586
65	-0.0135993	0.010709	0.0173097
65.2	-0.0140685	0.0107331	0.0176953
65.4	-0.0145282	0.0108096	0.0181084
65.6	-0.014972	0.0109382	0.018542
65.8	-0.0153933	0.0111177	0.0189884
66	-0.0157859	0.011346	0.0194403
66.2	-0.0161435	0.0116197	0.0198905
66.4	-0.0164607	0.0119349	0.0203321
66.6	-0.0167324	0.0122862	0.0207587
66.8	-0.0169545	0.012668	0.0211644
67	-0.0171238	0.0130736	0.021544
67.2	-0.0172378	0.0134961	0.0218926
67.4	-0.0172953	0.0139285	0.0222065
67.6	-0.0172963	0.0143633	0.0224825
67.8	-0.0172418	0.0147929	0.0227181
68	-0.0171343	0.0152103	0.0229115
68.2	-0.016977	0.0156086	0.0230618
68.4	-0.016774	0.0159818	0.0231686
68.6	-0.0165303	0.0163246	0.0232324
68.8	-0.0162513	0.0166324	0.0232539
69	-0.0159429	0.0169017	0.0232345
69.2	-0.0156114	0.0171296	0.0231763
69.4	-0.0152631	0.0173146	0.0230815
69.6	-0.0149043	0.0174559	0.0229531
69.8	-0.0145412	0.0175535	0.0227942
70	-0.0141796	0.0176086	0.022608
70.2	-0.0138246	0.0176226	0.0223981
70.4	-0.0134813	0.0175979	0.0221682
70.6	-0.0131537	0.0175373	0.0219221
70.8	-0.0128456	0.0174441	0.0216635
71	-0.0125595	0.0173218	0.0213959
71.2	-0.0122977	0.0171736	0.0211227
71.4	-0.0120619	0.0170032	0.020847
71.6	-0.0118533	0.0168139	0.020572
71.8	-0.0116727	0.0166092	0.0203007
72	-0.0115203	0.0163926	0.0200358
72.2	-0.011396	0.016167	0.0197798
72.4	-0.0112995	0.0159353	0.0195349
72.6	-0.01123	0.0157003	0.0193031
72.8	-0.0111867	0.0154642	0.0190862
73	-0.0111686	0.0152292	0.0188856
73.2	-0.0111746	0.0149973	0.0187027
73.4	-0.0112036	0.0147702	0.0185386
73.6	-0.0112546	0.0145496	0.0183944
73.8	-0.0113262	0.014337	0.0182711
74	-0.0114176	0.0141338	0.0181693
74.2	-0.0115276	0.013941	0.0180896
74.4	-0.0116547	0.0137599	0.0180324
74.6	-0.0117978	0.0135918	0.0179979
74.8	-0.0119554	0.013438	0.0179864
75	-0.0121263	0.0132997	0.017998
75.2	-0.012309	0.013178	0.0180325
