# Time	U	V	U_magnitude
0	-1.15466e-28	1.8576e-28	2.18721e-28
0.2	-0.000831931	7.18949e-05	0.000835032
0.4	-0.0116448	4.92922e-05	0.0116449
0.6	-0.0114009	0.000418972	0.0114086
0.8	-0.00734375	0.000955353	0.00740563
1	-0.00768357	0.000414917	0.00769477
1.2	-0.0127369	0.00100328	0.0127763
1.4	-0.0138194	0.00219604	0.0139928
1.6	-0.011132	0.00230372	0.0113679
1.8	-0.0107437	0.0019285	0.0109155
2	-0.014005	0.00274862	0.0142721
2.2	-0.0154396	0.00420794	0.0160028
2.4	-0.0140239	0.00469991	0.0147905
2.6	-0.0139421	0.00448284	0.0146451
2.8	-0.0160755	0.00539888	0.0169579
3	-0.0175555	0.00718383	0.0189685
3.2	-0.0173377	0.00800128	0.0190949
3.4	-0.0174434	0.00811628	0.0192392
3.6	-0.0190202	0.00918003	0.0211196
3.8	-0.0205512	0.0110637	0.02334
4	-0.0209846	0.0122747	0.0243109
4.2	-0.0214277	0.0128044	0.0249619
4.4	-0.0227349	0.0140108	0.0267053
4.6	-0.0242006	0.0160024	0.0290128
4.8	-0.0251026	0.017571	0.0306412
5	-0.0258208	0.0185592	0.0317987
5.2	-0.0269899	0.0200055	0.0335957
5.4	-0.0284244	0.0221219	0.0360184
5.6	-0.0295723	0.0240495	0.0381169
5.8	-0.0304871	0.0255395	0.0397709
6	-0.0316102	0.0273019	0.0417684
6.2	-0.0329706	0.0296203	0.0443218
6.4	-0.0342137	0.0319266	0.0467962
6.6	-0.0352341	0.0339341	0.0489179
6.8	-0.0363007	0.0360961	0.0511925
7	-0.037547	0.0387016	0.0539221
7.2	-0.0387528	0.0414085	0.0567137
7.4	-0.0397586	0.0439443	0.0592608
7.6	-0.0407197	0.0465643	0.0618574
7.8	-0.0417831	0.0495272	0.0647979
8	-0.0428248	0.0526538	0.0678704
8.2	-0.0436917	0.0557084	0.0707982
8.4	-0.0444577	0.0588122	0.0737249
8.6	-0.0452521	0.0621796	0.0769029
8.8	-0.0460175	0.0657487	0.0802527
9	-0.0466321	0.0693653	0.0835829
9.2	-0.0471312	0.0731316	0.0870033
9.4	-0.0476253	0.0773159	0.0908071
9.6	-0.0480997	0.0820646	0.0951219
9.8	-0.0484561	0.0874299	0.0999599
10	-0.0486719	0.0935781	0.105479
10.2	-0.0487728	0.100732	0.111918
10.4	-0.0486945	0.10892	0.119309
10.6	-0.0483	0.117937	0.127445
10.8	-0.047511	0.127529	0.136092
11	-0.0463258	0.137467	0.145063
11.2	-0.0447281	0.147455	0.154089
11.4	-0.042674	0.157103	0.162796
11.6	-0.0401725	0.166074	0.170863
11.8	-0.0372997	0.174158	0.178107
12	-0.0341286	0.181194	0.18438
12.2	-0.0307007	0.187012	0.189516
12.4	-0.0270753	0.191504	0.193408
12.6	-0.0233481	0.19468	0.196075
12.8	-0.0196021	0.19661	0.197585
13	-0.0158808	0.197362	0.198
13.2	-0.0122206	0.197044	0.197422
13.4	-0.00867218	0.195834	0.196026
13.6	-0.00527117	0.193938	0.19401
13.8	-0.00201644	0.191532	0.191543
14	0.00110449	0.188777	0.18878
14.2	0.00409213	0.185841	0.185886
14.4	0.00695474	0.182873	0.183005
14.6	0.00972049	0.179963	0.180225
14.8	0.012419	0.17716	0.177595
15	0.0150622	0.174502	0.175151
15.2	0.0176554	0.172005	0.172909
15.4	0.0202121	0.16965	0.17085
15.6	0.0227418	0.167398	0.168936
15.8	0.0252395	0.165218	0.167135
16	0.0276924	0.16308	0.165414
16.2	0.0300962	0.160947	0.163736
16.4	0.0324453	0.158779	0.16206
16.6	0.0347264	0.156554	0.160359
16.8	0.0369241	0.154258	0.158616
17	0.03903	0.151877	0.156812
17.2	0.0410407	0.149398	0.154933
17.4	0.0429451	0.146819	0.152971
17.6	0.0447335	0.144145	0.150926
17.8	0.0464042	0.141378	0.148799
18	0.0479554	0.138521	0.146587
18.2	0.0493825	0.13558	0.144294
18.4	0.0506825	0.132568	0.141926
18.6	0.0518565	0.129492	0.13949
18.8	0.0529063	0.126357	0.136986
19	0.0538303	0.123172	0.134421
19.2	0.054628	0.119946	0.1318
19.4	0.0553023	0.116687	0.129128
19.6	0.055856	0.113398	0.126408
19.8	0.0562893	0.110088	0.123644
20	0.0566026	0.106763	0.120839
20.2	0.0567981	0.103426	0.117996
20.4	0.0568783	0.100082	0.115116
20.6	0.0568436	0.0967363	0.112201
20.8	0.0566945	0.0933925	0.109254
21	0.056433	0.0900541	0.106275
21.2	0.0560608	0.086724	0.103266
21.4	0.0555781	0.0834062	0.100227
21.6	0.0549857	0.0801044	0.0971604
21.8	0.0542851	0.0768213	0.0940658
22	0.0534779	0.0735599	0.0909447
22.2	0.0525642	0.0703242	0.087798
22.4	0.0515448	0.0671178	0.0846266
22.6	0.0504216	0.0639432	0.0814314
22.8	0.0491961	0.0608039	0.0782136
23	0.0478693	0.0577039	0.0749747
23.2	0.0464423	0.0546471	0.0717161
23.4	0.0449174	0.0516373	0.0684396
23.6	0.0432967	0.0486781	0.0651473
23.8	0.0415822	0.0457742	0.0618414
24	0.0397759	0.0429294	0.058524
24.2	0.0378812	0.0401481	0.0551983
24.4	0.0359008	0.0374344	0.0518672
24.6	0.0338378	0.0347932	0.0485341
24.8	0.0316958	0.0322285	0.0452029
25	0.0294789	0.0297449	0.041878
25.2	0.027191	0.0273467	0.0385641
25.4	0.0248365	0.0250385	0.0352673
25.6	0.0224202	0.0228244	0.0319941
25.8	0.0199473	0.0207086	0.0287531
26	0.0174227	0.0186952	0.0255551
26.2	0.0148523	0.0167881	0.022415
26.4	0.0122417	0.014991	0.0193543
26.6	0.00959724	0.0133076	0.0164073
26.8	0.00692526	0.0117408	0.0136311
27	0.00423241	0.0102938	0.01113
27.2	0.0015261	0.00896934	0.00909824
27.4	-0.00118657	0.00776974	0.00785982
27.6	-0.00389702	0.0066963	0.00774772
27.8	-0.0065999	0.00575097	0.00875399
28	-0.00928841	0.00493465	0.0105179
28.2	-0.0119569	0.00424798	0.012689
28.4	-0.014599	0.00369096	0.0150584
28.6	-0.0172094	0.00326323	0.017516
28.8	-0.019782	0.00296394	0.0200028
29	-0.0223114	0.00279184	0.0224854
29.2	-0.0247922	0.00274561	0.0249437
29.4	-0.0272188	0.00282312	0.0273649
29.6	-0.0295865	0.00302241	0.0297404
29.8	-0.0318896	0.00334082	0.0320642
30	-0.0341239	0.00377556	0.0343321
30.2	-0.0362841	0.0043236	0.0365408
30.4	-0.0383659	0.00498134	0.038688
30.6	-0.0403649	0.0057453	0.0407717
30.8	-0.0422771	0.00661131	0.0427909
31	-0.0440979	0.00757575	0.0447439
31.2	-0.0458234	0.00863315	0.0466295
31.4	-0.0474502	0.00977976	0.0484476
31.6	-0.0489755	0.0110108	0.050198
31.8	-0.050395	0.0123215	0.0518794
32	-0.051706	0.0137063	0.0534918
32.2	-0.0529062	0.0151603	0.0550355
32.4	-0.0539923	0.0166786	0.0565097
32.6	-0.0549623	0.0182548	0.0579146
32.8	-0.0558142	0.0198843	0.0592504
33	-0.0565455	0.0215608	0.0605166
33.2	-0.057155	0.0232788	0.0617139
33.4	-0.0576408	0.0250325	0.0628418
33.6	-0.058002	0.0268153	0.0639006
33.8	-0.0582371	0.0286214	0.0648902
34	-0.0583456	0.0304441	0.0658107
34.2	-0.0583267	0.0322771	0.066662
34.4	-0.0581805	0.0341136	0.0674441
34.6	-0.0579067	0.0359468	0.0681569
34.8	-0.0575059	0.0377698	0.0688003
35	-0.0569785	0.0395755	0.0693742
35.2	-0.0563258	0.0413567	0.0698783
35.4	-0.0555489	0.0431061	0.0703123
35.6	-0.0546497	0.0448164	0.070676
35.8	-0.05363	0.0464803	0.070969
36	-0.0524924	0.0480904	0.0711909
36.2	-0.0512398	0.0496395	0.0713414
36.4	-0.0498754	0.05112	0.0714199
36.6	-0.0484029	0.0525248	0.0714262
36.8	-0.0468265	0.0538466	0.0713595
37	-0.0451507	0.0550785	0.0712196
37.2	-0.0433805	0.0562133	0.0710057
37.4	-0.0415214	0.0572443	0.0707173
37.6	-0.0395792	0.0581649	0.0703539
37.8	-0.0375604	0.0589689	0.0699151
38	-0.0354719	0.0596501	0.0694002
38.2	-0.0333212	0.0602027	0.0688089
38.4	-0.0311161	0.0606213	0.0681407
38.6	-0.0288653	0.0609012	0.0673955
38.8	-0.0265778	0.0610376	0.066573
39	-0.024263	0.0610268	0.0656732
39.2	-0.021931	0.0608654	0.064696
39.4	-0.0195923	0.0605508	0.0636416
39.6	-0.0172576	0.060081	0.0625104
39.8	-0.0149383	0.059455	0.0613029
40	-0.0126458	0.0586723	0.0600196
40.2	-0.0103919	0.0577335	0.0586613
40.4	-0.00818853	0.05664	0.0572288
40.6	-0.00604744	0.055394	0.0557231
40.8	-0.00398081	0.0539988	0.0541454
41	-0.0020005	0.0524583	0.0524965
41.2	-0.000118198	0.0507779	0.050778
41.4	0.00165402	0.0489629	0.0489909
41.6	0.00330544	0.0470207	0.0471367
41.8	0.00482583	0.0449583	0.0452166
42	0.00620481	0.0427846	0.0432322
42.2	0.00743341	0.0405084	0.0411848
42.4	0.00850278	0.0381398	0.0390761
42.6	0.00940448	0.0356894	0.0369077
42.8	0.010131	0.0331684	0.0346812
43	0.0106759	0.030589	0.0323985
43.2	0.0110332	0.0279637	0.0300616
43.4	0.0111977	0.0253057	0.0276725
43.6	0.0111652	0.0226288	0.0252334
43.8	0.0109322	0.0199473	0.0227466
44	0.0104966	0.0172762	0.020215
44.2	0.00985728	0.014631	0.0176418
44.4	0.00901446	0.0120275	0.0150307
44.6	0.00796984	0.00948283	0.0123872
44.8	0.00672583	0.00701384	0.00971755
45	0.00528733	0.00463795	0.00703324
45.2	0.0036611	0.00237325	0.00436302
45.4	0.00185499	0.000237484	0.00187013
45.6	-0.000120142	-0.00175192	0.00175603
45.8	-0.00225157	-0.00357859	0.00422799
46	-0.00452497	-0.00522879	0.00691488
46.2	-0.0069252	-0.00668815	0.00962755
46.4	-0.00943499	-0.0079442	0.0123341
46.6	-0.0120361	-0.00898602	0.0150206
46.8	-0.01471	-0.00980364	0.0176775
47	-0.0174358	-0.0103885	0.020296
47.2	-0.0201927	-0.0107344	0.0228686
47.4	-0.022959	-0.0108368	0.025388
47.6	-0.0257128	-0.010693	0.0278476
47.8	-0.0284319	-0.0103022	0.0302408
48	-0.031094	-0.00966596	0.0325617
48.2	-0.0336769	-0.00878812	0.0348046
48.4	-0.0361577	-0.0076745	0.0369632
48.6	-0.038516	-0.00633225	0.039033
48.8	-0.0407313	-0.00477251	0.0410099
49	-0.0427828	-0.00300722	0.0428883
49.2	-0.0446529	-0.00105144	0.0446653
49.4	-0.0463237	0.00107794	0.0463363
49.6	-0.0477799	0.00336131	0.047898
49.8	-0.0490075	0.00577751	0.0493469
50	-0.0499947	0.00830395	0.0506796
50.2	-0.0507318	0.0109166	0.0518931
50.4	-0.0512118	0.0135904	0.0529844
50.6	-0.0514302	0.0162994	0.0539513
50.8	-0.0513856	0.0190174	0.0547918
51	-0.0510792	0.0217178	0.0555045
51.2	-0.0505156	0.0243744	0.0560887
51.4	-0.0497023	0.0269617	0.0565443
51.6	-0.0486499	0.0294555	0.0568721
51.8	-0.0473716	0.0318326	0.0570735
52	-0.0458836	0.0340723	0.0571509
52.2	-0.0442042	0.0361559	0.0571074
52.4	-0.0423534	0.0380674	0.0569468
52.6	-0.0403531	0.0397936	0.0566736
52.8	-0.0382257	0.0413244	0.056293
53	-0.035994	0.0426526	0.0558106
53.2	-0.033681	0.0437742	0.0552321
53.4	-0.0313086	0.0446876	0.0545638
53.6	-0.0288979	0.045394	0.0538118
53.8	-0.0264686	0.0458964	0.0529818
54	-0.0240387	0.0461997	0.0520795
54.2	-0.0216245	0.04631	0.05111
54.4	-0.0192403	0.0462341	0.0500778
54.6	-0.0168988	0.0459796	0.0489867
54.8	-0.0146113	0.045554	0.0478399
55	-0.0123873	0.0449646	0.0466397
55.2	-0.0102355	0.0442186	0.0453878
55.4	-0.00816357	0.0433229	0.0440853
55.6	-0.00617874	0.0422834	0.0427324
55.8	-0.00428775	0.0411058	0.0413288
56	-0.00249739	0.0397957	0.039874
56.2	-0.000814929	0.0383579	0.0383666
56.4	0.000752551	0.0367976	0.0368053
56.6	0.00219721	0.0351195	0.0351882
56.8	0.00351185	0.0333295	0.033514
57	0.00468813	0.0314329	0.0317806
57.2	0.00571637	0.0294364	0.0299864
57.4	0.00658817	0.0273485	0.0281309
57.6	0.00729418	0.0251773	0.0262126
57.8	0.0078228	0.0229327	0.0242302
58	0.00816531	0.020628	0.0221853
58.2	0.00831285	0.0182771	0.0200787
58.4	0.00825703	0.0158954	0.0179121
58.6	0.00799065	0.0135006	0.0156881
58.8	0.00750808	0.0111121	0.0134108
59	0.00680585	0.00875102	0.011086
