# Time	Value
50.2	-0.0507318
50.4	-0.0512118
50.6	-0.0514302
50.8	-0.0513856
51	-0.0510792
51.2	-0.0505156
51.4	-0.0497023
51.6	-0.0486499
51.8	-0.0473716
52	-0.0458836
52.2	-0.0442042
52.4	-0.0423534
52.6	-0.0403531
52.8	-0.0382257
53	-0.035994
53.2	-0.033681
53.4	-0.0313086
53.6	-0.0288979
53.8	-0.0264686
54	-0.0240387
54.2	-0.0216245
54.4	-0.0192403
54.6	-0.0168988
54.8	-0.0146113
55	-0.0123873
55.2	-0.0102355
55.4	-0.00816357
55.6	-0.00617874
55.8	-0.00428775
56	-0.00249739
56.2	-0.000814929
56.4	0.000752551
56.6	0.00219721
56.8	0.00351185
57	0.00468813
57.2	0.00571637
57.4	0.00658817
57.6	0.00729418
57.8	0.0078228
58	0.00816531
58.2	0.00831285
58.4	0.00825703
58.6	0.00799065
58.8	0.00750808
59	0.00680585
59.2	0.00588284
59.4	0.00474002
59.6	0.00338279
59.8	0.00181884
60	6.0543e-05
60.2	-0.00187724
60.4	-0.00397429
60.6	-0.0062086
60.8	-0.00855481
61	-0.0109873
61.2	-0.0134759
61.4	-0.01599
61.6	-0.0184987
61.8	-0.0209707
62	-0.023375
62.2	-0.0256811
62.4	-0.0278595
62.6	-0.0298832
62.8	-0.0317278
63	-0.0333709
63.2	-0.0347943
63.4	-0.0359826
63.6	-0.0369246
63.8	-0.0376131
64	-0.0380454
64.2	-0.0382228
64.4	-0.0381507
64.6	-0.0378388
64.8	-0.0373001
65	-0.036551
65.2	-0.0356108
65.4	-0.0345008
65.6	-0.0332442
65.8	-0.031865
66	-0.0303876
66.2	-0.0288361
66.4	-0.0272336
66.6	-0.0256017
66.8	-0.0239603
67	-0.0223266
67.2	-0.0207153
67.4	-0.0191386
67.6	-0.0176059
67.8	-0.016124
68	-0.0146975
68.2	-0.0133293
68.4	-0.0120205
68.6	-0.0107715
68.8	-0.00958183
69	-0.00845117
69.2	-0.0073792
69.4	-0.0063666
69.6	-0.00541475
69.8	-0.00452627
70	-0.00370504
70.2	-0.0029559
70.4	-0.00228495
70.6	-0.00169947
70.8	-0.00120801
71	-0.000817955
71.2	-0.000538327
71.4	-0.000378123
71.6	-0.00034561
71.8	-0.000448259
72	-0.000692614
72.2	-0.0010838
72.4	-0.00162437
72.6	-0.0023154
72.8	-0.00315555
73	-0.00413996
73.2	-0.00526184
73.4	-0.00650995
73.6	-0.00787077
73.8	-0.00932984
74	-0.010866
74.2	-0.0124584
74.4	-0.014085
74.6	-0.0157222
74.8	-0.0173455
75	-0.0189299
75.2	-0.020451
75.4	-0.0218856
75.6	-0.0232107
75.8	-0.0244075
76	-0.0254589
76.2	-0.0263501
76.4	-0.02707
76.6	-0.0276106
76.8	-0.0279676
77	-0.0281404
77.2	-0.0281317
77.4	-0.027948
77.6	-0.0275989
77.8	-0.0270969
78	-0.026457
78.2	-0.0256962
78.4	-0.024833
78.6	-0.0238866
78.8	-0.0228768
79	-0.0218231
79.2	-0.0207442
79.4	-0.0196574
79.6	-0.0185788
79.8	-0.0175222
80	-0.0164991
80.2	-0.0155189
80.4	-0.0145885
80.6	-0.0137125
80.8	-0.0128933
81	-0.0121316
81.2	-0.0114265
81.4	-0.010776
81.6	-0.0101774
81.8	-0.00962763
82	-0.00912365
82.2	-0.00866317
82.4	-0.00824446
82.6	-0.0078667
82.8	-0.00753024
83	-0.00723657
83.2	-0.00698832
83.4	-0.00678902
83.6	-0.00664309
83.8	-0.00655536
84	-0.00653103
84.2	-0.00657524
84.4	-0.00669275
84.6	-0.00688789
84.8	-0.00716403
85	-0.00752346
85.2	-0.00796692
85.4	-0.00849398
85.6	-0.00910249
85.8	-0.00978799
86	-0.0105443
86.2	-0.0113644
86.4	-0.0122386
86.6	-0.0131549
86.8	-0.0141004
87	-0.0150611
87.2	-0.0160219
87.4	-0.0169672
87.6	-0.0178805
87.8	-0.0187463
88	-0.0195504
88.2	-0.0202786
88.4	-0.0209179
88.6	-0.0214576
88.8	-0.021889
89	-0.0222053
89.2	-0.0224026
89.4	-0.0224793
89.6	-0.0224363
89.8	-0.0222772
90	-0.0220079
90.2	-0.0216364
90.4	-0.0211729
90.6	-0.0206289
90.8	-0.0200174
91	-0.0193522
91.2	-0.0186476
91.4	-0.0179178
91.6	-0.0171767
91.8	-0.0164375
92	-0.0157121
92.2	-0.0150114
92.4	-0.0143445
92.6	-0.0137187
92.8	-0.0131398
93	-0.0126114
93.2	-0.0121359
93.4	-0.0117138
93.6	-0.0113443
93.8	-0.0110252
94	-0.010754
94.2	-0.0105272
94.4	-0.0103414
94.6	-0.010193
94.8	-0.0100788
95	-0.00999595
95.2	-0.00994228
95.4	-0.00991652
95.6	-0.0099182
95.8	-0.0099476
96	-0.0100058
96.2	-0.0100943
96.4	-0.0102152
96.6	-0.0103708
