# Time	Value
50.2	-0.0507253
50.4	-0.0511447
50.6	-0.0513034
50.8	-0.0512005
51	-0.0508382
51.2	-0.0502215
51.4	-0.0493587
51.6	-0.0482608
51.8	-0.0469418
52	-0.0454182
52.2	-0.0437086
52.4	-0.0418334
52.6	-0.0398144
52.8	-0.0376741
53	-0.0354352
53.2	-0.0331202
53.4	-0.030751
53.6	-0.028348
53.8	-0.0259305
54	-0.0235161
54.2	-0.0211204
54.4	-0.0187575
54.6	-0.0164397
54.8	-0.0141777
55	-0.0119809
55.2	-0.00985773
55.4	-0.00781567
55.6	-0.00586203
55.8	-0.00400354
56	-0.002247
56.2	-0.000599746
56.4	0.000930935
56.6	0.00233726
56.8	0.00361179
57	0.00474601
57.2	0.00573016
57.4	0.00655573
57.6	0.00721341
57.8	0.00769166
58	0.00798179
58.2	0.00807524
58.4	0.00796398
58.6	0.00764129
58.8	0.00710213
59	0.00634392
59.2	0.00536547
59.4	0.00416949
59.6	0.00276232
59.8	0.00115237
60	-0.000647444
60.2	-0.00261972
60.4	-0.00474511
60.6	-0.00700031
60.8	-0.009359
61	-0.0117956
61.2	-0.0142796
61.4	-0.0167804
61.6	-0.019267
61.8	-0.0217084
62	-0.0240738
62.2	-0.0263333
62.4	-0.0284577
62.6	-0.0304216
62.8	-0.0322007
63	-0.0337744
63.2	-0.0351247
63.4	-0.036238
63.6	-0.0371042
63.8	-0.0377172
64	-0.0380755
64.2	-0.0381815
64.4	-0.0380418
64.6	-0.037667
64.8	-0.0370711
65	-0.0362712
65.2	-0.035287
65.4	-0.0341403
65.6	-0.0328543
65.8	-0.0314531
66	-0.0299608
66.2	-0.0284012
66.4	-0.0267968
66.6	-0.0251686
66.8	-0.0235356
67	-0.0219143
67.2	-0.0203185
67.4	-0.0187595
67.6	-0.017246
67.8	-0.0157842
68	-0.0143782
68.2	-0.0130303
68.4	-0.0117415
68.6	-0.0105121
68.8	-0.00934147
69	-0.00822972
69.2	-0.00717663
69.4	-0.00618331
69.6	-0.00525146
69.8	-0.00438422
70	-0.0035859
70.2	-0.00286151
70.4	-0.00221773
70.6	-0.00166208
70.8	-0.00120323
71	-0.000848662
71.2	-0.000607464
71.4	-0.000488382
71.6	-0.000499531
71.8	-0.000648031
72	-0.000939901
72.2	-0.00137941
72.4	-0.00196862
72.6	-0.00270768
72.8	-0.00359447
73	-0.00462251
73.2	-0.00578504
73.4	-0.00706824
73.6	-0.00845958
73.8	-0.00994144
74	-0.0114933
74.2	-0.0130939
74.4	-0.0147202
74.6	-0.0163487
74.8	-0.0179548
75	-0.0195136
75.2	-0.0210014
75.4	-0.0223949
75.6	-0.0236726
75.8	-0.0248167
76	-0.0258105
76.2	-0.0266408
76.4	-0.0272975
76.6	-0.027774
76.8	-0.0280672
77	-0.0281777
77.2	-0.0281094
77.4	-0.02787
77.6	-0.0274701
77.8	-0.0269227
78	-0.0262438
78.2	-0.0254506
78.4	-0.0245618
78.6	-0.0235968
78.8	-0.0225752
79	-0.0215161
79.2	-0.0204376
79.4	-0.0193566
79.6	-0.0182883
79.8	-0.0172456
80	-0.0162393
80.2	-0.0152778
80.4	-0.0143673
80.6	-0.0135116
80.8	-0.0127125
81	-0.0119703
81.2	-0.0112835
81.4	-0.0106501
81.6	-0.0100674
81.8	-0.0095323
82	-0.00904208
82.2	-0.0085948
82.4	-0.00818906
82.6	-0.00782458
82.8	-0.00750214
83	-0.00722367
83.2	-0.00699217
83.4	-0.00681154
83.6	-0.00668636
83.8	-0.00662156
84	-0.00662237
84.2	-0.00669374
84.4	-0.00684031
84.6	-0.007066
84.8	-0.00737382
85	-0.00776535
85.2	-0.00824084
85.4	-0.00879939
85.6	-0.00943781
85.8	-0.0101509
86	-0.0109319
86.2	-0.0117733
86.4	-0.012664
86.6	-0.0135918
86.8	-0.0145433
87	-0.015504
87.2	-0.0164587
87.4	-0.0173915
87.6	-0.0182857
87.8	-0.0191272
88	-0.0199013
88.2	-0.0205946
88.4	-0.0211946
88.6	-0.0216917
88.8	-0.0220779
89	-0.0223477
89.2	-0.022498
89.4	-0.0225283
89.6	-0.0224404
89.8	-0.022239
90	-0.0219307
90.2	-0.0215243
90.4	-0.0210307
90.6	-0.0204617
90.8	-0.0198308
91	-0.0191518
91.2	-0.018439
91.4	-0.0177064
91.6	-0.0169675
91.8	-0.016235
92	-0.0155204
92.2	-0.0148338
92.4	-0.0141834
92.6	-0.0135761
92.8	-0.0130168
93	-0.0125086
93.2	-0.012053
93.4	-0.0116502
93.6	-0.0112989
93.8	-0.0109966
94	-0.0107407
94.2	-0.0105277
94.4	-0.0103542
94.6	-0.0102169
94.8	-0.0101127
95	-0.0100392
95.2	-0.00999452
95.4	-0.00997791
95.6	-0.00998919
95.8	-0.010029
96	-0.0100986
96.2	-0.0101998
