# Time	Value
50.2	-0.0556529
50.4	-0.0565078
50.6	-0.0573239
50.8	-0.0581012
51	-0.0588395
51.2	-0.0595384
51.4	-0.0601961
51.6	-0.0608105
51.8	-0.0613802
52	-0.0619048
52.2	-0.062384
52.4	-0.0628177
52.6	-0.0632047
52.8	-0.0635434
53	-0.0638322
53.2	-0.0640703
53.4	-0.0642575
53.6	-0.0643937
53.8	-0.0644783
54	-0.0645103
54.2	-0.0644884
54.4	-0.0644117
54.6	-0.0642801
54.8	-0.0640936
55	-0.0638522
55.2	-0.0635555
55.4	-0.0632029
55.6	-0.0627938
55.8	-0.0623282
56	-0.0618064
56.2	-0.0612289
56.4	-0.0605961
56.6	-0.0599081
56.8	-0.0591649
57	-0.0583669
57.2	-0.0575147
57.4	-0.0566095
57.6	-0.0556524
57.8	-0.0546441
58	-0.0535856
58.2	-0.0524778
58.4	-0.0513219
58.6	-0.0501195
58.8	-0.0488724
59	-0.0475824
59.2	-0.0462512
59.4	-0.0448803
59.6	-0.0434717
59.8	-0.0420276
60	-0.0405506
60.2	-0.039043
60.4	-0.0375075
60.6	-0.0359465
60.8	-0.0343627
61	-0.0327588
61.2	-0.0311381
61.4	-0.0295037
61.6	-0.0278589
61.8	-0.0262071
62	-0.0245514
62.2	-0.0228953
62.4	-0.0212424
62.6	-0.0195966
62.8	-0.0179617
63	-0.0163416
63.2	-0.0147401
63.4	-0.0131611
63.6	-0.0116084
63.8	-0.0100863
64	-0.00859887
64.2	-0.00715051
64.4	-0.0057453
64.6	-0.00438722
64.8	-0.00308055
65	-0.0018294
65.2	-0.000638237
65.4	0.000488911
65.6	0.00154773
65.8	0.0025348
66	0.0034462
66.2	0.00427833
66.4	0.0050277
66.6	0.00569065
66.8	0.00626384
67	0.00674437
67.2	0.00712941
67.4	0.0074163
67.6	0.00760259
67.8	0.00768608
68	0.00766489
68.2	0.00753751
68.4	0.00730287
68.6	0.00696027
68.8	0.00650939
69	0.00595031
69.2	0.00528354
69.4	0.00451003
69.6	0.00363142
69.8	0.00264987
70	0.00156794
70.2	0.000388922
70.4	-0.000883563
70.6	-0.00224542
70.8	-0.00369238
71	-0.00521978
71.2	-0.00682286
71.4	-0.00849656
71.6	-0.0102359
71.8	-0.0120352
72	-0.0138891
72.2	-0.0157917
72.4	-0.017737
72.6	-0.0197193
72.8	-0.021732
73	-0.0237688
