# Frequency	Magnitude
0	1.69017e-17
0.00488281	0.00279313
0.00976563	0.00153724
0.0146484	0.00111023
0.0195313	0.00107764
0.0244141	0.00127395
0.0292969	0.00170052
0.0341797	0.00240331
0.0390625	0.00346559
0.0439453	0.00476166
0.0488281	0.00551393
0.0537109	0.00430035
0.0585938	0.00264717
0.0634766	0.000464133
0.0683594	0.000301653
0.0732422	0.000301742
0.078125	0.000276655
0.0830078	0.00027541
0.0878906	0.000325155
0.0927734	0.000395867
0.0976563	0.000367907
0.102539	7.63162e-05
0.107422	0.000390311
0.112305	0.000466077
0.117188	0.000163
0.12207	0.000216211
0.126953	0.000198213
0.131836	0.000189493
0.136719	0.000186994
0.141602	0.000189273
0.146484	0.000203549
0.151367	0.000190027
0.15625	0.000143823
0.161133	0.000184551
0.166016	0.000173684
0.170898	0.000158497
0.175781	0.000156163
0.180664	0.000156541
0.185547	0.000151561
0.19043	0.000148068
0.195313	0.000144098
0.200195	0.000139139
0.205078	0.000134445
0.209961	0.000132041
0.214844	0.000127349
0.219727	0.000121911
0.224609	0.000118851
0.229492	0.000114048
0.234375	0.000111261
0.239258	0.000107081
0.244141	0.000103086
0.249023	9.91221e-05
0.253906	9.56837e-05
0.258789	9.29528e-05
0.263672	8.96376e-05
0.268555	8.62835e-05
0.273438	8.41032e-05
0.27832	8.16645e-05
0.283203	7.99011e-05
0.288086	7.82154e-05
0.292969	7.6562e-05
0.297852	7.528e-05
0.302734	7.45504e-05
0.307617	7.39793e-05
0.3125	7.33375e-05
0.317383	7.29555e-05
0.322266	7.28749e-05
0.327148	7.28721e-05
0.332031	7.29106e-05
0.336914	7.31162e-05
0.341797	7.31694e-05
0.34668	7.32285e-05
0.351563	7.33726e-05
0.356445	7.35116e-05
0.361328	7.34231e-05
0.366211	7.32102e-05
0.371094	7.30598e-05
0.375977	7.27497e-05
0.380859	7.22607e-05
0.385742	7.17366e-05
0.390625	7.10415e-05
0.395508	7.02063e-05
0.400391	6.93145e-05
0.405273	6.8286e-05
0.410156	6.71197e-05
0.415039	6.58598e-05
0.419922	6.4574e-05
0.424805	6.31803e-05
0.429688	6.17054e-05
0.43457	6.02195e-05
0.439453	5.87063e-05
0.444336	5.71783e-05
0.449219	5.56798e-05
0.454102	5.41938e-05
0.458984	5.27484e-05
0.463867	5.13846e-05
0.46875	5.01445e-05
0.473633	4.89908e-05
0.478516	4.79366e-05
0.483398	4.70356e-05
0.488281	4.62866e-05
0.493164	4.56837e-05
0.498047	4.52391e-05
0.50293	4.49236e-05
0.507813	4.47374e-05
0.512695	4.46941e-05
0.517578	4.47757e-05
0.522461	4.49449e-05
0.527344	4.51754e-05
0.532227	4.54698e-05
0.537109	4.58043e-05
0.541992	4.61587e-05
0.546875	4.65165e-05
0.551758	4.68467e-05
0.556641	4.7133e-05
0.561523	4.73872e-05
0.566406	4.75879e-05
0.571289	4.77141e-05
0.576172	4.77539e-05
0.581055	4.77224e-05
