# Time	U	V	U_magnitude
0	-6.49211e-116	3.32261e-115	3.38544e-115
0.2	-1.66655e-08	1.20085e-08	2.05413e-08
0.4	-0.0025594	0.000139419	0.00256319
0.6	-0.0114899	3.66071e-05	0.0114899
0.8	-0.0128394	0.000175473	0.0128406
1	-0.011328	0.000437044	0.0113364
1.2	-0.0085512	0.000842684	0.00859262
1.4	-0.00634881	0.000811063	0.00640041
1.6	-0.00692174	0.000795803	0.00696734
1.8	-0.0116218	0.00104234	0.0116684
2	-0.0143124	0.00157987	0.0143994
2.2	-0.0152221	0.00194191	0.0153455
2.4	-0.0135546	0.00232664	0.0137528
2.6	-0.0101807	0.00242169	0.0104648
2.8	-0.00909345	0.00247686	0.00942473
3	-0.0115386	0.00267025	0.0118436
3.2	-0.0149497	0.00305631	0.0152589
3.4	-0.0170521	0.00371827	0.0174528
3.6	-0.0164516	0.00463043	0.0170908
3.8	-0.013948	0.00508765	0.0148469
4	-0.0125789	0.00501663	0.0135424
4.2	-0.0135233	0.00494797	0.0144001
4.4	-0.0158809	0.00530431	0.0167433
4.6	-0.0182559	0.00630154	0.0193129
4.8	-0.0191548	0.00752151	0.0205786
5	-0.0182406	0.00826907	0.0200274
5.2	-0.0168303	0.00846144	0.0188376
5.4	-0.0164962	0.00843111	0.0185259
5.6	-0.0179106	0.00858721	0.0198628
5.8	-0.0203812	0.00938147	0.0224367
6	-0.0221214	0.010722	0.0245829
6.2	-0.0221394	0.0120219	0.0251928
6.4	-0.0211762	0.0127697	0.0247285
6.6	-0.0206785	0.0128399	0.0243406
6.8	-0.021507	0.0127453	0.0249999
7	-0.0233546	0.0132711	0.0268619
7.2	-0.0251019	0.0146217	0.0290499
7.4	-0.0259373	0.0162841	0.0306254
7.6	-0.0259058	0.0175309	0.0312801
7.8	-0.0256425	0.0179943	0.0313262
8	-0.0259244	0.0180172	0.0315704
8.2	-0.0270947	0.0183387	0.0327174
8.4	-0.0287366	0.0194281	0.0346878
8.6	-0.030078	0.021146	0.0367673
8.8	-0.0306724	0.0228667	0.0382581
9	-0.0307468	0.0239717	0.0389872
9.2	-0.0309747	0.0243928	0.0394264
9.4	-0.0318263	0.0246691	0.0402676
9.6	-0.0331654	0.025479	0.0418225
9.8	-0.0344955	0.0270775	0.0438535
10	-0.0354467	0.0290727	0.0458442
10.2	-0.036021	0.0307681	0.0473729
10.4	-0.0365051	0.0317792	0.0483998
10.6	-0.037195	0.0323359	0.0492857
10.8	-0.0381872	0.0330614	0.0505106
11	-0.0393609	0.0344481	0.0523063
11.2	-0.0404866	0.03645	0.0544773
11.4	-0.0413985	0.03855	0.056568
11.6	-0.0421225	0.0402126	0.0582354
11.8	-0.0428346	0.0413127	0.0595109
12	-0.0436914	0.0422189	0.0607567
12.2	-0.0447041	0.0434742	0.0623575
12.4	-0.045759	0.0453421	0.0644189
12.6	-0.0467455	0.0476101	0.0667223
12.8	-0.0476442	0.0497868	0.0689108
13	-0.0484972	0.0515137	0.0707505
13.2	-0.0493432	0.0528495	0.0723037
13.4	-0.0501993	0.0541958	0.0738726
13.6	-0.0510787	0.0559534	0.0757616
13.8	-0.0519935	0.0582042	0.0780452
14	-0.0529317	0.0606686	0.0805136
14.2	-0.0538505	0.0629619	0.0828498
14.4	-0.0547109	0.064921	0.0849001
14.6	-0.0555158	0.0667349	0.0868076
14.8	-0.0563138	0.0687995	0.0889078
15	-0.0571683	0.0714297	0.0914899
15.2	-0.0581196	0.0746667	0.0946203
15.4	-0.0591629	0.0783246	0.0981581
15.6	-0.0602515	0.0822132	0.101928
15.8	-0.061324	0.0863408	0.105903
16	-0.0623504	0.090935	0.110258
16.2	-0.0633593	0.0962761	0.115254
16.4	-0.0644109	0.102487	0.121047
16.6	-0.0655287	0.109447	0.127565
16.8	-0.0666524	0.11688	0.134549
17	-0.0676614	0.124537	0.141731
17.2	-0.0684543	0.132325	0.148983
17.4	-0.0690116	0.140292	0.156347
17.6	-0.0693871	0.148505	0.163915
17.8	-0.0696408	0.156916	0.171675
18	-0.0697719	0.165333	0.179452
18.2	-0.069707	0.173494	0.186974
18.4	-0.0693482	0.181185	0.194003
18.6	-0.0686425	0.188312	0.200432
18.8	-0.0676201	0.194878	0.206277
19	-0.0663699	0.200903	0.211582
19.2	-0.0649702	0.206335	0.216322
19.4	-0.0634306	0.211035	0.220361
19.6	-0.0616957	0.214836	0.223519
19.8	-0.0597103	0.217636	0.225679
20	-0.057488	0.219454	0.226859
20.2	-0.0551222	0.220407	0.227195
20.4	-0.0527294	0.220636	0.226849
20.6	-0.0503766	0.220237	0.225925
20.8	-0.0480543	0.219255	0.224459
21	-0.045714	0.217728	0.222475
21.2	-0.0433316	0.21575	0.220058
21.4	-0.0409423	0.213487	0.217377
21.6	-0.0386209	0.211141	0.214645
21.8	-0.0364271	0.208889	0.212042
22	-0.0343602	0.206831	0.209665
22.2	-0.0323612	0.204986	0.207524
22.4	-0.0303576	0.203336	0.205589
22.6	-0.028317	0.201871	0.203848
22.8	-0.0262636	0.200618	0.202329
23	-0.024248	0.199615	0.201082
23.2	-0.0222962	0.198881	0.200127
23.4	-0.0203838	0.198376	0.199421
23.6	-0.0184542	0.198014	0.198872
23.8	-0.0164648	0.197698	0.198383
24	-0.0144179	0.197369	0.197894
24.2	-0.0123552	0.197017	0.197404
24.4	-0.0103219	0.196668	0.196939
24.6	-0.0083319	0.196332	0.196509
24.8	-0.00636133	0.195982	0.196085
25	-0.00437266	0.195559	0.195607
25.2	-0.00234833	0.195004	0.195018
25.4	-0.000306876	0.194301	0.194301
25.6	0.00171039	0.193477	0.193484
25.8	0.00367107	0.192576	0.192611
26	0.00557365	0.191624	0.191705
26.2	0.00744477	0.190609	0.190754
26.4	0.00931283	0.189491	0.18972
26.6	0.0111835	0.188242	0.188573
26.8	0.0130346	0.186864	0.187318
27	0.0148338	0.185395	0.185988
27.2	0.0165641	0.183878	0.184622
27.4	0.0182333	0.182327	0.183236
27.6	0.0198659	0.180727	0.181815
27.8	0.0214802	0.179045	0.180329
28	0.0230745	0.177264	0.178759
28.2	0.024627	0.175395	0.177116
28.4	0.0261145	0.173475	0.17543
28.6	0.027528	0.171534	0.173729
28.8	0.0288795	0.169577	0.172019
29	0.0301897	0.167583	0.17028
29.2	0.0314701	0.165523	0.168488
29.4	0.0327147	0.163391	0.166634
29.6	0.0339037	0.161203	0.164729
29.8	0.0350191	0.158989	0.1628
30	0.0360593	0.15677	0.160864
30.2	0.0370367	0.15454	0.158916
30.4	0.0379673	0.152276	0.156938
30.6	0.0388577	0.14996	0.154912
30.8	0.0396988	0.147592	0.152837
31	0.0404735	0.145192	0.150728
31.2	0.0411696	0.142786	0.148603
31.4	0.0417893	0.140383	0.14647
31.6	0.0423458	0.137971	0.144323
31.8	0.0428518	0.135531	0.142144
32	0.0433096	0.133053	0.139925
32.2	0.0437089	0.130546	0.137669
32.4	0.0440353	0.128029	0.13539
32.6	0.0442818	0.125521	0.133103
32.8	0.0444541	0.123022	0.130807
33	0.0445653	0.12052	0.128496
33.2	0.0446252	0.118001	0.126157
33.4	0.0446329	0.115462	0.123788
33.6	0.0445779	0.112917	0.121398
33.8	0.0444494	0.110384	0.118997
34	0.0442452	0.107872	0.116593
34.2	0.0439738	0.105377	0.114184
34.4	0.0436477	0.102887	0.111763
34.6	0.0432734	0.100395	0.109324
34.8	0.0428477	0.0979045	0.10687
35	0.0423609	0.0954295	0.104409
35.2	0.0418057	0.0929829	0.101949
35.4	0.0411845	0.090568	0.0994923
35.6	0.0405076	0.0881778	0.097037
35.8	0.0397859	0.0858029	0.0945783
36	0.0390228	0.0834412	0.0921152
36.2	0.0382129	0.0811003	0.089652
36.4	0.037348	0.0787924	0.0871958
36.6	0.0364252	0.0765246	0.0847515
36.8	0.0354504	0.0742956	0.0823199
37	0.0344342	0.0720977	0.0798986
37.2	0.0333847	0.0699253	0.0774861
37.4	0.0323022	0.0677803	0.075084
37.6	0.0311804	0.065671	0.0726973
37.8	0.0300135	0.0636059	0.0703316
38	0.0288025	0.0615876	0.0679898
38.2	0.0275554	0.0596118	0.0656724
38.4	0.0262818	0.0576724	0.0633785
38.6	0.0249865	0.055767	0.0611088
38.8	0.0236669	0.0538997	0.0588668
39	0.0223171	0.0520777	0.0566581
39.2	0.0209343	0.0503056	0.0544876
39.4	0.0195227	0.0485825	0.0523583
39.6	0.0180908	0.0469036	0.0502715
39.8	0.016646	0.0452647	0.0482284
40	0.0151895	0.0436662	0.0462327
40.2	0.0137172	0.0421126	0.0442904
40.4	0.0122247	0.0406089	0.042409
40.6	0.0107123	0.0391565	0.0405954
40.8	0.00918625	0.0377527	0.0388542
41	0.00765406	0.0363935	0.0371896
41.2	0.00611999	0.0350766	0.0356065
41.4	0.00458264	0.0338042	0.0341134
41.6	0.00303765	0.0325797	0.032721
41.8	0.00148322	0.0314062	0.0314412
42	-7.80733e-05	0.0302828	0.0302829
42.2	-0.00163934	0.0292066	0.0292526
42.4	-0.00319552	0.0281746	0.0283552
42.6	-0.00474566	0.0271865	0.0275976
42.8	-0.00629281	0.0262445	0.0269884
43	-0.00784045	0.0253512	0.026536
43.2	-0.00938834	0.0245076	0.0262443
43.4	-0.0109327	0.0237119	0.0261109
43.6	-0.012468	0.0229616	0.0261283
43.8	-0.0139919	0.0222548	0.0262878
44	-0.015505	0.0215922	0.0265825
44.2	-0.0170107	0.0209757	0.0270064
44.4	-0.0185105	0.0204067	0.0275513
44.6	-0.0200026	0.0198849	0.0282049
44.8	-0.021483	0.0194083	0.0289518
45	-0.0229479	0.0189748	0.0297767
45.2	-0.0243966	0.0185837	0.0306684
45.4	-0.025831	0.018236	0.0316195
45.6	-0.0272534	0.0179329	0.0326242
45.8	-0.0286636	0.0176749	0.033675
46	-0.0300589	0.0174609	0.0347623
46.2	-0.0314356	0.0172892	0.0358763
46.4	-0.0327917	0.0171583	0.0370095
46.6	-0.0341279	0.0170683	0.0381581
46.8	-0.0354459	0.0170197	0.0393203
47	-0.0367466	0.0170133	0.0404941
47.2	-0.0380285	0.0170489	0.0416753
47.4	-0.0392886	0.0171252	0.0428587
47.6	-0.0405241	0.0172407	0.0440392
