# Time	U	V	U_magnitude
0	-0.000173154	-0.000251284	0.000305165
0.2	-0.0140487	-0.0164642	0.0216434
0.4	-0.0201402	-0.0206453	0.0288419
0.6	-0.0273185	-0.0248856	0.0369539
0.8	-0.0380278	-0.0257514	0.0459266
1	-0.050577	-0.0251614	0.0564901
1.2	-0.0691163	-0.0210225	0.0722427
1.4	-0.0928751	-0.0113039	0.0935605
1.6	-0.122192	0.00575109	0.122327
1.8	-0.146549	0.0275377	0.149114
2	-0.148433	0.041426	0.154105
2.2	-0.123406	0.0400205	0.129733
2.4	-0.0807367	0.023166	0.0839945
2.6	-0.03451	-0.00202959	0.0345697
2.8	0.00781373	-0.027981	0.0290515
3	0.0413928	-0.0498486	0.0647939
3.2	0.0649139	-0.0661661	0.0926918
3.4	0.0803559	-0.0776121	0.111717
3.6	0.0896798	-0.0850966	0.123628
3.8	0.094548	-0.0896077	0.130265
4	0.0962559	-0.0919042	0.133085
4.2	0.0957537	-0.092562	0.133178
4.4	0.0937714	-0.0920608	0.131409
4.6	0.0908251	-0.0907219	0.128373
4.8	0.0873101	-0.0888143	0.124543
5	0.0835049	-0.0865299	0.120252
5.2	0.0796026	-0.084014	0.115736
5.4	0.0757378	-0.0813799	0.111171
5.6	0.0719926	-0.0787005	0.106662
5.8	0.0684224	-0.076034	0.102288
