# Time	Value
50.2	-0.0235989
50.4	-0.0236495
50.6	-0.0237125
50.8	-0.0237865
51	-0.0238701
51.2	-0.0239614
51.4	-0.0240589
51.6	-0.0241606
51.8	-0.0242648
52	-0.0243695
52.2	-0.0244729
52.4	-0.0245733
52.6	-0.024669
52.8	-0.0247585
53	-0.0248404
53.2	-0.0249135
53.4	-0.0249768
53.6	-0.0250294
53.8	-0.0250708
54	-0.0251005
54.2	-0.0251185
54.4	-0.0251247
54.6	-0.0251194
54.8	-0.0251032
55	-0.0250766
55.2	-0.0250405
55.4	-0.0249958
55.6	-0.0249436
55.8	-0.0248852
56	-0.0248217
56.2	-0.0247544
56.4	-0.0246847
56.6	-0.0246138
56.8	-0.0245431
57	-0.0244737
57.2	-0.0244067
57.4	-0.0243433
57.6	-0.0242845
57.8	-0.024231
58	-0.0241837
58.2	-0.0241431
58.4	-0.0241098
58.6	-0.0240841
58.8	-0.0240663
59	-0.0240565
59.2	-0.0240547
59.4	-0.0240607
59.6	-0.0240742
59.8	-0.024095
60	-0.0241226
60.2	-0.0241563
60.4	-0.0241956
60.6	-0.0242398
60.8	-0.0242881
61	-0.0243396
61.2	-0.0243935
61.4	-0.0244489
61.6	-0.024505
61.8	-0.0245608
62	-0.0246155
62.2	-0.0246684
62.4	-0.0247186
62.6	-0.0247655
62.8	-0.0248084
63	-0.0248469
63.2	-0.0248805
63.4	-0.0249088
63.6	-0.0249316
63.8	-0.0249489
64	-0.0249606
64.2	-0.0249667
64.4	-0.0249674
64.6	-0.024963
64.8	-0.0249539
65	-0.0249403
65.2	-0.024923
65.4	-0.0249022
65.6	-0.0248787
65.8	-0.0248531
66	-0.0248258
66.2	-0.0247976
66.4	-0.0247691
66.6	-0.0247408
66.8	-0.0247134
67	-0.0246873
67.2	-0.0246631
67.4	-0.0246412
67.6	-0.0246219
67.8	-0.0246057
68	-0.0245927
68.2	-0.0245832
68.4	-0.0245774
68.6	-0.0245753
68.8	-0.024577
69	-0.0245823
69.2	-0.0245913
69.4	-0.0246037
69.6	-0.0246193
69.8	-0.024638
70	-0.0246593
70.2	-0.024683
70.4	-0.0247088
70.6	-0.0247362
70.8	-0.0247648
71	-0.0247942
