"Points_Y","velocity_X"
0,-0.00459492
0.001,-0.00912931
0.002,-0.0136637
0.003,-0.0181981
0.004,-0.0227123
0.005,-0.0270618
0.006,-0.0314113
0.007,-0.0357608
0.008,-0.0400707
0.009,-0.0442383
0.01,-0.0484059
0.011,-0.0525734
0.012,-0.0566824
0.013,-0.0606707
0.014,-0.0646589
0.015,-0.0686471
0.016,-0.0725585
0.017,-0.0763703
0.018,-0.0801821
0.019,-0.0839938
0.02,-0.0877115
0.021,-0.0913506
0.022,-0.0949897
0.023,-0.0986287
0.024,-0.102158
0.025,-0.105629
0.026,-0.1091
0.027,-0.112572
0.028,-0.11592
0.029,-0.119229
0.03,-0.122539
0.031,-0.125848
0.032,-0.129023
0.033,-0.132178
0.034,-0.135333
0.035,-0.138489
0.036,-0.141501
0.037,-0.14451
0.038,-0.14752
0.039,-0.150517
0.04,-0.15339
0.041,-0.156263
0.042,-0.159137
0.043,-0.161985
0.044,-0.164731
0.045,-0.167478
0.046,-0.170225
0.047,-0.172936
0.048,-0.175567
0.049,-0.178198
0.05,-0.180829
0.051,-0.183416
0.052,-0.18594
0.053,-0.188465
0.054,-0.19099
0.055,-0.193464
0.056,-0.195893
0.057,-0.198322
0.058,-0.200751
0.059,-0.203124
0.06,-0.205466
0.061,-0.207807
0.062,-0.210149
0.063,-0.212431
0.064,-0.214694
0.065,-0.216956
0.066,-0.219219
0.067,-0.221419
0.068,-0.223609
0.069,-0.225799
0.07,-0.227989
0.071,-0.230115
0.072,-0.232238
0.073,-0.234362
0.074,-0.23648
0.075,-0.238541
0.076,-0.240602
0.077,-0.242663
0.078,-0.244713
0.079,-0.246714
0.08,-0.248715
0.081,-0.250717
0.082,-0.252701
0.083,-0.254644
0.084,-0.256587
0.085,-0.25853
0.086,-0.26045
0.087,-0.262336
0.088,-0.264222
0.089,-0.266107
0.09,-0.267963
0.091,-0.269791
0.092,-0.271619
0.093,-0.273446
0.094,-0.275237
0.095,-0.277005
0.096,-0.278773
0.097,-0.280541
0.098,-0.282264
0.099,-0.28397
0.1,-0.285676
0.101,-0.287383
0.102,-0.289035
0.103,-0.290677
0.104,-0.292319
0.105,-0.293961
0.106,-0.295539
0.107,-0.297112
0.108,-0.298686
0.109,-0.300257
0.11,-0.301759
0.111,-0.303262
0.112,-0.304765
0.113,-0.306255
0.114,-0.307683
0.115,-0.309111
0.116,-0.310539
0.117,-0.311946
0.118,-0.313295
0.119,-0.314645
0.12,-0.315994
0.121,-0.317312
0.122,-0.31858
0.123,-0.319847
0.124,-0.321115
0.125,-0.32234
0.126,-0.323522
0.127,-0.324704
0.128,-0.325886
0.129,-0.327016
0.13,-0.328109
0.131,-0.329203
0.132,-0.330296
0.133,-0.331325
0.134,-0.332327
0.135,-0.333329
0.136,-0.334331
0.137,-0.335257
0.138,-0.336165
0.139,-0.337074
0.14,-0.337982
0.141,-0.338802
0.142,-0.339614
0.143,-0.340426
0.144,-0.341235
0.145,-0.34195
0.146,-0.342664
0.147,-0.343379
0.148,-0.344079
0.149,-0.344695
0.15,-0.345311
0.151,-0.345927
0.152,-0.346517
0.153,-0.347033
0.154,-0.347549
0.155,-0.348065
0.156,-0.348545
0.157,-0.348962
0.158,-0.349378
0.159,-0.349794
0.16,-0.350163
0.161,-0.350479
0.162,-0.350795
0.163,-0.351111
0.164,-0.35137
0.165,-0.351587
0.166,-0.351804
0.167,-0.35202
0.168,-0.35217
0.169,-0.352288
0.17,-0.352407
0.171,-0.352525
0.172,-0.352567
0.173,-0.352588
0.174,-0.35261
0.175,-0.352632
0.176,-0.352568
0.177,-0.352495
0.178,-0.352421
0.179,-0.352347
0.18,-0.352181
0.181,-0.352016
0.182,-0.35185
0.183,-0.351674
0.184,-0.351418
0.185,-0.351163
0.186,-0.350907
0.187,-0.350632
0.188,-0.35029
0.189,-0.349947
0.19,-0.349605
0.191,-0.349234
0.192,-0.348809
0.193,-0.348383
0.194,-0.347957
0.195,-0.347496
0.196,-0.346991
0.197,-0.346485
0.198,-0.34598
0.199,-0.345433
0.2,-0.344852
0.201,-0.344271
0.202,-0.34369
0.203,-0.343062
0.204,-0.34241
0.205,-0.341757
0.206,-0.341105
0.207,-0.340401
0.208,-0.339681
0.209,-0.338962
0.21,-0.338242
0.211,-0.337468
0.212,-0.336686
0.213,-0.335905
0.214,-0.335123
0.215,-0.334284
0.216,-0.333444
0.217,-0.332605
0.218,-0.33176
0.219,-0.330867
0.22,-0.329975
0.221,-0.329082
0.222,-0.328179
0.223,-0.327239
0.224,-0.326298
0.225,-0.325357
0.226,-0.324402
0.227,-0.323418
0.228,-0.322434
0.229,-0.321449
0.23,-0.320449
0.231,-0.319425
0.232,-0.318402
0.233,-0.317379
0.234,-0.316338
0.235,-0.315281
0.236,-0.314223
0.237,-0.313166
0.238,-0.31209
0.239,-0.311003
0.24,-0.309917
0.241,-0.30883
0.242,-0.307724
0.243,-0.306613
0.244,-0.305501
0.245,-0.304389
0.246,-0.303259
0.247,-0.302127
0.248,-0.300994
0.249,-0.299861
0.25,-0.298712
0.251,-0.297562
0.252,-0.296413
0.253,-0.295262
0.254,-0.2941
0.255,-0.292937
0.256,-0.291774
0.257,-0.29061
0.258,-0.289438
0.259,-0.288266
0.26,-0.287094
0.261,-0.28592
0.262,-0.284742
0.263,-0.283564
