# Time	U	V	U_magnitude
0	-7.22305e-28	1.16633e-27	1.37188e-27
0.2	-0.00999256	9.22449e-05	0.00999299
0.4	-0.0203495	0.000123012	0.0203499
0.6	-0.0125584	0.000515527	0.012569
0.8	-0.0190226	0.000275918	0.0190246
1	-0.0258883	0.00137169	0.0259246
1.2	-0.0204295	0.00116443	0.0204627
1.4	-0.0242644	0.00146565	0.0243086
1.6	-0.0297204	0.00255636	0.0298302
1.8	-0.0259792	0.0025792	0.0261069
2	-0.0284637	0.00282963	0.028604
2.2	-0.0323961	0.00410944	0.0326557
2.4	-0.0302334	0.00423969	0.0305292
2.6	-0.031762	0.00457432	0.0320897
2.8	-0.0348211	0.00588699	0.0353152
3	-0.0336097	0.00621677	0.0341798
3.2	-0.0347727	0.00664642	0.0354022
3.4	-0.0371711	0.00798302	0.0380186
3.6	-0.0367268	0.00853506	0.0377055
3.8	-0.0377244	0.0090884	0.0388037
4	-0.0397474	0.010467	0.0411024
4.2	-0.0398706	0.0112311	0.0414222
4.4	-0.0408689	0.0119486	0.0425798
4.6	-0.0426888	0.013368	0.044733
4.8	-0.0432562	0.0143448	0.0455727
5	-0.0443503	0.0152324	0.0468932
5.2	-0.0460846	0.0167106	0.0490208
5.4	-0.047018	0.0178795	0.0503028
5.6	-0.0482551	0.0189457	0.0518411
5.8	-0.0499957	0.0204916	0.0540322
6	-0.0512344	0.0218391	0.0556948
6.2	-0.0526498	0.0230823	0.0574873
6.4	-0.0544557	0.0247093	0.0597994
6.6	-0.0559657	0.0262225	0.0618043
6.8	-0.0575772	0.0276407	0.0638682
7	-0.0594947	0.0293619	0.0663456
7.2	-0.0612529	0.0310322	0.0686652
7.4	-0.0630737	0.0326236	0.0710112
7.6	-0.0651359	0.0344518	0.0736859
7.8	-0.0671299	0.0362747	0.0763038
8	-0.0691691	0.0380379	0.0789382
8.2	-0.0714017	0.0399867	0.081836
8.4	-0.0736268	0.0419627	0.0847453
8.6	-0.0758937	0.0439015	0.0876767
8.8	-0.0783217	0.0459913	0.0908267
