# Frequency	Magnitude
0	5.77134e-17
0.00488281	0.000135013
0.00976563	0.000157054
0.0146484	0.000142215
0.0195313	0.00012244
0.0244141	0.000105011
0.0292969	9.08449e-05
0.0341797	7.94536e-05
0.0390625	7.01952e-05
0.0439453	6.25624e-05
0.0488281	5.62704e-05
0.0537109	5.13808e-05
0.0585938	4.83184e-05
0.0634766	4.6844e-05
0.0683594	4.53206e-05
0.0732422	4.30853e-05
0.078125	4.06094e-05
0.0830078	3.82431e-05
0.0878906	3.609e-05
0.0927734	3.41547e-05
0.0976563	3.24154e-05
0.102539	3.08466e-05
0.107422	2.94248e-05
0.112305	2.81303e-05
0.117188	2.69461e-05
0.12207	2.58586e-05
0.126953	2.48565e-05
0.131836	2.39304e-05
0.136719	2.30721e-05
0.141602	2.22743e-05
0.146484	2.15307e-05
0.151367	2.08358e-05
0.15625	2.01849e-05
0.161133	1.95739e-05
0.166016	1.89991e-05
0.170898	1.84574e-05
0.175781	1.79459e-05
0.180664	1.74622e-05
0.185547	1.70039e-05
0.19043	1.65693e-05
0.195313	1.61563e-05
0.200195	1.57636e-05
0.205078	1.53895e-05
0.209961	1.50328e-05
0.214844	1.46923e-05
0.219727	1.43669e-05
0.224609	1.40556e-05
0.229492	1.37575e-05
0.234375	1.34718e-05
0.239258	1.31978e-05
0.244141	1.29348e-05
0.249023	1.26821e-05
0.253906	1.24392e-05
0.258789	1.22056e-05
0.263672	1.19806e-05
0.268555	1.17639e-05
0.273438	1.15551e-05
0.27832	1.13537e-05
0.283203	1.11594e-05
0.288086	1.09718e-05
0.292969	1.07906e-05
0.297852	1.06155e-05
0.302734	1.04462e-05
0.307617	1.02823e-05
0.3125	1.01238e-05
0.317383	9.97018e-06
0.322266	9.82137e-06
0.327148	9.67711e-06
0.332031	9.53719e-06
0.336914	9.40141e-06
0.341797	9.26958e-06
0.34668	9.14152e-06
0.351563	9.01706e-06
0.356445	8.89605e-06
0.361328	8.77832e-06
0.366211	8.66374e-06
0.371094	8.55217e-06
0.375977	8.44348e-06
0.380859	8.33755e-06
0.385742	8.23428e-06
0.390625	8.13355e-06
0.395508	8.03527e-06
0.400391	7.93934e-06
0.405273	7.84566e-06
0.410156	7.75418e-06
0.415039	7.66479e-06
0.419922	7.57745e-06
0.424805	7.49208e-06
0.429688	7.40862e-06
0.43457	7.32702e-06
0.439453	7.24723e-06
0.444336	7.16919e-06
0.449219	7.09286e-06
