# Time	Value
50.2	-0.0603796
50.4	-0.0602775
50.6	-0.0601765
50.8	-0.0600769
51	-0.0599785
51.2	-0.0598816
51.4	-0.059786
51.6	-0.0596919
51.8	-0.0595993
52	-0.0595083
52.2	-0.0594189
52.4	-0.0593311
52.6	-0.059245
52.8	-0.0591606
53	-0.0590779
53.2	-0.058997
53.4	-0.058918
53.6	-0.0588407
53.8	-0.0587653
54	-0.0586918
54.2	-0.0586201
54.4	-0.0585503
54.6	-0.0584824
54.8	-0.0584164
55	-0.0583523
55.2	-0.05829
55.4	-0.0582296
55.6	-0.0581711
55.8	-0.0581143
56	-0.0580593
56.2	-0.0580061
56.4	-0.0579547
56.6	-0.0579049
56.8	-0.0578567
57	-0.0578102
57.2	-0.0577652
57.4	-0.0577218
57.6	-0.0576798
57.8	-0.0576392
58	-0.0576
58.2	-0.0575621
58.4	-0.0575254
58.6	-0.0574899
58.8	-0.0574555
59	-0.0574222
59.2	-0.0573899
59.4	-0.0573586
59.6	-0.0573281
59.8	-0.0572985
60	-0.0572697
60.2	-0.0572416
60.4	-0.0572141
60.6	-0.0571873
60.8	-0.0571611
61	-0.0571353
61.2	-0.0571101
61.4	-0.0570853
61.6	-0.0570608
61.8	-0.0570367
62	-0.057013
62.2	-0.0569895
62.4	-0.0569663
62.6	-0.0569433
62.8	-0.0569204
63	-0.0568978
63.2	-0.0568753
63.4	-0.056853
63.6	-0.0568308
63.8	-0.0568087
64	-0.0567868
64.2	-0.0567649
64.4	-0.0567431
64.6	-0.0567214
64.8	-0.0566999
65	-0.0566784
65.2	-0.0566571
65.4	-0.0566358
65.6	-0.0566147
65.8	-0.0565938
66	-0.0565729
66.2	-0.0565523
66.4	-0.0565318
66.6	-0.0565115
66.8	-0.0564914
67	-0.0564716
67.2	-0.0564519
67.4	-0.0564326
67.6	-0.0564135
67.8	-0.0563947
68	-0.0563762
68.2	-0.0563581
68.4	-0.0563403
68.6	-0.0563228
68.8	-0.0563057
69	-0.0562891
69.2	-0.0562728
69.4	-0.0562569
69.6	-0.0562415
69.8	-0.0562265
70	-0.0562119
70.2	-0.0561978
70.4	-0.0561842
70.6	-0.056171
70.8	-0.0561583
71	-0.0561461
71.2	-0.0561343
71.4	-0.056123
71.6	-0.0561122
71.8	-0.0561019
72	-0.056092
72.2	-0.0560826
72.4	-0.0560737
72.6	-0.0560652
72.8	-0.0560571
73	-0.0560495
73.2	-0.0560423
73.4	-0.0560355
73.6	-0.0560291
73.8	-0.0560231
74	-0.0560174
74.2	-0.0560121
74.4	-0.0560072
74.6	-0.0560025
74.8	-0.0559982
75	-0.0559941
75.2	-0.0559903
75.4	-0.0559868
75.6	-0.0559835
75.8	-0.0559804
76	-0.0559775
76.2	-0.0559748
76.4	-0.0559723
76.6	-0.05597
76.8	-0.0559678
77	-0.0559657
77.2	-0.0559637
77.4	-0.0559618
77.6	-0.05596
77.8	-0.0559583
78	-0.0559566
78.2	-0.055955
78.4	-0.0559535
78.6	-0.0559519
78.8	-0.0559504
79	-0.0559489
79.2	-0.0559475
79.4	-0.055946
79.6	-0.0559445
79.8	-0.055943
80	-0.0559415
80.2	-0.05594
80.4	-0.0559385
80.6	-0.055937
80.8	-0.0559355
81	-0.055934
81.2	-0.0559324
81.4	-0.0559308
81.6	-0.0559293
81.8	-0.0559277
82	-0.0559261
82.2	-0.0559246
82.4	-0.055923
82.6	-0.0559215
82.8	-0.0559199
83	-0.0559184
83.2	-0.0559169
83.4	-0.0559155
83.6	-0.0559141
83.8	-0.0559127
84	-0.0559114
84.2	-0.0559101
84.4	-0.0559089
84.6	-0.0559078
84.8	-0.0559067
85	-0.0559057
85.2	-0.0559048
85.4	-0.0559039
85.6	-0.0559032
85.8	-0.0559025
86	-0.0559019
86.2	-0.0559014
86.4	-0.0559011
86.6	-0.0559008
86.8	-0.0559006
87	-0.0559005
87.2	-0.0559006
87.4	-0.0559007
87.6	-0.055901
87.8	-0.0559013
88	-0.0559018
88.2	-0.0559023
88.4	-0.055903
88.6	-0.0559038
88.8	-0.0559047
89	-0.0559056
89.2	-0.0559067
89.4	-0.0559079
89.6	-0.0559091
