# Time	U	V	U_magnitude
0	-1.76969e-115	9.17638e-115	9.34547e-115
0.2	-8.80083e-07	5.86619e-07	1.05767e-06
0.4	-0.0102204	-4.15739e-05	0.0102205
0.6	-0.0159431	2.69797e-05	0.0159432
0.8	-0.0156221	5.44854e-05	0.0156222
1	-0.0113167	0.000298129	0.0113206
1.2	-0.00785476	0.000133377	0.00785589
1.4	-0.0129196	8.86672e-05	0.0129199
1.6	-0.0194533	0.000335083	0.0194561
1.8	-0.0216702	0.000571941	0.0216778
2	-0.0192478	0.000675098	0.0192597
2.2	-0.01473	0.000455399	0.014737
2.4	-0.0156747	0.000525257	0.0156835
2.6	-0.0209808	0.000789143	0.0209956
2.8	-0.025054	0.00106702	0.0250767
3	-0.0246996	0.00124692	0.0247311
3.2	-0.0206197	0.00119706	0.0206544
3.4	-0.0193358	0.00117309	0.0193713
3.6	-0.0222445	0.00127747	0.0222811
3.8	-0.0266064	0.00164068	0.026657
4	-0.0281352	0.00203638	0.0282088
4.2	-0.0257071	0.0020966	0.0257924
4.4	-0.0232725	0.00197264	0.0233559
4.6	-0.0238761	0.00199045	0.0239589
4.8	-0.0274257	0.00235665	0.0275267
5	-0.030196	0.00282775	0.0303281
5.2	-0.0295256	0.00304086	0.0296818
5.4	-0.0270458	0.00301139	0.027213
5.6	-0.0261318	0.00295366	0.0262982
5.8	-0.0283135	0.0031592	0.0284892
6	-0.0312877	0.0036283	0.0314974
6.2	-0.0320665	0.00405598	0.032322
6.4	-0.0304515	0.00418879	0.0307383
6.6	-0.0288394	0.0040838	0.0291271
6.8	-0.0295267	0.00413559	0.029815
7	-0.0319789	0.00454544	0.0323003
7.2	-0.0337244	0.00508538	0.0341056
7.4	-0.0332474	0.00539236	0.0336818
7.6	-0.0316136	0.00537982	0.0320681
7.8	-0.0312061	0.00535057	0.0316615
8	-0.0328088	0.00560857	0.0332848
8.2	-0.0348434	0.00613894	0.03538
8.4	-0.0353452	0.00662729	0.0359612
8.6	-0.034247	0.00680168	0.0349159
8.8	-0.0333262	0.0067625	0.0340053
9	-0.0339953	0.00686479	0.0346815
9.2	-0.0357662	0.0073133	0.0365063
9.4	-0.0369432	0.00790697	0.0377799
9.6	-0.0366231	0.0082768	0.0375467
9.8	-0.0356658	0.00833383	0.0366266
10	-0.035599	0.00835961	0.0365673
10.2	-0.036847	0.0086729	0.0378539
10.4	-0.038296	0.00925761	0.0393991
10.6	-0.0386769	0.0097934	0.0398975
10.8	-0.038043	0.0100307	0.0393432
11	-0.0376092	0.0100703	0.0389341
11.2	-0.0382763	0.0102494	0.0396248
11.4	-0.0396213	0.0107474	0.0410531
11.6	-0.0404918	0.0113769	0.0420597
11.8	-0.0403708	0.0118055	0.0420615
12	-0.0399059	0.0119463	0.0416557
12.2	-0.0400949	0.0120586	0.0418689
12.4	-0.0411293	0.0124351	0.0429681
12.6	-0.0422319	0.0130604	0.0442053
12.8	-0.0426066	0.0136389	0.0447363
13	-0.0423501	0.0139443	0.0445867
13.2	-0.0422836	0.0140783	0.0445657
13.4	-0.0429591	0.0143436	0.0452904
13.6	-0.0440464	0.014891	0.0464954
13.8	-0.0447795	0.0155486	0.0474021
14	-0.0448637	0.0160277	0.0476408
14.2	-0.044772	0.0162594	0.047633
14.4	-0.0451475	0.0164703	0.048058
14.6	-0.0460636	0.016912	0.0490701
14.8	-0.0469845	0.0175676	0.0501614
15	-0.047417	0.0181796	0.0507826
15.2	-0.0474668	0.0185562	0.050965
15.4	-0.0476766	0.0187901	0.0512457
15.6	-0.0483772	0.0191415	0.0520264
15.8	-0.0493249	0.0197327	0.0531256
16	-0.0500222	0.0204123	0.0540267
16.2	-0.0503045	0.0209388	0.0544884
16.4	-0.050501	0.0212613	0.0547941
16.6	-0.0510216	0.0215717	0.0553944
16.8	-0.0518863	0.0220758	0.0563873
17	-0.0527344	0.0227552	0.0574345
17.2	-0.0532626	0.0233966	0.0581748
17.4	-0.0535624	0.0238442	0.05863
17.6	-0.0539867	0.0241778	0.0591534
17.8	-0.0547311	0.024611	0.06001
18	-0.0556242	0.0252407	0.0610831
18.2	-0.0563495	0.0259404	0.0620336
18.4	-0.0568157	0.0265148	0.0626981
18.6	-0.0572428	0.0269262	0.0632595
18.8	-0.0578882	0.0273314	0.064016
19	-0.0587524	0.0278938	0.0650378
19.2	-0.0596	0.0285961	0.0661052
19.4	-0.0602443	0.0292675	0.0669774
19.6	-0.0607541	0.0297857	0.0676627
19.8	-0.0613546	0.0302153	0.0683912
20	-0.0621622	0.0307255	0.0693412
20.2	-0.063062	0.0313918	0.0704433
20.4	-0.0638557	0.0321137	0.0714762
20.6	-0.0644918	0.0327379	0.0723254
20.8	-0.0651119	0.0332357	0.0731039
21	-0.0658756	0.0337301	0.0740089
21.2	-0.0667794	0.034348	0.0750951
21.4	-0.0676743	0.0350759	0.0762242
21.6	-0.0684455	0.0357811	0.0772339
21.8	-0.0691385	0.0363695	0.0781209
22	-0.0698945	0.0368903	0.0790325
22.2	-0.070784	0.0374737	0.0800915
22.4	-0.0717343	0.0381783	0.0812613
22.6	-0.072623	0.0389281	0.0823984
22.8	-0.073419	0.0396055	0.0834203
23	-0.0742101	0.0401878	0.0843931
23.2	-0.0750945	0.0407677	0.085447
23.4	-0.0760706	0.0414428	0.086627
23.6	-0.0770471	0.0422042	0.0878491
