"Points_Y","velocity_X"
0.316,-0.229246
0.317,-0.228197
0.318,-0.227149
0.319,-0.226107
0.32,-0.225066
0.321,-0.224031
0.322,-0.222998
0.323,-0.221969
0.324,-0.220943
0.325,-0.21992
0.326,-0.218901
0.327,-0.217885
0.328,-0.216872
0.329,-0.215862
0.33,-0.214855
0.331,-0.213851
0.332,-0.212851
0.333,-0.211853
0.334,-0.210858
0.335,-0.209865
0.336,-0.208876
0.337,-0.207889
0.338,-0.206905
0.339,-0.205923
0.34,-0.204945
0.341,-0.203967
0.342,-0.202994
0.343,-0.202021
0.344,-0.201053
0.345,-0.200085
0.346,-0.199121
0.347,-0.198157
0.348,-0.197198
0.349,-0.196238
0.35,-0.195283
0.351,-0.194327
0.352,-0.193376
0.353,-0.192424
0.354,-0.191476
0.355,-0.190528
0.356,-0.189583
0.357,-0.188639
0.358,-0.187697
0.359,-0.186756
0.36,-0.185817
0.361,-0.18488
0.362,-0.183943
0.363,-0.183008
0.364,-0.182075
0.365,-0.181143
0.366,-0.180212
0.367,-0.179282
0.368,-0.178353
0.369,-0.177426
0.37,-0.176499
0.371,-0.175574
0.372,-0.17465
0.373,-0.173727
0.374,-0.172804
0.375,-0.171883
0.376,-0.170962
0.377,-0.170042
0.378,-0.169123
0.379,-0.168205
0.38,-0.167287
0.381,-0.16637
0.382,-0.165454
0.383,-0.164538
0.384,-0.163623
0.385,-0.162709
0.386,-0.161795
0.387,-0.160881
0.388,-0.159968
0.389,-0.159056
0.39,-0.158144
0.391,-0.157232
0.392,-0.156321
0.393,-0.15541
0.394,-0.154499
0.395,-0.153589
0.396,-0.152679
0.397,-0.151769
0.398,-0.150859
0.399,-0.14995
0.4,-0.149041
0.401,-0.148132
0.402,-0.147223
0.403,-0.146314
0.404,-0.145405
0.405,-0.144497
0.406,-0.143588
0.407,-0.14268
0.408,-0.141772
0.409,-0.140863
0.41,-0.139955
0.411,-0.139047
0.412,-0.138139
0.413,-0.13723
0.414,-0.136322
0.415,-0.135414
0.416,-0.134505
0.417,-0.133597
0.418,-0.132688
0.419,-0.131779
0.42,-0.130871
0.421,-0.129962
0.422,-0.129053
0.423,-0.128144
0.424,-0.127234
0.425,-0.126325
0.426,-0.125415
0.427,-0.124505
0.428,-0.123596
0.429,-0.122686
0.43,-0.121775
0.431,-0.120865
0.432,-0.119954
0.433,-0.119043
0.434,-0.118132
0.435,-0.117221
0.436,-0.116309
0.437,-0.115397
0.438,-0.114485
0.439,-0.113573
0.44,-0.112661
0.441,-0.111748
0.442,-0.110835
0.443,-0.109922
0.444,-0.109008
0.445,-0.108095
0.446,-0.107181
0.447,-0.106266
0.448,-0.105352
0.449,-0.104437
0.45,-0.103522
0.451,-0.102607
0.452,-0.101691
0.453,-0.100775
0.454,-0.0998592
0.455,-0.0989426
0.456,-0.098026
0.457,-0.0971089
0.458,-0.0961916
0.459,-0.0952739
0.46,-0.0943561
0.461,-0.0934378
0.462,-0.0925194
0.463,-0.0916005
0.464,-0.0906815
0.465,-0.0897619
0.466,-0.0888423
0.467,-0.0879222
0.468,-0.0870019
0.469,-0.0860812
0.47,-0.0851603
0.471,-0.084239
0.472,-0.0833175
0.473,-0.0823956
0.474,-0.0814734
0.475,-0.0805509
0.476,-0.0796281
0.477,-0.078705
0.478,-0.0777816
0.479,-0.0768578
0.48,-0.0759337
0.481,-0.0750093
0.482,-0.0740846
0.483,-0.0731596
0.484,-0.0722342
0.485,-0.0713086
0.486,-0.0703825
0.487,-0.0694562
0.488,-0.0685295
0.489,-0.0676026
0.49,-0.0666752
0.491,-0.0657477
0.492,-0.0648196
0.493,-0.0638914
0.494,-0.0629627
0.495,-0.0620339
0.496,-0.0611045
0.497,-0.0601749
0.498,-0.0592448
0.499,-0.0583146
0.5,-0.0573838
0.501,-0.056453
0.502,-0.0555215
0.503,-0.0545899
0.504,-0.0536578
0.505,-0.0527256
0.506,-0.0517927
0.507,-0.0508597
0.508,-0.0499262
0.509,-0.0489926
0.51,-0.0480583
0.511,-0.0471239
0.512,-0.046189
0.513,-0.0452538
0.514,-0.0443182
0.515,-0.0433823
0.516,-0.042446
0.517,-0.0415093
0.518,-0.0405723
0.519,-0.0396349
0.52,-0.0386971
0.521,-0.0377589
0.522,-0.0368204
0.523,-0.0358815
0.524,-0.0349422
0.525,-0.0340025
0.526,-0.0330624
0.527,-0.0321219
0.528,-0.0311811
0.529,-0.0302397
0.53,-0.0292982
0.531,-0.028356
0.532,-0.0274136
0.533,-0.0264706
0.534,-0.0255275
0.535,-0.0245836
0.536,-0.0236397
0.537,-0.022695
0.538,-0.0217502
0.539,-0.0208046
0.54,-0.019859
0.541,-0.0189125
0.542,-0.017966
0.543,-0.0170187
0.544,-0.0160712
0.545,-0.0151231
0.546,-0.0141748
0.547,-0.0132258
0.548,-0.0122766
0.549,-0.0113266
0.55,-0.0103764
0.551,-0.00942553
0.552,-0.00847439
0.553,-0.00752263
0.554,-0.00657045
0.555,-0.00561776
0.556,-0.00466464
0.557,-0.003711
0.558,-0.00275682
0.559,-0.00180221
0.56,-0.000847056
0.561,0.000108539
0.562,0.0010647
0.563,0.0020213
0.564,0.00297846
0.565,0.00393595
0.566,0.00489413
0.567,0.00585261
0.568,0.00681188
0.569,0.00777136
0.57,0.00873164
0.571,0.00969213
0.572,0.0106536
0.573,0.0116151
0.574,0.0125776
0.575,0.0135402
0.576,0.0145038
0.577,0.0154675
0.578,0.0164323
0.579,0.0173972
0.58,0.0183631
0.581,0.0193291
0.582,0.0202962
0.583,0.0212635
0.584,0.0222318
0.585,0.0232003
0.586,0.0241698
0.587,0.0251396
0.588,0.0261103
0.589,0.0270814
0.59,0.0280534
0.591,0.0290259
0.592,0.0299992
0.593,0.030973
0.594,0.0319476
0.595,0.0329228
0.596,0.0338988
0.597,0.0348755
0.598,0.0358528
0.599,0.0368309
0.6,0.0378097
0.601,0.0387893
0.602,0.0397695
0.603,0.0407506
0.604,0.0417322
0.605,0.042715
0.606,0.0436982
0.607,0.0446825
0.608,0.0456672
0.609,0.0466532
0.61,0.0476395
0.611,0.0486271
0.612,0.049615
0.613,0.0506043
0.614,0.0515939
0.615,0.052585
0.616,0.0535762
0.617,0.0545691
0.618,0.0555621
0.619,0.0565568
0.62,0.0575516
0.621,0.058548
0.622,0.0595447
0.623,0.060543
0.624,0.0615416
0.625,0.0625417
0.626,0.0635423
0.627,0.0645442
0.628,0.0655469
0.629,0.0665507
0.63,0.0675554
0.631,0.0685612
0.632,0.069568
0.633,0.0705759
