# Time	Value
50.2	-0.0296502
50.4	-0.0293701
50.6	-0.029108
50.8	-0.0288655
51	-0.0286441
51.2	-0.0284449
51.4	-0.0282691
51.6	-0.0281174
51.8	-0.0279906
52	-0.0278891
52.2	-0.0278131
52.4	-0.0277625
52.6	-0.0277371
52.8	-0.0277363
53	-0.0277591
53.2	-0.0278048
53.4	-0.0278721
53.6	-0.0279597
53.8	-0.0280661
54	-0.0281897
54.2	-0.0283286
54.4	-0.0284809
54.6	-0.0286445
54.8	-0.0288171
55	-0.0289967
55.2	-0.0291806
55.4	-0.0293667
55.6	-0.0295524
55.8	-0.0297355
56	-0.0299137
56.2	-0.0300847
56.4	-0.0302465
56.6	-0.0303972
56.8	-0.0305348
57	-0.0306577
57.2	-0.0307645
57.4	-0.0308538
57.6	-0.0309246
57.8	-0.0309762
58	-0.0310077
58.2	-0.0310189
58.4	-0.0310096
58.6	-0.0309798
58.8	-0.0309299
59	-0.0308604
59.2	-0.030772
59.4	-0.0306655
59.6	-0.0305423
59.8	-0.0304034
60	-0.0302505
60.2	-0.030085
60.4	-0.0299085
60.6	-0.0297229
60.8	-0.0295299
61	-0.0293313
61.2	-0.029129
61.4	-0.0289247
61.6	-0.0287205
61.8	-0.0285179
62	-0.0283188
62.2	-0.0281249
62.4	-0.0279377
62.6	-0.0277588
62.8	-0.0275895
63	-0.0274312
63.2	-0.0272851
63.4	-0.0271521
63.6	-0.0270331
63.8	-0.026929
64	-0.0268403
64.2	-0.0267674
64.4	-0.0267106
64.6	-0.02667
64.8	-0.0266456
65	-0.0266372
65.2	-0.0266444
65.4	-0.0266668
65.6	-0.0267037
65.8	-0.0267544
66	-0.0268179
66.2	-0.0268932
66.4	-0.0269792
66.6	-0.0270746
66.8	-0.027178
67	-0.0272881
67.2	-0.0274033
67.4	-0.0275222
67.6	-0.0276431
67.8	-0.0277645
68	-0.0278848
68.2	-0.0280026
68.4	-0.0281165
68.6	-0.0282249
68.8	-0.0283266
69	-0.0284204
69.2	-0.0285052
69.4	-0.0285801
69.6	-0.0286442
69.8	-0.0286968
70	-0.0287374
70.2	-0.0287655
70.4	-0.028781
70.6	-0.0287837
70.8	-0.0287738
71	-0.0287514
71.2	-0.028717
71.4	-0.0286709
71.6	-0.0286138
71.8	-0.0285465
72	-0.0284697
72.2	-0.0283845
72.4	-0.0282917
72.6	-0.0281925
72.8	-0.028088
73	-0.0279793
73.2	-0.0278676
73.4	-0.0277541
73.6	-0.0276399
73.8	-0.0275262
74	-0.027414
74.2	-0.0273046
74.4	-0.0271988
