# Time	U	V	U_magnitude
0	-3.30226e-28	5.31951e-28	6.26116e-28
0.2	-0.00366189	0.000151904	0.00366504
0.4	-0.0165673	9.49174e-05	0.0165675
0.6	-0.0124519	0.000758105	0.0124749
0.8	-0.00958346	0.000486523	0.0095958
1	-0.0171144	0.000867345	0.0171363
1.2	-0.0196046	0.00208646	0.0197153
1.4	-0.0154554	0.001996	0.0155838
1.6	-0.0167976	0.00206624	0.0169242
1.8	-0.0215758	0.00334837	0.021834
2	-0.020437	0.00422619	0.0208694
2.2	-0.0188857	0.00403895	0.0193128
2.4	-0.0219451	0.0048785	0.0224808
2.6	-0.0237744	0.00655984	0.0246628
2.8	-0.0225887	0.00696545	0.0236382
3	-0.0234018	0.00732131	0.0245203
3.2	-0.0260542	0.0090242	0.0275727
3.4	-0.0265527	0.0104253	0.028526
3.6	-0.0265449	0.0108639	0.028682
3.8	-0.028484	0.0121006	0.0309477
4	-0.0302443	0.0140842	0.0333628
4.2	-0.0307412	0.0152041	0.0342956
4.4	-0.0318946	0.0161579	0.035754
4.6	-0.0339415	0.0180965	0.0384644
4.8	-0.0353239	0.0199678	0.0405769
5	-0.0363677	0.0211735	0.0420824
5.2	-0.0381606	0.022844	0.0444756
5.4	-0.0401	0.0250879	0.0473013
5.6	-0.0415618	0.0268956	0.0495051
5.8	-0.043177	0.0285476	0.0517612
6	-0.0452363	0.030806	0.0547297
6.2	-0.0471757	0.0331648	0.0576667
6.4	-0.0489244	0.0351705	0.0602541
6.6	-0.0509353	0.0374092	0.063197
6.8	-0.0531329	0.0400626	0.0665441
7	-0.0551836	0.0425878	0.0697062
7.2	-0.0572291	0.0450234	0.0728167
7.4	-0.0594874	0.0478106	0.0763191
7.6	-0.0617853	0.0507773	0.0799735
7.8	-0.0639884	0.0536261	0.0834882
8	-0.0662682	0.0566101	0.087156
8.2	-0.0686911	0.0599239	0.0911556
8.4	-0.0711171	0.063369	0.0952537
8.6	-0.0735651	0.0669804	0.0994897
8.8	-0.076202	0.0711273	0.104239
9	-0.0790441	0.0759832	0.109642
9.2	-0.0820309	0.0815889	0.115697
9.4	-0.0852216	0.0882016	0.122647
9.6	-0.0886506	0.0960509	0.130708
9.8	-0.0921846	0.105038	0.139753
10	-0.0956753	0.114959	0.149564
10.2	-0.0990469	0.125663	0.160004
10.4	-0.102175	0.136859	0.170793
10.6	-0.104881	0.148112	0.181486
10.8	-0.107066	0.159067	0.191743
11	-0.108692	0.169466	0.201327
11.2	-0.109699	0.179007	0.209946
11.4	-0.110041	0.187412	0.217329
11.6	-0.109749	0.19454	0.223362
11.8	-0.108877	0.200315	0.227992
12	-0.107458	0.204654	0.23115
12.2	-0.105554	0.207555	0.232853
12.4	-0.103268	0.209113	0.233223
12.6	-0.100688	0.209444	0.232389
12.8	-0.0978828	0.208668	0.230485
13	-0.0949399	0.206967	0.227703
13.2	-0.0919465	0.204547	0.224263
13.4	-0.0889561	0.201588	0.220342
13.6	-0.0860104	0.198253	0.216107
13.8	-0.0831548	0.194716	0.211728
14	-0.0804154	0.191113	0.207342
14.2	-0.0777942	0.187535	0.203031
14.4	-0.0752936	0.184053	0.198858
14.6	-0.0729165	0.180719	0.194875
14.8	-0.0706513	0.177553	0.191094
15	-0.0684818	0.174546	0.187499
15.2	-0.0664002	0.171688	0.184081
15.4	-0.0643994	0.168963	0.18082
15.6	-0.0624659	0.166338	0.17768
15.8	-0.0605915	0.163781	0.17463
16	-0.0587753	0.161272	0.171648
16.2	-0.0570139	0.158786	0.168711
16.4	-0.0553028	0.156298	0.165794
16.6	-0.0536433	0.153794	0.162881
16.8	-0.0520387	0.151264	0.159965
17	-0.050489	0.148699	0.157037
17.2	-0.0489951	0.146093	0.15409
17.4	-0.0475613	0.143445	0.151124
17.6	-0.0461904	0.140759	0.148144
17.8	-0.0448831	0.138035	0.145149
18	-0.0436415	0.135277	0.142143
18.2	-0.0424689	0.132494	0.139134
18.4	-0.0413658	0.12969	0.136128
18.6	-0.0403326	0.126872	0.133129
18.8	-0.0393705	0.124047	0.130145
19	-0.0384804	0.121224	0.127184
19.2	-0.0376611	0.118406	0.124251
19.4	-0.0369123	0.115602	0.121352
19.6	-0.0362339	0.112819	0.118494
19.8	-0.0356248	0.110061	0.115682
20	-0.0350829	0.107333	0.112921
20.2	-0.0346073	0.104641	0.110215
20.4	-0.0341965	0.10199	0.10757
20.6	-0.0338482	0.099383	0.104989
20.8	-0.0335602	0.0968237	0.102475
21	-0.0333307	0.0943156	0.100032
21.2	-0.0331573	0.0918614	0.0976623
21.4	-0.0330375	0.0894632	0.0953684
21.6	-0.0329687	0.0871231	0.0931524
21.8	-0.032949	0.0848433	0.0910166
22	-0.0329752	0.0826247	0.0889618
22.2	-0.0330448	0.0804688	0.0869896
22.4	-0.0331554	0.0783766	0.0851009
22.6	-0.0333044	0.0763488	0.0832965
22.8	-0.0334887	0.0743858	0.0815766
23	-0.0337062	0.0724882	0.0799415
23.2	-0.0339542	0.070656	0.078391
23.4	-0.03423	0.0688891	0.0769246
23.6	-0.0345308	0.0671876	0.0755417
23.8	-0.0348546	0.0655512	0.0742415
24	-0.0351986	0.0639792	0.0730225
24.2	-0.0355602	0.0624712	0.071883
24.4	-0.0359366	0.0610265	0.0708215
24.6	-0.0363257	0.0596449	0.069836
24.8	-0.036725	0.0583254	0.0689244
25	-0.0371322	0.0570672	0.0680842
25.2	-0.0375451	0.0558695	0.0673129
25.4	-0.0379614	0.0547315	0.0666078
25.6	-0.0383792	0.0536519	0.0659658
25.8	-0.0387965	0.0526295	0.0653837
26	-0.0392112	0.0516628	0.064858
26.2	-0.039621	0.0507507	0.0643852
26.4	-0.0400238	0.0498922	0.063962
26.6	-0.0404179	0.0490863	0.0635851
