# Frequency	Magnitude
0	1.32645e-18
0.00488281	0.000459108
0.00976563	0.000117302
0.0146484	0.000100563
0.0195313	0.000174267
0.0244141	0.000189965
0.0292969	0.000163854
0.0341797	0.000186623
0.0390625	0.000235452
0.0439453	0.00024795
0.0488281	0.000258572
0.0537109	0.000315553
0.0585938	0.000376546
0.0634766	0.000420135
0.0683594	0.000489673
0.0732422	0.000565521
0.078125	0.000601105
0.0830078	0.000611548
0.0878906	0.000491193
0.0927734	0.000333516
0.0976563	0.000243927
0.102539	0.000204767
0.107422	0.000171187
0.112305	0.000137205
0.117188	0.00012303
0.12207	0.000117081
0.126953	9.92429e-05
0.131836	8.30578e-05
0.136719	7.95899e-05
0.141602	6.54054e-05
0.146484	3.95184e-05
0.151367	2.51681e-05
0.15625	4.3405e-06
0.161133	2.36556e-05
0.166016	3.0556e-05
0.170898	2.77191e-05
0.175781	3.31179e-05
0.180664	3.22688e-05
0.185547	2.47435e-05
0.19043	2.48016e-05
0.195313	2.89439e-05
0.200195	2.56652e-05
0.205078	2.02149e-05
0.209961	2.35109e-05
0.214844	2.58087e-05
0.219727	2.05966e-05
0.224609	1.74331e-05
0.229492	2.0871e-05
0.234375	1.97525e-05
0.239258	1.40788e-05
0.244141	1.41441e-05
0.249023	1.77388e-05
0.253906	1.57474e-05
0.258789	1.11794e-05
0.263672	1.33941e-05
0.268555	1.55919e-05
0.273438	1.22493e-05
0.27832	9.31422e-06
0.283203	1.25991e-05
0.288086	1.32597e-05
0.292969	9.31313e-06
0.297852	8.48893e-06
0.302734	1.17789e-05
0.307617	1.10671e-05
0.3125	7.21854e-06
0.317383	8.38741e-06
0.322266	1.09168e-05
0.327148	9.00338e-06
0.332031	5.93009e-06
0.336914	8.43152e-06
0.341797	9.82085e-06
0.34668	7.05401e-06
0.351563	5.45599e-06
0.356445	8.36753e-06
0.361328	8.5208e-06
0.366211	5.37302e-06
0.371094	5.54286e-06
0.375977	8.09413e-06
0.380859	7.14498e-06
0.385742	4.1893e-06
0.390625	5.85916e-06
0.395508	7.57961e-06
0.400391	5.71598e-06
0.405273	3.62602e-06
0.410156	6.07935e-06
0.415039	6.82138e-06
0.419922	4.38279e-06
0.424805	3.70151e-06
0.429688	6.14216e-06
0.43457	5.89619e-06
0.439453	3.24643e-06
0.444336	4.05683e-06
0.449219	5.96489e-06
0.454102	4.86813e-06
0.458984	2.56081e-06
0.463867	4.44622e-06
0.46875	5.57816e-06
0.473633	3.81061e-06
0.478516	2.46858e-06
0.483398	4.70767e-06
0.488281	4.99787e-06
0.493164	2.80689e-06
0.498047	2.79517e-06
0.50293	4.76228e-06
0.507813	4.26705e-06
