# Time	U	V	U_magnitude
0	-1.33331e-10	1.57246e-10	2.06163e-10
0.2	-0.00573724	3.91612e-05	0.00573738
0.4	-0.00827197	0.000551412	0.00829033
0.6	-0.00705732	0.000261514	0.00706217
0.8	-0.0105573	0.00090558	0.0105961
1	-0.00942034	0.00118237	0.00949425
1.2	-0.0110937	0.00126506	0.0111656
1.4	-0.0114271	0.00220215	0.0116374
1.6	-0.0118703	0.00219998	0.0120724
1.8	-0.012796	0.00319606	0.0131891
2	-0.0131642	0.00364697	0.01366
2.2	-0.0140102	0.00445771	0.0147022
2.4	-0.0146869	0.00536874	0.0156374
2.6	-0.0154355	0.00617849	0.0166262
2.8	-0.0163006	0.00731721	0.0178676
3	-0.017118	0.00833915	0.0190412
3.2	-0.0180373	0.00958312	0.020425
3.4	-0.0189758	0.0108687	0.021868
3.6	-0.0199315	0.0122447	0.0233922
3.8	-0.0209495	0.0137538	0.0250609
4	-0.0219603	0.0153248	0.0267788
4.2	-0.0230133	0.0170298	0.0286291
4.4	-0.0240726	0.0188273	0.0305607
4.6	-0.025139	0.0207377	0.0325886
4.8	-0.0262156	0.0227671	0.0347217
5	-0.0272785	0.0249054	0.0369377
5.2	-0.0283358	0.0271693	0.0392567
5.4	-0.0293677	0.0295511	0.041662
5.6	-0.03037	0.0320566	0.0441583
5.8	-0.0313326	0.0346872	0.0467433
6	-0.0322428	0.0374403	0.0494102
6.2	-0.0330931	0.040319	0.052161
6.4	-0.0338699	0.043319	0.0549882
6.6	-0.0345636	0.0464399	0.0578904
6.8	-0.0351624	0.0496782	0.0608631
7	-0.0356552	0.0530299	0.063902
7.2	-0.0360315	0.0564927	0.0670052
7.4	-0.0362804	0.060065	0.0701718
7.6	-0.0363928	0.0637531	0.0734091
7.8	-0.0363589	0.0675742	0.0767349
8	-0.036168	0.0715638	0.0801842
8.2	-0.0358055	0.0757771	0.0838105
8.4	-0.0352498	0.0802833	0.087681
8.6	-0.0344714	0.0851519	0.0918647
8.8	-0.033433	0.0904319	0.0964141
9	-0.032094	0.0961318	0.101348
9.2	-0.0304175	0.102208	0.106638
9.4	-0.0283774	0.108563	0.112211
9.6	-0.0259632	0.115059	0.117952
9.8	-0.0231831	0.121531	0.123723
10	-0.0200627	0.12781	0.129375
10.2	-0.016643	0.133735	0.134767
10.4	-0.0129752	0.139166	0.139769
10.6	-0.00911777	0.14399	0.144278
10.8	-0.00512981	0.148124	0.148213
11	-0.001067	0.15151	0.151513
11.2	0.00302151	0.154113	0.154143
11.4	0.0070929	0.155939	0.156101
11.6	0.0111019	0.157005	0.157397
11.8	0.0150081	0.157347	0.158061
12	0.0187813	0.157022	0.158141
12.2	0.0223911	0.156089	0.157687
12.4	0.0258192	0.154619	0.15676
12.6	0.0290498	0.152682	0.155421
12.8	0.0320745	0.150352	0.153735
13	0.0348903	0.147697	0.151762
13.2	0.0374998	0.144785	0.149562
13.4	0.039908	0.141677	0.147191
13.6	0.0421244	0.138428	0.144695
13.8	0.0441613	0.135084	0.142119
14	0.0460316	0.131685	0.139498
14.2	0.0477488	0.128264	0.136864
14.4	0.0493266	0.124846	0.134237
14.6	0.0507782	0.121449	0.131637
14.8	0.0521157	0.118084	0.129074
15	0.0533498	0.11476	0.126554
15.2	0.0544881	0.111478	0.124082
15.4	0.055537	0.108239	0.121655
15.6	0.0565009	0.105039	0.119271
15.8	0.0573832	0.101872	0.116922
16	0.0581851	0.0987326	0.114602
16.2	0.058906	0.0956138	0.112303
16.4	0.059544	0.092509	0.110015
16.6	0.0600956	0.0894116	0.107731
16.8	0.0605564	0.086316	0.10544
17	0.0609218	0.0832173	0.103134
17.2	0.0611871	0.0801125	0.100806
17.4	0.0613475	0.0769994	0.0984501
17.6	0.0613984	0.0738771	0.0960603
17.8	0.0613351	0.0707459	0.0936321
18	0.0611531	0.0676072	0.0911616
18.2	0.0608485	0.064464	0.0886461
18.4	0.0604173	0.0613197	0.0860834
18.6	0.0598564	0.0581786	0.0834718
18.8	0.0591634	0.0550447	0.0808098
19	0.0583376	0.0519233	0.078098
19.2	0.0573783	0.0488208	0.0753375
19.4	0.0562854	0.0457442	0.0725299
19.6	0.0550604	0.0427014	0.0696782
19.8	0.0537039	0.0396997	0.0667846
20	0.0522184	0.0367466	0.063852
20.2	0.0506073	0.0338492	0.0608841
20.4	0.0488746	0.031014	0.0578844
20.6	0.0470256	0.0282491	0.0548581
20.8	0.0450639	0.0255602	0.0518081
21	0.0429954	0.0229539	0.048739
21.2	0.040827	0.0204374	0.0456567
21.4	0.0385645	0.0180168	0.0425655
21.6	0.036214	0.0156967	0.0394695
21.8	0.0337837	0.0134832	0.0363749
22	0.0312811	0.0113823	0.0332876
22.2	0.028712	0.00939629	0.0302104
22.4	0.0260855	0.00753056	0.0271507
22.6	0.0234096	0.00579047	0.0241151
22.8	0.0206916	0.00417845	0.0211093
23	0.0179405	0.00269565	0.0181419
23.2	0.0151636	0.00134709	0.0152233
23.4	0.0123691	0.000134084	0.0123698
23.6	0.00956705	-0.000941372	0.00961325
23.8	0.00676481	-0.00187707	0.0070204
24	0.00397163	-0.00267367	0.00478773
24.2	0.00119736	-0.00333068	0.00353936
24.4	-0.00154999	-0.00384856	0.00414896
24.6	-0.00425817	-0.00422798	0.00600066
24.8	-0.00691997	-0.00447183	0.00823912
25	-0.00952703	-0.00458333	0.0105722
25.2	-0.0120724	-0.00456592	0.0129069
25.4	-0.0145487	-0.00442312	0.0152062
25.6	-0.0169507	-0.00415946	0.0174536
25.8	-0.0192727	-0.00378029	0.0196399
26	-0.0215125	-0.00329027	0.0217627
26.2	-0.023664	-0.00269315	0.0238167
26.4	-0.0257221	-0.00199501	0.0257994
26.6	-0.0276842	-0.00120114	0.0277102
26.8	-0.0295478	-0.00031741	0.0295495
27	-0.03131	0.000650253	0.0313168
27.2	-0.0329689	0.00169681	0.0330125
27.4	-0.0345233	0.00281658	0.034638
27.6	-0.0359719	0.00400369	0.036194
27.8	-0.0373124	0.00525221	0.0376803
28	-0.0385437	0.00655742	0.0390975
28.2	-0.0396653	0.00791425	0.0404472
28.4	-0.0406767	0.00931692	0.0417301
28.6	-0.0415768	0.0107613	0.0429469
28.8	-0.0423647	0.0122414	0.0440978
29	-0.0430406	0.013752	0.0451842
29.2	-0.0436047	0.0152884	0.0462072
29.4	-0.0440571	0.0168463	0.0471681
29.6	-0.0443973	0.0184195	0.0480666
29.8	-0.0446256	0.0200027	0.0489035
30	-0.0447426	0.0215914	0.0496799
30.2	-0.0447484	0.023181	0.0503962
30.4	-0.0446437	0.0247655	0.0510528
30.6	-0.0444298	0.0263398	0.0516507
30.8	-0.0441074	0.0278991	0.0521903
31	-0.0436777	0.0294375	0.0526717
31.2	-0.0431422	0.0309495	0.0530954
31.4	-0.0425028	0.0324297	0.0534619
31.6	-0.0417609	0.0338725	0.053771
31.8	-0.0409189	0.0352721	0.0540229
32	-0.0399793	0.0366223	0.0542175
32.2	-0.0389451	0.0379177	0.054355
32.4	-0.0378193	0.0391519	0.054435
32.6	-0.036606	0.0403192	0.0544576
32.8	-0.0353092	0.0414141	0.0544231
33	-0.0339331	0.0424315	0.0543312
33.2	-0.0324819	0.0433654	0.0541814
33.4	-0.0309612	0.0442103	0.0539735
