# Time	Value
50.2	-0.0506116
50.4	-0.0508517
50.6	-0.0508348
50.8	-0.050562
51	-0.0500373
51.2	-0.049268
51.4	-0.048264
51.6	-0.0470382
51.8	-0.0456059
52	-0.0439848
52.2	-0.0421944
52.4	-0.0402555
52.6	-0.0381902
52.8	-0.0360204
53	-0.0337685
53.2	-0.031456
53.4	-0.0291036
53.6	-0.0267305
53.8	-0.0243545
54	-0.0219916
54.2	-0.0196562
54.4	-0.0173611
54.6	-0.0151174
54.8	-0.0129348
55	-0.0108222
55.2	-0.00878745
55.4	-0.00683781
55.6	-0.00498012
55.8	-0.00322162
56	-0.00156937
56.2	-3.06406e-05
56.4	0.00138661
56.6	0.00267455
56.8	0.00382523
57	0.00482967
57.2	0.00567784
57.4	0.00636111
57.6	0.00687017
57.8	0.00719495
58	0.00732583
58.2	0.00725556
58.4	0.00697762
58.6	0.00648691
58.8	0.00577956
59	0.00485549
59.2	0.00371692
59.4	0.0023689
59.6	0.000819929
59.8	-0.000917503
60	-0.00282778
60.2	-0.00489084
60.4	-0.00708587
60.6	-0.00938663
60.8	-0.0117667
61	-0.014199
61.2	-0.0166527
61.4	-0.0190971
61.6	-0.0215017
61.8	-0.0238363
62	-0.0260705
62.2	-0.0281772
62.4	-0.0301305
62.6	-0.0319057
62.8	-0.0334825
63	-0.0348426
63.2	-0.0359722
63.4	-0.0368605
63.6	-0.0375013
63.8	-0.0378921
64	-0.0380349
64.2	-0.0379354
64.4	-0.0376034
64.6	-0.037052
64.8	-0.0362975
65	-0.0353588
65.2	-0.0342569
65.4	-0.0330142
65.6	-0.0316542
65.8	-0.0302005
66	-0.0286762
66.2	-0.0271037
66.4	-0.0255037
66.6	-0.023895
66.8	-0.0222941
67	-0.0207151
67.2	-0.0191694
67.4	-0.017666
67.6	-0.0162115
67.8	-0.0148104
68	-0.0134653
68.2	-0.0121778
68.4	-0.0109484
68.6	-0.00977714
68.8	-0.00866405
69	-0.00760952
69.2	-0.00661463
69.4	-0.00568136
69.6	-0.00481283
69.8	-0.00401328
70	-0.00328833
70.2	-0.00264387
70.4	-0.00208763
70.6	-0.00162764
70.8	-0.00127292
71	-0.0010314
71.2	-0.000911205
71.4	-0.000920922
71.6	-0.0010676
71.8	-0.00135637
72	-0.00179191
72.2	-0.00237638
72.4	-0.00310948
72.6	-0.00398889
72.8	-0.00500808
73	-0.00615969
73.2	-0.00743057
73.4	-0.00880647
73.6	-0.0102729
73.8	-0.0118071
74	-0.0133885
74.2	-0.0149943
74.4	-0.0166011
74.6	-0.0181847
74.8	-0.0197208
75	-0.0211862
75.2	-0.0225571
75.4	-0.023814
75.6	-0.0249387
75.8	-0.025915
76	-0.02673
76.2	-0.027374
76.4	-0.0278406
76.6	-0.0281268
76.8	-0.0282334
77	-0.0281644
77.2	-0.0279273
77.4	-0.0275325
77.6	-0.0269931
77.8	-0.0263243
78	-0.0255433
78.2	-0.0246683
78.4	-0.0237181
78.6	-0.0227121
78.8	-0.0216687
79	-0.0206057
79.2	-0.0195395
79.4	-0.0184848
79.6	-0.0174544
79.8	-0.0164588
80	-0.0155062
80.2	-0.0146026
80.4	-0.013752
80.6	-0.0129561
80.8	-0.0122153
81	-0.0115287
81.2	-0.0108942
81.4	-0.0103095
81.6	-0.00977208
81.8	-0.00927942
82	-0.00882992
82.2	-0.00842254
82.4	-0.00805732
82.6	-0.00773531
82.8	-0.00745854
83	-0.00723017
83.2	-0.00705415
83.4	-0.00693507
83.6	-0.0068778
83.8	-0.00688746
84	-0.00696882
84.2	-0.00712636
84.4	-0.00736377
84.6	-0.00768365
84.8	-0.00808731
85	-0.0085747
85.2	-0.00914461
85.4	-0.00979323
85.6	-0.010515
85.8	-0.0113031
86	-0.0121491
86.2	-0.0130421
86.4	-0.0139694
86.6	-0.0149175
86.8	-0.0158718
87	-0.0168169
87.2	-0.0177368
87.4	-0.018616
87.6	-0.0194401
87.8	-0.0201949
88	-0.0208672
88.2	-0.0214453
88.4	-0.0219201
88.6	-0.0222841
88.8	-0.0225324
89	-0.0226625
89.2	-0.0226742
89.4	-0.02257
89.6	-0.0223548
89.8	-0.0220356
90	-0.0216213
90.2	-0.0211228
90.4	-0.020552
90.6	-0.0199221
90.8	-0.0192469
91	-0.0185402
91.2	-0.0178157
91.4	-0.0170864
91.6	-0.0163646
91.8	-0.0156612
92	-0.014986
92.2	-0.0143466
92.4	-0.0137497
92.6	-0.0131996
92.8	-0.0126992
93	-0.01225
93.2	-0.0118519
93.4	-0.0115037
93.6	-0.0112031
93.8	-0.0109475
94	-0.0107337
94.2	-0.0105588
94.4	-0.0104196
94.6	-0.0103136
94.8	-0.0102386
95	-0.0101933
95.2	-0.0101771
95.4	-0.0101902
95.6	-0.0102333
95.8	-0.010308
96	-0.010416
96.2	-0.0105594
96.4	-0.0107402
96.6	-0.0109603
96.8	-0.0112213
97	-0.011524
97.2	-0.0118684
97.4	-0.0122537
97.6	-0.012678
97.8	-0.0131386
98	-0.0136314
98.2	-0.0141512
98.4	-0.0146918
98.6	-0.0152464
98.8	-0.0158069
99	-0.0163647
99.2	-0.0169108
99.4	-0.0174359
99.6	-0.0179306
99.8	-0.0183859
100	-0.0187926
100.2	-0.0191433
100.4	-0.0194313
100.6	-0.0196509
100.8	-0.0197977
101	-0.0198689
101.2	-0.0198633
101.4	-0.0197814
101.6	-0.019625
101.8	-0.0193979
102	-0.0191051
102.2	-0.018753
102.4	-0.0183492
102.6	-0.0179022
102.8	-0.0174211
103	-0.0169155
103.2	-0.0163953
103.4	-0.0158702
103.6	-0.0153496
103.8	-0.0148422
104	-0.0143559
104.2	-0.0138979
104.4	-0.013474
104.6	-0.0130889
104.8	-0.012746
105	-0.0124476
105.2	-0.0121949
105.4	-0.0119876
105.6	-0.0118248
105.8	-0.0117045
106	-0.0116243
106.2	-0.0115815
106.4	-0.0115731
106.6	-0.0115959
106.8	-0.0116468
107	-0.0117228
107.2	-0.0118214
107.4	-0.0119406
107.6	-0.0120787
107.8	-0.0122346
108	-0.0124076
108.2	-0.0125972
108.4	-0.0128034
108.6	-0.0130262
108.8	-0.0132658
