# Time	U	V	U_magnitude
0	-1.13791e-28	1.83065e-28	2.15548e-28
0.2	-0.000815022	7.0932e-05	0.000818102
0.4	-0.0115819	4.90132e-05	0.011582
0.6	-0.0113753	0.00041517	0.0113829
0.8	-0.00732677	0.000956831	0.00738898
1	-0.00760421	0.00041712	0.00761564
1.2	-0.0126379	0.000986314	0.0126763
1.4	-0.0137695	0.00218339	0.0139416
1.6	-0.0111139	0.00231021	0.0113515
1.8	-0.0106572	0.00192338	0.0108293
2	-0.0138836	0.00271929	0.0141474
2.2	-0.015377	0.00418136	0.0159354
2.4	-0.0139912	0.00470125	0.0147599
2.6	-0.0138521	0.00447701	0.0145576
2.8	-0.0159516	0.00535408	0.0168261
3	-0.0174692	0.0071395	0.0188718
3.2	-0.0172823	0.00799259	0.019041
3.4	-0.0173512	0.00810154	0.0191494
3.6	-0.0188881	0.0091223	0.0209756
3.8	-0.0204412	0.0110005	0.0232132
4	-0.0209023	0.0122462	0.0242255
4.2	-0.0213209	0.0127766	0.024856
4.4	-0.0225935	0.0139401	0.0265479
4.6	-0.0240642	0.0159191	0.0288531
4.8	-0.0249858	0.0175188	0.0305155
5	-0.0256927	0.0185119	0.0316671
5.2	-0.0268306	0.0199203	0.033417
5.4	-0.0282573	0.0220191	0.0358234
5.6	-0.0294177	0.0239695	0.0379465
5.8	-0.030327	0.0254676	0.0396021
6	-0.0314238	0.0271993	0.0415603
6.2	-0.0327686	0.0294962	0.0440886
6.4	-0.0340154	0.0318162	0.046576
6.6	-0.0350331	0.0338324	0.0487027
6.8	-0.0360776	0.0359706	0.0509458
7	-0.0373034	0.0385526	0.0536456
7.2	-0.0385059	0.0412641	0.0564396
7.4	-0.0395083	0.0438065	0.0589909
7.6	-0.0404501	0.0464082	0.0615624
7.8	-0.041491	0.0493468	0.0644718
8	-0.0425233	0.0524693	0.0675371
8.2	-0.0433844	0.0555265	0.0704656
8.4	-0.0441326	0.0586146	0.0733714
8.6	-0.0449036	0.0619565	0.0765176
8.8	-0.0456544	0.0655112	0.0798501
9	-0.0462586	0.0691176	0.0831691
9.2	-0.0467375	0.0728536	0.0865566
9.4	-0.0472036	0.076984	0.0903034
9.6	-0.0476539	0.0816676	0.0945542
9.8	-0.0479902	0.0869554	0.0993191
10	-0.048181	0.093	0.10474
10.2	-0.0482534	0.100028	0.111059
10.4	-0.0481538	0.108093	0.118333
10.6	-0.0477471	0.117004	0.126372
10.8	-0.046948	0.126508	0.134938
11	-0.0457526	0.136378	0.143848
11.2	-0.0441494	0.14633	0.152845
11.4	-0.0420959	0.155981	0.161562
11.6	-0.0395945	0.164985	0.16967
11.8	-0.0367182	0.173125	0.176976
12	-0.0335433	0.180239	0.183334
12.2	-0.030113	0.186159	0.188578
12.4	-0.0264826	0.190765	0.192594
12.6	-0.0227454	0.194059	0.195387
12.8	-0.0189873	0.196107	0.197024
13	-0.0152543	0.196976	0.197565
13.2	-0.011581	0.196765	0.197105
13.4	-0.00801678	0.195645	0.19581
13.6	-0.00459975	0.193822	0.193876
13.8	-0.0013319	0.191471	0.191476
14	0.00179962	0.188753	0.188762
14.2	0.0047974	0.185835	0.185897
14.4	0.00766744	0.182869	0.18303
14.6	0.0104369	0.179952	0.180255
14.8	0.0131365	0.177136	0.177622
15	0.0157805	0.174458	0.17517
15.2	0.0183737	0.171939	0.172918
15.4	0.020929	0.169566	0.170853
15.6	0.0234574	0.1673	0.168937
15.8	0.0259556	0.165109	0.167137
16	0.0284106	0.162965	0.165423
16.2	0.0308176	0.160831	0.163757
16.4	0.0331711	0.158668	0.162098
16.6	0.0354598	0.15645	0.160419
