# Time	Value
50.2	-0.0506972
50.4	-0.0512993
50.6	-0.0516387
50.8	-0.0517124
51	-0.0515206
51.2	-0.0510662
51.4	-0.0503555
51.6	-0.0493978
51.8	-0.0482053
52	-0.0467931
52.2	-0.0451787
52.4	-0.0433818
52.6	-0.0414237
52.8	-0.0393267
53	-0.0371142
53.2	-0.0348092
53.4	-0.0324345
53.6	-0.030012
53.8	-0.0275622
54	-0.0251042
54.2	-0.0226551
54.4	-0.0202303
54.6	-0.0178435
54.8	-0.0155065
55	-0.0132295
55.2	-0.0110218
55.4	-0.00889124
55.6	-0.00684519
55.8	-0.00489037
56	-0.00303382
56.2	-0.00128229
56.4	0.000357254
56.6	0.00187703
56.8	0.00327017
57	0.00452874
57.2	0.00564333
57.4	0.0066057
57.6	0.00740658
57.8	0.00803433
58	0.0084802
58.2	0.00873493
58.4	0.00878954
58.6	0.00863579
58.8	0.00826689
59	0.00767815
59.2	0.00686692
59.4	0.00583348
59.6	0.00458002
59.8	0.00311321
60	0.00144279
60.2	-0.000418298
60.4	-0.00245135
60.6	-0.00463751
60.8	-0.00695061
61	-0.00936611
61.2	-0.0118553
61.4	-0.0143876
61.6	-0.0169323
61.8	-0.0194578
62	-0.0219325
62.2	-0.024325
62.4	-0.0266052
62.6	-0.0287439
62.8	-0.0307149
63	-0.0324944
63.2	-0.0340616
63.4	-0.035399
63.6	-0.0364932
63.8	-0.0373346
64	-0.0379176
64.2	-0.0382415
64.4	-0.0383092
64.6	-0.0381284
64.8	-0.0377102
65	-0.0370695
65.2	-0.0362243
65.4	-0.0351951
65.6	-0.0340045
65.8	-0.0326763
66	-0.0312353
66.2	-0.029706
66.4	-0.0281128
66.6	-0.0264784
66.8	-0.0248241
67	-0.0231688
67.2	-0.0215289
67.4	-0.0199183
67.6	-0.018348
67.8	-0.0168262
68	-0.0153589
68.2	-0.0139497
68.4	-0.0126006
68.6	-0.011312
68.8	-0.0100839
69	-0.00891538
69.2	-0.00780615
69.4	-0.00675578
69.6	-0.00576519
69.8	-0.00483595
70	-0.00397111
70.2	-0.00317492
70.4	-0.00245241
70.6	-0.00181039
70.8	-0.0012568
71	-0.000799012
71.2	-0.000445784
71.4	-0.000206199
71.6	-8.88308e-05
71.8	-0.000101993
72	-0.000252926
72.2	-0.000547629
72.4	-0.00099071
72.6	-0.0015846
72.8	-0.00232922
73	-0.00322256
73.2	-0.0042587
73.4	-0.00543041
73.6	-0.00672454
73.8	-0.0081291
74	-0.00962483
74.2	-0.0111923
74.4	-0.0128098
74.6	-0.014455
74.8	-0.0161035
75	-0.0177298
75.2	-0.0193091
75.4	-0.0208172
75.6	-0.0222312
75.8	-0.0235281
76	-0.0246901
76.2	-0.0257004
76.4	-0.0265451
76.6	-0.027214
76.8	-0.0277
77	-0.0280001
77.2	-0.0281145
77.4	-0.0280474
77.6	-0.0278062
77.8	-0.0274017
78	-0.0268474
78.2	-0.0261591
78.4	-0.0253547
78.6	-0.0244532
78.8	-0.0234744
79	-0.0224383
79.2	-0.0213645
79.4	-0.0202715
79.6	-0.0191767
79.8	-0.0180955
80	-0.0170412
80.2	-0.016025
80.4	-0.0150553
80.6	-0.0141385
80.8	-0.0132783
81	-0.0124765
81.2	-0.0117333
81.4	-0.011047
81.6	-0.0104152
81.8	-0.00983497
82	-0.00930276
82.2	-0.00881562
82.4	-0.0083712
82.6	-0.00796777
82.8	-0.00760469
83	-0.00728255
83.2	-0.00700309
83.4	-0.00676917
83.6	-0.00658457
83.8	-0.0064539
84	-0.00638211
84.2	-0.00637452
84.4	-0.00643625
84.6	-0.00657206
84.8	-0.00678614
85	-0.00708167
85.2	-0.00746075
85.4	-0.00792384
85.6	-0.0084703
85.8	-0.00909746
86	-0.00980058
86.2	-0.0105732
86.4	-0.0114083
86.6	-0.012295
86.8	-0.0132213
87	-0.0141742
87.2	-0.0151394
87.4	-0.0161016
87.6	-0.017045
87.8	-0.017953
88	-0.0188102
88.2	-0.0196023
88.4	-0.0203154
88.6	-0.0209366
88.8	-0.0214556
89	-0.0218639
89.2	-0.0221553
89.4	-0.0223263
89.6	-0.0223757
89.8	-0.0223051
90	-0.0221186
90.2	-0.0218225
90.4	-0.0214255
90.6	-0.0209381
90.8	-0.0203725
91	-0.0197419
91.2	-0.0190605
91.4	-0.0183429
91.6	-0.0176032
91.8	-0.0168557
92	-0.0161133
92.2	-0.0153879
92.4	-0.0146903
92.6	-0.0140291
92.8	-0.0134116
93	-0.0128431
93.2	-0.0123268
93.4	-0.0118647
93.6	-0.011457
93.8	-0.0111023
94	-0.0107983
94.2	-0.010542
94.4	-0.0103299
94.6	-0.010158
94.8	-0.0100229
95	-0.00992098
95.2	-0.00984942
95.4	-0.00980609
95.6	-0.00978976
95.8	-0.0098
96	-0.00983718
96.2	-0.00990247
96.4	-0.00999757
96.6	-0.0101246
96.8	-0.0102858
97	-0.0104836
97.2	-0.0107198
97.4	-0.0109961
97.6	-0.0113133
97.8	-0.0116712
98	-0.0120689
98.2	-0.0125046
98.4	-0.012975
98.6	-0.0134758
98.8	-0.0140017
99	-0.0145462
99.2	-0.0151022
99.4	-0.0156615
99.6	-0.0162151
99.8	-0.0167538
100	-0.0172683
100.2	-0.017749
100.4	-0.0181868
100.6	-0.0185729
100.8	-0.0188999
101	-0.0191612
101.2	-0.0193513
101.4	-0.0194662
101.6	-0.0195036
101.8	-0.0194629
102	-0.0193447
102.2	-0.0191519
102.4	-0.0188887
102.6	-0.0185607
102.8	-0.018175
103	-0.0177398
103.2	-0.0172642
103.4	-0.0167579
103.6	-0.0162311
103.8	-0.0156939
104	-0.0151565
104.2	-0.0146284
104.4	-0.0141185
104.6	-0.0136347
104.8	-0.013184
105	-0.012772
105.2	-0.0124031
105.4	-0.0120805
105.6	-0.0118059
105.8	-0.0115797
106	-0.0114012
106.2	-0.0112687
106.4	-0.0111797
106.6	-0.0111313
106.8	-0.0111202
107	-0.0111426
107.2	-0.0111949
107.4	-0.0112735
107.6	-0.0113751
107.8	-0.0114969
108	-0.0116367
108.2	-0.0117927
108.4	-0.0119637
108.6	-0.012149
108.8	-0.0123482
109	-0.0125615
109.2	-0.0127891
109.4	-0.0130312
109.6	-0.0132882
109.8	-0.0135598
110	-0.0138457
110.2	-0.0141452
110.4	-0.0144569
110.6	-0.0147788
110.8	-0.0151082
111	-0.0154421
111.2	-0.0157765
111.4	-0.0161071
111.6	-0.0164293
111.8	-0.016738
112	-0.0170281
112.2	-0.0172944
112.4	-0.0175315
112.6	-0.0177344
112.8	-0.0178984
113	-0.0180194
113.2	-0.0180943
113.4	-0.0181206
113.6	-0.0180967
113.8	-0.0180218
114	-0.0178965
114.2	-0.0177224
114.4	-0.017502
114.6	-0.0172389
114.8	-0.0169377
115	-0.0166036
115.2	-0.0162428
115.4	-0.0158617
115.6	-0.0154674
115.8	-0.0150669
116	-0.0146673
116.2	-0.0142756
116.4	-0.0138986
116.6	-0.0135423
116.8	-0.0132121
117	-0.0129126
117.2	-0.0126478
117.4	-0.0124205
117.6	-0.012233
117.8	-0.0120861
118	-0.0119802
118.2	-0.0119147
118.4	-0.0118881
118.6	-0.0118984
118.8	-0.0119428
119	-0.0120184
119.2	-0.012122
119.4	-0.0122502
