# Time	U	V	U_magnitude
0	-8.64373e-10	1.0175e-09	1.33509e-09
0.2	-0.0164214	2.49436e-05	0.0164214
0.4	-0.011843	0.000825262	0.0118717
0.6	-0.019142	0.000585584	0.0191509
0.8	-0.0186319	0.00175633	0.0187145
1	-0.0217739	0.00193306	0.0218595
1.2	-0.0225817	0.0032114	0.0228089
1.4	-0.0242411	0.00365377	0.0245149
1.6	-0.0254992	0.00508136	0.0260005
1.8	-0.0267694	0.00589019	0.0274097
2	-0.0282494	0.00747628	0.0292219
2.2	-0.0295912	0.00870628	0.0308454
2.4	-0.0312516	0.010505	0.0329699
2.6	-0.0328248	0.0121556	0.0350032
2.8	-0.0346807	0.0142161	0.0374813
3	-0.0365297	0.0162741	0.0399908
3.2	-0.0386043	0.0186406	0.0428691
3.4	-0.0407337	0.0211001	0.0458743
3.6	-0.0430439	0.0238149	0.0491927
3.8	-0.0454454	0.0266847	0.0527007
4	-0.0479976	0.0297902	0.0564909
4.2	-0.0506573	0.0330931	0.0605088
4.4	-0.0534472	0.0366328	0.0647963
4.6	-0.0563472	0.0404012	0.0693344
4.8	-0.0593615	0.0444188	0.0741406
5	-0.0624805	0.0486918	0.0792131
5.2	-0.0657028	0.0532372	0.0845639
5.4	-0.0690285	0.0580809	0.0902127
5.6	-0.0724671	0.0632741	0.0962034
5.8	-0.0760407	0.0689151	0.102623
6	-0.0797774	0.0751591	0.109605
6.2	-0.083697	0.0822111	0.117319
6.4	-0.0877785	0.0902684	0.12591
6.6	-0.0919363	0.099441	0.135428
6.8	-0.0960105	0.109669	0.145758
7	-0.09979	0.120697	0.156607
7.2	-0.103052	0.132101	0.167542
7.4	-0.105606	0.143372	0.178067
7.6	-0.10732	0.153998	0.187704
7.8	-0.108133	0.163537	0.196054
8	-0.108052	0.171654	0.202831
8.2	-0.107136	0.178135	0.207871
8.4	-0.105483	0.182882	0.211122
8.6	-0.103215	0.185895	0.212627
8.8	-0.100464	0.187258	0.212506
9	-0.0973598	0.187115	0.210929
9.2	-0.0940272	0.185648	0.208102
9.4	-0.0905761	0.183065	0.204247
9.6	-0.0871005	0.179581	0.19959
9.8	-0.0836762	0.175407	0.194344
10	-0.0803619	0.170739	0.188706
10.2	-0.0771985	0.16575	0.182846
10.4	-0.074213	0.160588	0.176907
10.6	-0.0714204	0.155372	0.171001
10.8	-0.0688251	0.150195	0.165213
11	-0.0664246	0.145123	0.159602
11.2	-0.0642119	0.140201	0.154206
11.4	-0.0621771	0.135455	0.149044
11.6	-0.0603089	0.130898	0.144123
11.8	-0.0585953	0.126532	0.139441
12	-0.0570246	0.122354	0.13499
12.2	-0.0555864	0.118353	0.130756
12.4	-0.0542712	0.114519	0.126728
12.6	-0.053071	0.11084	0.12289
12.8	-0.0519782	0.107305	0.119232
13	-0.050986	0.103905	0.11574
13.2	-0.0500888	0.100631	0.112408
13.4	-0.0492811	0.0974756	0.109225
13.6	-0.0485576	0.0944327	0.106186
13.8	-0.0479133	0.0914984	0.103284
14	-0.0473441	0.0886692	0.100517
14.2	-0.0468452	0.0859417	0.0978798
14.4	-0.0464118	0.0833142	0.0953693
14.6	-0.0460393	0.080786	0.0929838
14.8	-0.0457239	0.0783558	0.0907211
15	-0.0454612	0.0760218	0.0885779
15.2	-0.0452461	0.0737833	0.0865517
15.4	-0.0450737	0.0716401	0.0846401
15.6	-0.0449396	0.0695918	0.0828407
15.8	-0.0448402	0.0676371	0.0811506
16	-0.0447713	0.0657738	0.0795654
16.2	-0.0447277	0.0640007	0.0780811
16.4	-0.0447047	0.0623169	0.0766936
16.6	-0.044698	0.060721	0.0753986
16.8	-0.0447036	0.0592113	0.0741916
17	-0.0447183	0.0577856	0.0730678
17.2	-0.0447392	0.0564411	0.0720221
17.4	-0.0447629	0.0551745	0.0710488
17.6	-0.044785	0.0539832	0.0701419
17.8	-0.0448018	0.0528647	0.0692956
18	-0.0448102	0.0518161	0.0685045
18.2	-0.0448078	0.0508341	0.0677632
18.4	-0.0447923	0.0499154	0.0670663
18.6	-0.0447614	0.0490563	0.0664086
18.8	-0.0447135	0.0482534	0.0657851
19	-0.0446468	0.0475028	0.0651909
19.2	-0.0445602	0.046801	0.0646216
19.4	-0.0444529	0.0461442	0.064073
19.6	-0.0443241	0.0455286	0.0635411
19.8	-0.0441733	0.0449502	0.0630223
20	-0.0440002	0.0444052	0.0625127
20.2	-0.0438044	0.0438898	0.0620092
20.4	-0.0435862	0.0434003	0.0615089
20.6	-0.0433459	0.0429331	0.0610091
20.8	-0.0430844	0.0424845	0.0605079
21	-0.0428029	0.0420513	0.0600033
21.2	-0.0425026	0.0416303	0.0594941
21.4	-0.0421852	0.0412183	0.0589791
21.6	-0.0418525	0.0408125	0.0584576
21.8	-0.0415065	0.0404102	0.0579291
22	-0.0411495	0.0400092	0.0573936
22.2	-0.0407838	0.0396073	0.0568512
22.4	-0.0404118	0.0392026	0.0563024
22.6	-0.040036	0.0387937	0.0557479
22.8	-0.0396591	0.0383792	0.0551888
23	-0.0392836	0.0379583	0.0546263
23.2	-0.0389122	0.0375304	0.0540619
23.4	-0.0385474	0.0370953	0.0534973
23.6	-0.0381917	0.0366529	0.0529343
23.8	-0.0378475	0.0362036	0.0523749
24	-0.0375169	0.0357481	0.0518213
24.2	-0.037202	0.0352874	0.0512756
24.4	-0.0369046	0.0348225	0.0507401
24.6	-0.0366265	0.034355	0.0502171
24.8	-0.0363689	0.0338864	0.049709
25	-0.036133	0.0334186	0.0492178
25.2	-0.0359197	0.0329535	0.0487459
25.4	-0.0357298	0.0324931	0.0482951
25.6	-0.0355634	0.0320393	0.0478672
25.8	-0.0354205	0.031594	0.0474636
26	-0.0353003	0.0311593	0.0470852
26.2	-0.035202	0.0307372	0.0467328
26.4	-0.0351244	0.0303297	0.046407
26.6	-0.0350663	0.0299386	0.0461082
26.8	-0.0350264	0.0295659	0.0458365
27	-0.0350029	0.0292129	0.0455916
27.2	-0.0349943	0.028881	0.045373
27.4	-0.0349984	0.0285714	0.0451798
27.6	-0.0350135	0.0282849	0.0450109
27.8	-0.0350372	0.0280222	0.0448648
28	-0.0350675	0.0277835	0.0447398
28.2	-0.0351021	0.027569	0.0446342
28.4	-0.035139	0.0273785	0.0445458
28.6	-0.0351759	0.0272115	0.0444726
28.8	-0.0352108	0.0270675	0.0444123
29	-0.0352418	0.0269453	0.0443625
29.2	-0.0352672	0.0268439	0.0443212
29.4	-0.0352852	0.0267618	0.0442859
29.6	-0.0352944	0.0266976	0.0442545
29.8	-0.0352937	0.0266495	0.0442249
30	-0.035282	0.0266156	0.0441951
30.2	-0.0352585	0.026594	0.0441633
30.4	-0.0352227	0.0265827	0.0441279
30.6	-0.0351742	0.0265796	0.0440874
30.8	-0.0351132	0.0265827	0.0440406
31	-0.0350396	0.0265898	0.0439862
31.2	-0.0349539	0.0265991	0.0439236
31.4	-0.0348567	0.0266085	0.0438521
31.6	-0.0347488	0.0266163	0.0437711
31.8	-0.0346313	0.0266208	0.0436806
32	-0.0345051	0.0266205	0.0435804
32.2	-0.0343717	0.026614	0.0434709
32.4	-0.0342323	0.0266002	0.0433523
32.6	-0.0340885	0.0265781	0.0432252
32.8	-0.0339417	0.026547	0.0430903
33	-0.0337934	0.0265063	0.0429485
33.2	-0.0336452	0.0264557	0.0428007
33.4	-0.0334986	0.0263951	0.0426481
33.6	-0.0333551	0.0263246	0.0424917
33.8	-0.033216	0.0262445	0.0423329
34	-0.0330826	0.0261553	0.0421729
34.2	-0.0329561	0.0260576	0.0420131
34.4	-0.0328376	0.0259522	0.0418548
34.6	-0.032728	0.02584	0.0416993
34.8	-0.032628	0.0257222	0.0415478
35	-0.0325383	0.0255998	0.0414016
35.2	-0.0324593	0.0254741	0.0412618
35.4	-0.0323912	0.0253464	0.0411294
35.6	-0.0323341	0.0252178	0.0410053
35.8	-0.0322881	0.0250898	0.0408903
36	-0.0322528	0.0249636	0.0407851
36.2	-0.0322279	0.0248404	0.0406901
36.4	-0.0322129	0.0247215	0.0406057
36.6	-0.0322071	0.0246078	0.0405319
36.8	-0.0322097	0.0245004	0.0404689
37	-0.0322199	0.0244002	0.0404165
37.2	-0.0322368	0.0243079	0.0403743
37.4	-0.0322593	0.0242241	0.0403419
37.6	-0.0322864	0.0241493	0.0403187
37.8	-0.0323169	0.0240839	0.0403041
38	-0.0323499	0.024028	0.0402971
38.2	-0.0323841	0.0239816	0.040297
38.4	-0.0324186	0.0239446	0.0403028
38.6	-0.0324524	0.0239168	0.0403134
38.8	-0.0324845	0.0238977	0.0403279
39	-0.0325141	0.0238868	0.0403453
39.2	-0.0325403	0.0238834	0.0403645
39.4	-0.0325626	0.023887	0.0403846
39.6	-0.0325804	0.0238967	0.0404046
39.8	-0.0325933	0.0239115	0.0404238
40	-0.0326008	0.0239307	0.0404412
40.2	-0.0326029	0.0239532	0.0404562
40.4	-0.0325995	0.0239782	0.0404683
40.6	-0.0325906	0.0240047	0.0404768
40.8	-0.0325763	0.0240318	0.0404813
41	-0.0325568	0.0240586	0.0404817
41.2	-0.0325326	0.0240844	0.0404775
41.4	-0.0325041	0.0241083	0.0404688
41.6	-0.0324717	0.0241298	0.0404556
41.8	-0.032436	0.0241481	0.0404379
42	-0.0323976	0.0241629	0.0404159
42.2	-0.0323571	0.0241736	0.0403899
42.4	-0.0323152	0.02418	0.0403602
42.6	-0.0322726	0.0241819	0.0403272
42.8	-0.0322299	0.0241791	0.0402914
43	-0.0321878	0.0241717	0.0402532
43.2	-0.0321468	0.0241596	0.0402133
43.4	-0.0321077	0.0241432	0.0401721
43.6	-0.0320708	0.0241226	0.0401302
43.8	-0.0320368	0.024098	0.0400883
44	-0.032006	0.0240701	0.0400468
44.2	-0.0319787	0.024039	0.0400064
44.4	-0.0319554	0.0240054	0.0399675
44.6	-0.0319362	0.0239697	0.0399308
44.8	-0.0319212	0.0239325	0.0398965
