# Frequency	Magnitude
0	9.78018e-17
0.00488281	0.00508285
0.00976563	0.00306294
0.0146484	0.0020662
0.0195313	0.00150395
0.0244141	0.00114924
0.0292969	0.000897409
0.0341797	0.00068592
0.0390625	0.000519527
0.0439453	0.000596724
0.0488281	0.00100192
0.0537109	0.00150121
0.0585938	0.000820984
0.0634766	0.00052108
0.0683594	0.000341521
0.0732422	0.000289948
0.078125	0.000282248
0.0830078	0.000311677
0.0878906	0.000358368
0.0927734	0.000405852
0.0976563	0.000443872
0.102539	0.000507998
0.107422	0.000639763
0.112305	0.000584369
0.117188	7.56254e-05
0.12207	0.000117613
0.126953	6.07202e-05
0.131836	4.92041e-05
0.136719	8.18826e-05
0.141602	0.000170971
0.146484	0.000258712
0.151367	0.000272733
0.15625	0.000184892
0.161133	0.000166196
0.166016	0.000355021
0.170898	0.000131198
0.175781	0.000167185
0.180664	0.000118466
0.185547	0.000111175
0.19043	0.000101377
0.195313	0.000142037
0.200195	0.000194782
0.205078	0.000188155
0.209961	7.1955e-05
0.214844	0.000109435
0.219727	0.000195881
0.224609	8.62379e-05
0.229492	0.000125343
0.234375	9.44617e-05
0.239258	8.89122e-05
0.244141	7.76107e-05
0.249023	8.65427e-05
0.253906	0.000103422
0.258789	9.44917e-05
0.263672	4.05166e-05
0.268555	6.11243e-05
0.273438	9.21476e-05
0.27832	3.33028e-05
0.283203	5.32899e-05
0.288086	4.16552e-05
0.292969	3.7725e-05
0.297852	2.94101e-05
0.302734	2.8431e-05
0.307617	4.27063e-05
0.3125	5.10642e-05
0.317383	3.65008e-05
0.322266	2.88861e-05
0.327148	4.98153e-05
0.332031	4.43924e-05
0.336914	4.7666e-05
0.341797	5.55471e-05
0.34668	5.60189e-05
0.351563	5.31903e-05
0.356445	5.38005e-05
0.361328	6.45474e-05
0.366211	6.75748e-05
0.371094	6.26073e-05
0.375977	6.35168e-05
0.380859	6.39891e-05
0.385742	6.78252e-05
0.390625	6.59923e-05
0.395508	6.81781e-05
0.400391	6.59615e-05
0.405273	6.27179e-05
0.410156	6.14847e-05
0.415039	6.46211e-05
0.419922	6.31369e-05
0.424805	5.65706e-05
0.429688	5.46094e-05
0.43457	5.46023e-05
0.439453	5.19917e-05
0.444336	4.85619e-05
0.449219	4.61885e-05
0.454102	4.31358e-05
0.458984	3.8489e-05
0.463867	3.59081e-05
0.46875	3.55189e-05
0.473633	3.26523e-05
0.478516	2.60613e-05
0.483398	2.53858e-05
0.488281	2.51155e-05
0.493164	2.18989e-05
0.498047	2.12905e-05
0.50293	2.13585e-05
0.507813	2.17257e-05
0.512695	2.1676e-05
0.517578	2.28485e-05
0.522461	2.56736e-05
0.527344	2.8228e-05
0.532227	2.85827e-05
0.537109	3.03847e-05
0.541992	3.38312e-05
0.546875	3.47489e-05
0.551758	3.66317e-05
0.556641	3.87337e-05
0.561523	3.9883e-05
0.566406	4.08633e-05
0.571289	4.19769e-05
0.576172	4.35256e-05
0.581055	4.39236e-05
0.585938	4.38329e-05
0.59082	4.43976e-05
0.595703	4.46464e-05
0.600586	4.40771e-05
0.605469	4.38305e-05
0.610352	4.32576e-05
0.615234	4.22479e-05
0.620117	4.11788e-05
0.625	4.00927e-05
0.629883	3.89091e-05
0.634766	3.70792e-05
0.639648	3.53735e-05
0.644531	3.37806e-05
0.649414	3.18496e-05
0.654297	2.9812e-05
0.65918	2.78311e-05
0.664063	2.58199e-05
0.668945	2.37439e-05
0.673828	2.17809e-05
0.678711	2.00228e-05
0.683594	1.84363e-05
0.688477	1.69497e-05
0.693359	1.58995e-05
0.698242	1.54254e-05
0.703125	1.52885e-05
0.708008	1.55736e-05
0.712891	1.6341e-05
0.717773	1.74354e-05
0.722656	1.87158e-05
0.727539	2.01321e-05
0.732422	2.1682e-05
0.737305	2.32608e-05
0.742188	2.47497e-05
0.74707	2.61734e-05
0.751953	2.76134e-05
0.756836	2.88901e-05
0.761719	2.99997e-05
0.766602	3.10527e-05
0.771484	3.19265e-05
0.776367	3.26275e-05
0.78125	3.3184e-05
0.786133	3.3598e-05
0.791016	3.38276e-05
0.795898	3.38648e-05
0.800781	3.37655e-05
0.805664	3.35148e-05
0.810547	3.30636e-05
0.81543	3.24702e-05
0.820313	3.17509e-05
0.825195	3.08549e-05
0.830078	2.98363e-05
0.834961	2.87013e-05
0.839844	2.74552e-05
0.844727	2.60997e-05
0.849609	2.46622e-05
0.854492	2.31768e-05
0.859375	2.16365e-05
0.864258	2.0073e-05
0.869141	1.85346e-05
0.874023	1.70434e-05
0.878906	1.56381e-05
0.883789	1.43894e-05
0.888672	1.33551e-05
0.893555	1.26016e-05
0.898438	1.21852e-05
0.90332	1.21397e-05
0.908203	1.24656e-05
0.913086	1.31079e-05
0.917969	1.39995e-05
0.922852	1.50768e-05
0.927734	1.62684e-05
0.932617	1.75184e-05
0.9375	1.8786e-05
0.942383	2.00373e-05
0.947266	2.12449e-05
0.952148	2.23857e-05
0.957031	2.34426e-05
0.961914	2.44051e-05
0.966797	2.52584e-05
0.97168	2.59935e-05
0.976563	2.66069e-05
0.981445	2.70901e-05
0.986328	2.74394e-05
0.991211	2.76532e-05
0.996094	2.77307e-05
1.00098	2.76714e-05
1.00586	2.74756e-05
1.01074	2.7147e-05
