# Time	Value
110.8	-0.0202913
111	-0.0201216
111.2	-0.0199572
111.4	-0.0198
111.6	-0.0196517
111.8	-0.0195138
112	-0.0193878
112.2	-0.0192746
112.4	-0.0191752
112.6	-0.0190904
112.8	-0.0190207
113	-0.0189665
113.2	-0.018928
113.4	-0.0189052
113.6	-0.0188982
113.8	-0.0189066
114	-0.0189302
114.2	-0.0189686
114.4	-0.0190211
114.6	-0.0190872
114.8	-0.0191662
115	-0.019257
115.2	-0.0193588
115.4	-0.0194705
115.6	-0.0195908
115.8	-0.0197183
116	-0.0198517
116.2	-0.0199896
116.4	-0.0201304
116.6	-0.0202724
116.8	-0.0204142
117	-0.020554
117.2	-0.0206901
117.4	-0.020821
117.6	-0.020945
117.8	-0.0210605
118	-0.0211662
118.2	-0.0212607
118.4	-0.021343
118.6	-0.021412
118.8	-0.0214669
119	-0.0215072
119.2	-0.0215325
119.4	-0.0215427
119.6	-0.0215376
119.8	-0.0215178
120	-0.0214835
120.2	-0.0214356
120.4	-0.0213749
120.6	-0.0213024
120.8	-0.0212193
121	-0.021127
121.2	-0.021027
121.4	-0.0209206
121.6	-0.0208096
121.8	-0.0206955
122	-0.02058
122.2	-0.0204645
122.4	-0.0203506
122.6	-0.0202399
122.8	-0.0201335
123	-0.0200329
123.2	-0.0199392
123.4	-0.0198533
123.6	-0.0197761
123.8	-0.0197085
124	-0.0196509
124.2	-0.0196038
124.4	-0.0195676
124.6	-0.0195425
124.8	-0.0195286
125	-0.0195257
125.2	-0.0195337
125.4	-0.0195524
125.6	-0.0195814
125.8	-0.0196202
126	-0.0196684
126.2	-0.0197252
126.4	-0.01979
126.6	-0.0198621
126.8	-0.0199405
127	-0.0200244
127.2	-0.0201129
127.4	-0.0202049
127.6	-0.0202994
127.8	-0.0203954
128	-0.0204917
128.2	-0.0205873
128.4	-0.0206812
128.6	-0.0207723
128.8	-0.0208596
129	-0.020942
129.2	-0.0210186
129.4	-0.0210887
129.6	-0.0211514
129.8	-0.021206
130	-0.0212519
130.2	-0.0212888
130.4	-0.0213161
130.6	-0.0213338
130.8	-0.0213417
131	-0.0213399
131.2	-0.0213285
131.4	-0.0213078
131.6	-0.0212783
131.8	-0.0212404
132	-0.0211948
132.2	-0.0211423
132.4	-0.0210838
132.6	-0.02102
132.8	-0.0209519
133	-0.0208806
133.2	-0.020807
133.4	-0.0207323
133.6	-0.0206574
133.8	-0.0205833
134	-0.020511
134.2	-0.0204414
134.4	-0.0203754
134.6	-0.0203138
134.8	-0.0202573
135	-0.0202065
135.2	-0.020162
135.4	-0.0201241
135.6	-0.0200934
135.8	-0.02007
136	-0.0200541
136.2	-0.0200458
136.4	-0.020045
136.6	-0.0200517
136.8	-0.0200656
137	-0.0200865
137.2	-0.0201141
137.4	-0.020148
137.6	-0.0201877
137.8	-0.0202328
138	-0.0202825
138.2	-0.0203365
138.4	-0.0203939
138.6	-0.0204542
138.8	-0.0205166
139	-0.0205805
139.2	-0.020645
139.4	-0.0207096
139.6	-0.0207735
139.8	-0.020836
140	-0.0208964
140.2	-0.0209541
140.4	-0.0210084
140.6	-0.0210588
140.8	-0.0211048
141	-0.0211459
141.2	-0.0211817
141.4	-0.0212119
141.6	-0.0212362
141.8	-0.0212544
142	-0.0212664
142.2	-0.0212721
142.4	-0.0212716
142.6	-0.021265
142.8	-0.0212526
143	-0.0212345
143.2	-0.0212111
143.4	-0.0211829
143.6	-0.0211502
143.8	-0.0211137
144	-0.0210738
144.2	-0.0210311
144.4	-0.0209864
144.6	-0.0209401
144.8	-0.0208931
145	-0.0208458
145.2	-0.020799
145.4	-0.0207533
145.6	-0.0207092
145.8	-0.0206674
146	-0.0206284
146.2	-0.0205926
146.4	-0.0205604
146.6	-0.0205323
146.8	-0.0205086
147	-0.0204894
147.2	-0.020475
147.4	-0.0204655
147.6	-0.020461
147.8	-0.0204615
148	-0.0204668
148.2	-0.020477
148.4	-0.0204917
148.6	-0.0205109
148.8	-0.0205341
149	-0.0205612
149.2	-0.0205918
149.4	-0.0206254
149.6	-0.0206617
149.8	-0.0207002
150	-0.0207405
150.2	-0.0207821
150.4	-0.0208245
150.6	-0.0208673
150.8	-0.02091
151	-0.0209521
151.2	-0.0209932
151.4	-0.0210328
151.6	-0.0210705
151.8	-0.021106
152	-0.0211389
152.2	-0.0211689
152.4	-0.0211956
152.6	-0.0212189
152.8	-0.0212386
153	-0.0212545
153.2	-0.0212665
153.4	-0.0212745
153.6	-0.0212786
153.8	-0.0212787
154	-0.0212751
154.2	-0.0212677
154.4	-0.0212568
154.6	-0.0212426
154.8	-0.0212254
155	-0.0212054
155.2	-0.021183
155.4	-0.0211586
155.6	-0.0211324
155.8	-0.0211049
156	-0.0210764
156.2	-0.0210475
156.4	-0.0210184
156.6	-0.0209896
156.8	-0.0209615
157	-0.0209345
157.2	-0.0209088
157.4	-0.0208849
157.6	-0.020863
157.8	-0.0208435
158	-0.0208265
158.2	-0.0208122
158.4	-0.0208009
158.6	-0.0207926
158.8	-0.0207874
159	-0.0207854
159.2	-0.0207866
159.4	-0.0207909
159.6	-0.0207983
159.8	-0.0208086
160	-0.0208218
160.2	-0.0208376
160.4	-0.0208558
160.6	-0.0208762
160.8	-0.0208986
161	-0.0209226
161.2	-0.0209481
161.4	-0.0209746
161.6	-0.0210019
161.8	-0.0210297
162	-0.0210577
162.2	-0.0210856
162.4	-0.021113
162.6	-0.0211397
162.8	-0.0211655
163	-0.02119
163.2	-0.021213
163.4	-0.0212343
163.6	-0.0212537
163.8	-0.021271
164	-0.0212861
164.2	-0.0212989
164.4	-0.0213093
164.6	-0.0213172
164.8	-0.0213226
165	-0.0213256
165.2	-0.0213261
165.4	-0.0213242
165.6	-0.02132
165.8	-0.0213136
166	-0.0213052
166.2	-0.0212949
166.4	-0.021283
166.6	-0.0212695
166.8	-0.0212548
167	-0.021239
167.2	-0.0212225
167.4	-0.0212054
167.6	-0.0211879
167.8	-0.0211705
168	-0.0211532
168.2	-0.0211364
168.4	-0.0211202
168.6	-0.0211049
168.8	-0.0210908
169	-0.0210779
169.2	-0.0210664
169.4	-0.0210565
169.6	-0.0210484
169.8	-0.0210421
170	-0.0210377
170.2	-0.0210353
170.4	-0.0210348
170.6	-0.0210364
170.8	-0.0210399
171	-0.0210453
171.2	-0.0210525
171.4	-0.0210616
171.6	-0.0210722
171.8	-0.0210844
172	-0.021098
172.2	-0.0211127
172.4	-0.0211285
172.6	-0.0211452
172.8	-0.0211625
173	-0.0211803
173.2	-0.0211984
173.4	-0.0212165
173.6	-0.0212346
173.8	-0.0212523
174	-0.0212696
174.2	-0.0212862
174.4	-0.021302
174.6	-0.0213169
174.8	-0.0213306
175	-0.0213432
175.2	-0.0213544
175.4	-0.0213642
175.6	-0.0213726
175.8	-0.0213794
176	-0.0213847
176.2	-0.0213884
176.4	-0.0213906
176.6	-0.0213913
176.8	-0.0213905
177	-0.0213883
177.2	-0.0213847
177.4	-0.0213799
177.6	-0.0213739
177.8	-0.0213669
178	-0.021359
178.2	-0.0213504
178.4	-0.0213411
178.6	-0.0213314
178.8	-0.0213213
179	-0.0213111
179.2	-0.0213008
179.4	-0.0212907
179.6	-0.0212809
179.8	-0.0212715
180	-0.0212627
180.2	-0.0212546
180.4	-0.0212473
180.6	-0.0212408
180.8	-0.0212354
181	-0.021231
181.2	-0.0212278
181.4	-0.0212257
181.6	-0.0212249
181.8	-0.0212253
182	-0.0212269
182.2	-0.0212297
182.4	-0.0212337
182.6	-0.0212389
182.8	-0.0212451
183	-0.0212524
183.2	-0.0212605
183.4	-0.0212695
183.6	-0.0212793
183.8	-0.0212896
184	-0.0213005
184.2	-0.0213118
184.4	-0.0213233
184.6	-0.021335
184.8	-0.0213468
185	-0.0213584
185.2	-0.0213699
185.4	-0.021381
185.6	-0.0213917
185.8	-0.0214019
186	-0.0214115
186.2	-0.0214204
186.4	-0.0214285
186.6	-0.0214358
186.8	-0.0214423
187	-0.0214478
187.2	-0.0214523
187.4	-0.0214559
187.6	-0.0214586
187.8	-0.0214602
188	-0.021461
188.2	-0.0214608
188.4	-0.0214598
188.6	-0.0214579
188.8	-0.0214553
189	-0.021452
189.2	-0.021448
189.4	-0.0214436
189.6	-0.0214386
189.8	-0.0214333
190	-0.0214278
190.2	-0.021422
190.4	-0.0214162
190.6	-0.0214104
190.8	-0.0214046
191	-0.0213991
191.2	-0.0213938
191.4	-0.0213889
191.6	-0.0213844
191.8	-0.0213804
192	-0.021377
192.2	-0.0213742
192.4	-0.0213721
192.6	-0.0213706
192.8	-0.0213699
193	-0.0213699
193.2	-0.0213707
193.4	-0.0213722
193.6	-0.0213745
193.8	-0.0213775
194	-0.0213812
194.2	-0.0213855
194.4	-0.0213905
194.6	-0.021396
194.8	-0.021402
195	-0.0214084
195.2	-0.0214152
195.4	-0.0214224
195.6	-0.0214297
195.8	-0.0214373
196	-0.0214449
196.2	-0.0214525
196.4	-0.02146
196.6	-0.0214674
196.8	-0.0214746
197	-0.0214816
197.2	-0.0214882
197.4	-0.0214944
197.6	-0.0215002
197.8	-0.0215055
198	-0.0215103
198.2	-0.0215145
198.4	-0.0215182
198.6	-0.0215213
198.8	-0.0215238
199	-0.0215257
199.2	-0.021527
199.4	-0.0215277
199.6	-0.0215279
199.8	-0.0215276
200	-0.0215267
200.2	-0.0215254
200.4	-0.0215237
200.6	-0.0215216
200.8	-0.0215192
201	-0.0215165
201.2	-0.0215136
201.4	-0.0215106
201.6	-0.0215074
201.8	-0.0215042
202	-0.021501
202.2	-0.0214979
202.4	-0.0214949
202.6	-0.0214921
202.8	-0.0214895
203	-0.0214871
203.2	-0.0214851
203.4	-0.0214835
203.6	-0.0214822
203.8	-0.0214813
204	-0.0214808
204.2	-0.0214808
204.4	-0.0214813
204.6	-0.0214821
204.8	-0.0214835
205	-0.0214853
205.2	-0.0214875
205.4	-0.0214902
205.6	-0.0214932
205.8	-0.0214966
