# Frequency	Magnitude
0	2.68509e-18
0.00488281	0.000341983
0.00976563	0.000126658
0.0146484	8.23909e-05
0.0195313	8.34875e-05
0.0244141	9.17205e-05
0.0292969	0.000101054
0.0341797	0.000111684
0.0390625	0.000124659
0.0439453	0.000141328
0.0488281	0.000163465
0.0537109	0.000193494
0.0585938	0.000234719
0.0634766	0.000291351
0.0683594	0.000367912
0.0732422	0.000468969
0.078125	0.000607394
0.0830078	0.000801656
0.0878906	0.00083189
0.0927734	0.000494489
0.0976563	0.000298038
0.102539	0.000231231
0.107422	0.000195653
0.112305	0.000171508
0.117188	0.000153758
0.12207	0.000140132
0.126953	0.000129348
0.131836	0.000120572
0.136719	0.00011314
0.141602	0.000106323
0.146484	9.90973e-05
0.151367	8.99308e-05
0.15625	7.65877e-05
0.161133	5.6715e-05
0.166016	3.81345e-05
0.170898	4.93712e-05
0.175781	6.31546e-05
0.180664	6.26386e-05
0.185547	5.84268e-05
0.19043	5.57077e-05
0.195313	5.36238e-05
0.200195	5.17152e-05
0.205078	4.9997e-05
0.209961	4.84564e-05
0.214844	4.70398e-05
0.219727	4.57171e-05
0.224609	4.44778e-05
0.229492	4.33313e-05
0.234375	4.23145e-05
0.239258	4.14862e-05
0.244141	4.09e-05
0.249023	4.05355e-05
0.253906	4.02071e-05
0.258789	3.96787e-05
0.263672	3.90591e-05
0.268555	3.85447e-05
0.273438	3.80257e-05
0.27832	3.749e-05
0.283203	3.69887e-05
0.288086	3.64754e-05
0.292969	3.59301e-05
0.297852	3.53707e-05
0.302734	3.48054e-05
0.307617	3.42269e-05
0.3125	3.36259e-05
0.317383	3.29996e-05
0.322266	3.23484e-05
0.327148	3.16846e-05
0.332031	3.10347e-05
0.336914	3.03882e-05
0.341797	2.97184e-05
0.34668	2.90588e-05
0.351563	2.84237e-05
0.356445	2.77801e-05
0.361328	2.71407e-05
0.366211	2.65439e-05
0.371094	2.59846e-05
0.375977	2.54365e-05
0.380859	2.49119e-05
0.385742	2.44338e-05
0.390625	2.40012e-05
0.395508	2.36086e-05
0.400391	2.32569e-05
0.405273	2.2944e-05
0.410156	2.26654e-05
0.415039	2.24226e-05
0.419922	2.22246e-05
0.424805	2.20698e-05
0.429688	2.19318e-05
0.43457	2.18058e-05
0.439453	2.17161e-05
0.444336	2.16487e-05
0.449219	2.15725e-05
0.454102	2.14959e-05
0.458984	2.14362e-05
0.463867	2.1382e-05
0.46875	2.1313e-05
0.473633	2.12244e-05
0.478516	2.11237e-05
0.483398	2.10166e-05
0.488281	2.08985e-05
0.493164	2.076e-05
0.498047	2.05985e-05
0.50293	2.04152e-05
0.507813	2.02072e-05
0.512695	1.99807e-05
0.517578	1.97445e-05
0.522461	1.94931e-05
0.527344	1.92256e-05
0.532227	1.89493e-05
0.537109	1.86622e-05
0.541992	1.83651e-05
0.546875	1.80643e-05
0.551758	1.77617e-05
0.556641	1.74623e-05
0.561523	1.71727e-05
0.566406	1.68921e-05
0.571289	1.66189e-05
0.576172	1.63584e-05
0.581055	1.6118e-05
0.585938	1.59019e-05
0.59082	1.57113e-05
0.595703	1.5541e-05
0.600586	1.53869e-05
0.605469	1.52569e-05
0.610352	1.5158e-05
0.615234	1.50823e-05
0.620117	1.50213e-05
0.625	1.49766e-05
0.629883	1.49525e-05
0.634766	1.49474e-05
0.639648	1.4953e-05
0.644531	1.49615e-05
0.649414	1.49716e-05
0.654297	1.49829e-05
0.65918	1.49933e-05
0.664063	1.5001e-05
0.668945	1.50046e-05
0.673828	1.49992e-05
0.678711	1.49804e-05
0.683594	1.49495e-05
0.688477	1.49071e-05
0.693359	1.48495e-05
0.698242	1.47754e-05
0.703125	1.46855e-05
0.708008	1.45782e-05
0.712891	1.44548e-05
0.717773	1.43211e-05
0.722656	1.41782e-05
