# Time	U	V	U_magnitude
0	-1.96967e-28	3.17005e-28	3.73214e-28
0.2	-0.00177252	0.000112824	0.00177611
0.4	-0.0140376	6.84295e-05	0.0140378
0.6	-0.0121174	0.000587724	0.0121317
0.8	-0.00804354	0.000789924	0.00808223
1	-0.0115827	0.000478125	0.0115926
1.2	-0.016474	0.00166605	0.016558
1.4	-0.0150973	0.00240736	0.015288
1.6	-0.0123572	0.00200373	0.0125186
1.8	-0.0153212	0.00244278	0.0155147
2	-0.0183352	0.00387815	0.0187408
2.2	-0.0168983	0.00463642	0.0175228
2.4	-0.0161258	0.00443192	0.0167238
2.6	-0.0186291	0.00529292	0.0193664
2.8	-0.0204206	0.00710709	0.0216221
3	-0.0198756	0.00782252	0.0213596
3.2	-0.0201082	0.00800658	0.0216436
3.4	-0.0222515	0.00940724	0.0241584
3.6	-0.0236541	0.011279	0.0262056
3.8	-0.0237463	0.0121298	0.026665
4	-0.0246593	0.0128063	0.0277863
4.2	-0.0265483	0.0145862	0.0302914
4.4	-0.0278482	0.0165167	0.0323778
4.6	-0.0285384	0.0175894	0.0335235
4.8	-0.0297868	0.0187958	0.0352212
5	-0.0315691	0.0208788	0.0378488
5.2	-0.0329654	0.0228971	0.0401372
5.4	-0.0340478	0.0243316	0.0418483
5.6	-0.0355177	0.0260497	0.0440465
5.8	-0.0372776	0.0284072	0.0468678
6	-0.0387945	0.0306315	0.0494298
6.2	-0.0401439	0.0325126	0.0516585
6.4	-0.0417367	0.0347311	0.0542974
6.6	-0.0435044	0.0373985	0.0573697
6.8	-0.045105	0.0399439	0.0602493
7	-0.0465937	0.0423354	0.0629544
7.2	-0.0482395	0.045055	0.0660076
7.4	-0.0499798	0.0480942	0.0693616
7.6	-0.0515856	0.051061	0.0725831
7.8	-0.0531039	0.0539999	0.0757365
8	-0.0547137	0.0572384	0.0791822
8.2	-0.0563608	0.0607292	0.0828527
8.4	-0.057894	0.0642387	0.0864773
8.6	-0.0593732	0.0678921	0.0901915
8.8	-0.0609422	0.0720069	0.0943342
9	-0.0625773	0.0766822	0.0989751
9.2	-0.0642018	0.081966	0.104117
9.4	-0.0658703	0.0881486	0.110041
9.6	-0.067639	0.0955364	0.117057
9.8	-0.0694016	0.104132	0.12514
10	-0.0710003	0.113753	0.134092
10.2	-0.072364	0.124238	0.143777
10.4	-0.0734304	0.135355	0.15399
10.6	-0.0740658	0.146674	0.164313
10.8	-0.0741611	0.157737	0.174301
11	-0.0737102	0.168222	0.183662
11.2	-0.0727336	0.177858	0.192155
11.4	-0.0712206	0.186344	0.19949
11.6	-0.0691931	0.193444	0.205446
11.8	-0.0667412	0.199076	0.209965
12	-0.0639575	0.203223	0.213049
12.2	-0.0609014	0.205875	0.214694
12.4	-0.0576469	0.207101	0.214974
12.6	-0.0542964	0.207075	0.214075
12.8	-0.0509292	0.206001	0.212203
13	-0.0475857	0.204071	0.209546
13.2	-0.0443058	0.2015	0.206313
13.4	-0.0411343	0.198529	0.202746
13.6	-0.0380872	0.195361	0.199039
13.8	-0.0351521	0.192137	0.195326
14	-0.0323221	0.188971	0.191715
14.2	-0.0295968	0.185957	0.188297
14.4	-0.0269606	0.183133	0.185107
14.6	-0.0243904	0.180491	0.182132
14.8	-0.0218779	0.178012	0.179352
15	-0.019424	0.175674	0.176744
15.2	-0.0170229	0.17343	0.174264
15.4	-0.0146686	0.171229	0.171856
