# Time	Value
50.2	-0.0499727
50.4	-0.0498699
50.6	-0.0495221
50.8	-0.0489344
51	-0.0481146
51.2	-0.0470734
51.4	-0.045824
51.6	-0.044382
51.8	-0.0427648
52	-0.0409918
52.2	-0.0390831
52.4	-0.03706
52.6	-0.0349434
52.8	-0.0327546
53	-0.0305139
53.2	-0.0282405
53.4	-0.0259524
53.6	-0.0236664
53.8	-0.0213972
54	-0.0191584
54.2	-0.0169619
54.4	-0.0148182
54.6	-0.0127367
54.8	-0.0107258
55	-0.00879351
55.2	-0.00694704
55.4	-0.00519344
55.6	-0.00354009
55.8	-0.00199433
56	-0.000563787
56.2	0.000743583
56.4	0.00191931
56.6	0.0029551
56.8	0.0038421
57	0.00457136
57.2	0.00513219
57.4	0.00551666
57.6	0.00571603
57.8	0.00572234
58	0.00552878
58.2	0.00512997
58.4	0.00452248
58.6	0.00370546
58.8	0.00267978
59	0.00145
59.2	2.41326e-05
59.4	-0.00158749
59.6	-0.00336887
59.8	-0.0053043
60	-0.00737173
60.2	-0.00954873
60.4	-0.0118106
60.6	-0.0141294
60.8	-0.0164773
61	-0.0188254
61.2	-0.0211446
61.4	-0.0234055
61.6	-0.0255798
61.8	-0.0276402
62	-0.0295599
62.2	-0.0313162
62.4	-0.0328882
62.6	-0.0342578
62.8	-0.0354102
63	-0.0363346
63.2	-0.0370233
63.4	-0.0374731
63.6	-0.0376843
63.8	-0.0376613
64	-0.0374123
64.2	-0.0369485
64.4	-0.0362847
64.6	-0.0354379
64.8	-0.0344275
65	-0.0332745
65.2	-0.0320007
65.4	-0.0306285
65.6	-0.0291802
65.8	-0.027677
66	-0.0261392
66.2	-0.0245853
66.4	-0.0230316
66.6	-0.0214925
66.8	-0.0199796
67	-0.0185024
67.2	-0.0170683
67.4	-0.0156825
67.6	-0.0143485
67.8	-0.0130687
68	-0.0118442
68.2	-0.0106761
68.4	-0.00956486
68.6	-0.00851166
68.8	-0.00751775
69	-0.00658566
69.2	-0.00571853
69.4	-0.00492072
69.6	-0.00419765
69.8	-0.00355597
70	-0.00300214
70.2	-0.00254434
70.4	-0.00219091
70.6	-0.00195017
70.8	-0.00183023
71	-0.00183873
71.2	-0.00198228
71.4	-0.0022663
71.6	-0.00269451
71.8	-0.00326868
72	-0.00398838
72.2	-0.0048501
72.4	-0.00584823
72.6	-0.00697314
72.8	-0.00821461
73	-0.00955634
73.2	-0.0109819
73.4	-0.0124749
73.6	-0.014011
73.8	-0.0155688
74	-0.0171253
74.2	-0.0186574
74.4	-0.0201418
74.6	-0.0215541
74.8	-0.0228754
75	-0.024086
75.2	-0.0251675
75.4	-0.0261052
75.6	-0.0268868
75.8	-0.0275033
76	-0.0279488
76.2	-0.0282206
76.4	-0.0283197
76.6	-0.0282502
76.8	-0.0280191
77	-0.0276367
77.2	-0.0271154
77.4	-0.0264697
77.6	-0.0257161
77.8	-0.0248717
78	-0.0239545
78.2	-0.0229827
78.4	-0.0219739
78.6	-0.0209449
78.8	-0.0199112
79	-0.0188868
79.2	-0.0178836
79.4	-0.0169117
79.6	-0.0159791
79.8	-0.0150916
80	-0.014253
80.2	-0.0134655
80.4	-0.0127298
80.6	-0.0120454
80.8	-0.0114108
81	-0.0108244
81.2	-0.0102846
81.4	-0.0097894
81.6	-0.00933787
81.8	-0.00892969
82	-0.0085655
82.2	-0.00824675
82.4	-0.0079759
82.6	-0.00775625
82.8	-0.00759171
83	-0.00748681
83.2	-0.00744632
83.4	-0.00747504
83.6	-0.0075774
83.8	-0.00775729
84	-0.0080178
84.2	-0.008361
84.4	-0.00878751
84.6	-0.00929665
84.8	-0.00988631
85	-0.0105516
85.2	-0.0112867
85.4	-0.0120838
85.6	-0.0129333
85.8	-0.0138247
86	-0.0147447
86.2	-0.0156794
86.4	-0.0166141
86.6	-0.0175333
86.8	-0.0184221
87	-0.0192661
87.2	-0.0200509
87.4	-0.020763
87.6	-0.0213901
87.8	-0.0219223
88	-0.0223511
88.2	-0.0226704
88.4	-0.0228764
88.6	-0.0229676
88.8	-0.0229447
89	-0.0228109
89.2	-0.0225718
89.4	-0.0222347
89.6	-0.0218089
89.8	-0.021305
90	-0.020735
90.2	-0.0201115
90.4	-0.0194478
90.6	-0.018757
90.8	-0.0180518
91	-0.0173445
91.2	-0.0166462
91.4	-0.0159671
91.6	-0.0153157
91.8	-0.0146992
92	-0.0141232
92.2	-0.0135917
92.4	-0.0131069
92.6	-0.0126702
92.8	-0.0122814
93	-0.0119394
93.2	-0.0116423
93.4	-0.0113876
93.6	-0.0111731
93.8	-0.0109963
94	-0.0108549
94.2	-0.0107469
94.4	-0.010671
94.6	-0.0106266
94.8	-0.0106137
95	-0.0106327
95.2	-0.0106849
95.4	-0.0107718
95.6	-0.0108952
95.8	-0.0110569
96	-0.0112587
96.2	-0.0115019
96.4	-0.0117874
96.6	-0.0121153
96.8	-0.0124849
97	-0.0128945
97.2	-0.0133415
97.4	-0.0138221
97.6	-0.0143315
97.8	-0.0148636
98	-0.0154118
98.2	-0.0159687
98.4	-0.0165257
98.6	-0.0170742
98.8	-0.0176049
99	-0.0181088
99.2	-0.0185769
99.4	-0.0190003
99.6	-0.019371
99.8	-0.0196825
100	-0.019929
100.2	-0.0201056
100.4	-0.0202092
100.6	-0.0202383
100.8	-0.0201926
101	-0.0200736
101.2	-0.0198841
101.4	-0.0196287
101.6	-0.0193131
101.8	-0.018944
102	-0.0185295
102.2	-0.0180779
102.4	-0.0175983
102.6	-0.0171
102.8	-0.0165924
103	-0.0160844
103.2	-0.0155846
103.4	-0.015101
103.6	-0.0146404
103.8	-0.0142091
104	-0.013812
104.2	-0.0134529
104.4	-0.0131344
104.6	-0.0128581
104.8	-0.0126245
105	-0.0124334
105.2	-0.0122834
105.4	-0.0121728
105.6	-0.0120993
105.8	-0.0120605
106	-0.0120539
106.2	-0.0120768
106.4	-0.0121266
106.6	-0.0122011
106.8	-0.0122985
107	-0.0124173
107.2	-0.0125564
107.4	-0.0127152
107.6	-0.0128931
107.8	-0.01309
108	-0.0133056
108.2	-0.01354
108.4	-0.0137929
108.6	-0.0140638
108.8	-0.0143517
109	-0.0146555
109.2	-0.0149736
109.4	-0.0153036
109.6	-0.0156427
109.8	-0.0159873
110	-0.0163334
110.2	-0.0166766
110.4	-0.0170121
110.6	-0.0173349
110.8	-0.0176399
111	-0.0179219
111.2	-0.0181757
111.4	-0.0183964
111.6	-0.0185796
111.8	-0.0187212
112	-0.018818
112.2	-0.0188678
112.4	-0.018869
112.6	-0.018821
112.8	-0.0187242
113	-0.0185798
113.2	-0.0183903
113.4	-0.0181589
113.6	-0.0178898
113.8	-0.0175878
114	-0.0172585
114.2	-0.0169077
114.4	-0.0165419
114.6	-0.0161676
114.8	-0.0157913
115	-0.0154191
115.2	-0.0150573
115.4	-0.0147116
115.6	-0.0143869
115.8	-0.0140878
116	-0.0138179
116.2	-0.01358
116.4	-0.0133762
116.6	-0.013208
116.8	-0.0130758
117	-0.0129798
117.2	-0.0129191
117.4	-0.0128924
117.6	-0.0128976
117.8	-0.0129328
118	-0.0129954
118.2	-0.013083
118.4	-0.0131931
118.6	-0.0133232
118.8	-0.0134712
119	-0.0136349
119.2	-0.0138123
119.4	-0.0140015
119.6	-0.014201
119.8	-0.0144094
120	-0.0146254
120.2	-0.0148479
120.4	-0.0150758
120.6	-0.0153081
120.8	-0.0155435
121	-0.0157808
121.2	-0.0160185
121.4	-0.0162548
121.6	-0.0164879
121.8	-0.0167155
122	-0.0169354
122.2	-0.017145
122.4	-0.0173418
122.6	-0.0175229
122.8	-0.0176856
123	-0.0178271
123.2	-0.0179447
123.4	-0.018036
123.6	-0.0180992
123.8	-0.0181324
124	-0.0181346
124.2	-0.0181048
124.4	-0.0180427
124.6	-0.0179487
124.8	-0.0178237
125	-0.017669
125.2	-0.017487
125.4	-0.0172803
125.6	-0.017052
125.8	-0.0168058
126	-0.0165456
126.2	-0.0162755
126.4	-0.016
126.6	-0.0157234
126.8	-0.0154502
127	-0.0151848
127.2	-0.0149312
127.4	-0.0146932
127.6	-0.0144743
127.8	-0.0142773
128	-0.0141048
128.2	-0.0139586
128.4	-0.0138403
128.6	-0.0137507
128.8	-0.01369
129	-0.0136578
129.2	-0.0136535
129.4	-0.0136759
129.6	-0.0137237
129.8	-0.013795
130	-0.0138878
130.2	-0.0140002
130.4	-0.0141298
130.6	-0.0142747
130.8	-0.0144323
131	-0.0146005
131.2	-0.014777
131.4	-0.0149599
131.6	-0.0151473
131.8	-0.0153376
132	-0.0155291
132.2	-0.0157205
132.4	-0.0159103
132.6	-0.0160973
132.8	-0.0162802
133	-0.0164577
133.2	-0.0166285
133.4	-0.0167914
133.6	-0.0169451
133.8	-0.0170884
134	-0.0172197
134.2	-0.0173379
134.4	-0.0174416
134.6	-0.0175294
134.8	-0.0176002
135	-0.0176529
135.2	-0.0176866
135.4	-0.0177004
135.6	-0.0176937
135.8	-0.0176661
136	-0.0176176
136.2	-0.0175482
136.4	-0.0174585
136.6	-0.0173492
136.8	-0.0172216
137	-0.0170771
137.2	-0.0169177
137.4	-0.0167453
137.6	-0.0165626
137.8	-0.0163719
138	-0.0161761
138.2	-0.0159781
138.4	-0.0157808
138.6	-0.0155872
138.8	-0.0154002
139	-0.0152225
139.2	-0.0150569
139.4	-0.0149056
139.6	-0.0147708
139.8	-0.0146542
140	-0.0145573
140.2	-0.014481
140.4	-0.0144261
140.6	-0.0143928
140.8	-0.0143812
141	-0.0143909
141.2	-0.0144212
141.4	-0.014471
141.6	-0.0145393
141.8	-0.0146244
142	-0.0147248
142.2	-0.0148387
142.4	-0.0149644
142.6	-0.0150998
142.8	-0.015243
143	-0.015392
143.2	-0.015545
143.4	-0.0157002
143.6	-0.0158559
143.8	-0.0160105
144	-0.0161627
144.2	-0.0163109
144.4	-0.0164541
144.6	-0.016591
144.8	-0.0167206
145	-0.0168418
145.2	-0.0169538
145.4	-0.0170557
145.6	-0.0171467
145.8	-0.0172263
146	-0.0172938
146.2	-0.0173488
146.4	-0.0173906
146.6	-0.0174191
146.8	-0.0174338
147	-0.0174346
147.2	-0.0174213
147.4	-0.017394
147.6	-0.0173527
147.8	-0.0172979
148	-0.0172299
148.2	-0.0171494
148.4	-0.0170573
148.6	-0.0169543
148.8	-0.0168418
149	-0.016721
149.2	-0.0165934
149.4	-0.0164606
149.6	-0.0163244
149.8	-0.0161865
150	-0.0160489
150.2	-0.0159134
150.4	-0.0157821
150.6	-0.0156566
150.8	-0.0155388
151	-0.0154303
151.2	-0.0153327
151.4	-0.0152472
151.6	-0.0151751
151.8	-0.0151173
152	-0.0150744
152.2	-0.0150469
152.4	-0.0150351
152.6	-0.0150389
152.8	-0.015058
153	-0.0150919
153.2	-0.01514
153.4	-0.0152012
153.6	-0.0152745
153.8	-0.0153587
154	-0.0154526
154.2	-0.0155546
154.4	-0.0156632
154.6	-0.015777
154.8	-0.0158944
155	-0.0160139
155.2	-0.0161339
155.4	-0.0162531
155.6	-0.0163701
155.8	-0.0164838
156	-0.0165929
156.2	-0.0166965
156.4	-0.0167937
156.6	-0.0168836
156.8	-0.0169654
157	-0.0170388
157.2	-0.017103
157.4	-0.0171578
157.6	-0.0172028
157.8	-0.0172378
158	-0.0172627
158.2	-0.0172774
158.4	-0.017282
158.6	-0.0172763
158.8	-0.0172608
159	-0.0172355
159.2	-0.0172008
159.4	-0.017157
159.6	-0.0171047
159.8	-0.0170444
160	-0.0169768
160.2	-0.0169025
160.4	-0.0168223
160.6	-0.0167373
160.8	-0.0166482
161	-0.0165563
161.2	-0.0164625
161.4	-0.0163681
161.6	-0.0162741
161.8	-0.0161819
162	-0.0160925
