# Frequency	Magnitude
0	6.44761e-18
0.00488281	0.000672646
0.00976563	0.000480718
0.0146484	0.000394321
0.0195313	0.000347225
0.0244141	0.000335285
0.0292969	0.000347957
0.0341797	0.00038133
0.0390625	0.000436475
0.0439453	0.000516932
0.0488281	0.000628681
0.0537109	0.000780551
0.0585938	0.000983952
0.0634766	0.00124842
0.0683594	0.00155785
0.0732422	0.00183494
0.078125	0.00205195
0.0830078	0.00224357
0.0878906	0.0012073
0.0927734	0.000665942
0.0976563	0.000550159
0.102539	0.000466619
0.107422	0.000404628
0.112305	0.000353489
0.117188	0.00030868
0.12207	0.000266479
0.126953	0.000224747
0.131836	0.000185091
0.136719	0.000159147
0.141602	0.000171491
0.146484	0.000231665
0.151367	0.000323242
0.15625	0.000406815
0.161133	0.000375482
0.166016	0.000212303
0.170898	0.000185246
0.175781	0.000186204
0.180664	0.000178123
0.185547	0.000170403
0.19043	0.000163477
0.195313	0.000157327
0.200195	0.000151734
0.205078	0.00014652
0.209961	0.000141771
0.214844	0.000137911
0.219727	0.000135233
0.224609	0.000132931
0.229492	0.000128796
0.234375	0.000122464
0.239258	0.000118148
0.244141	0.000117394
0.249023	0.000115927
0.253906	0.000113766
0.258789	0.00011165
0.263672	0.000109653
0.268555	0.000107735
0.273438	0.000105917
0.27832	0.000104105
0.283203	0.000102204
0.288086	0.000100114
0.292969	9.78853e-05
0.297852	9.56983e-05
0.302734	9.38256e-05
0.307617	9.23568e-05
0.3125	9.09526e-05
0.317383	8.93239e-05
0.322266	8.76126e-05
0.327148	8.60441e-05
0.332031	8.4472e-05
0.336914	8.29255e-05
0.341797	8.14013e-05
0.34668	7.99335e-05
0.351563	7.85328e-05
0.356445	7.71892e-05
0.361328	7.59213e-05
0.366211	7.46915e-05
0.371094	7.35045e-05
0.375977	7.2306e-05
0.380859	7.11044e-05
0.385742	6.99917e-05
0.390625	6.90237e-05
0.395508	6.81336e-05
0.400391	6.72661e-05
0.405273	6.64344e-05
0.410156	6.56848e-05
0.415039	6.49514e-05
0.419922	6.42959e-05
0.424805	6.3662e-05
0.429688	6.30835e-05
0.43457	6.25494e-05
0.439453	6.20131e-05
0.444336	6.15369e-05
0.449219	6.10306e-05
0.454102	6.05549e-05
0.458984	6.00697e-05
0.463867	5.95817e-05
0.46875	5.90948e-05
0.473633	5.86168e-05
0.478516	5.81276e-05
0.483398	5.76185e-05
0.488281	5.71019e-05
0.493164	5.65658e-05
0.498047	5.60184e-05
0.50293	5.54519e-05
0.507813	5.4885e-05
0.512695	5.42981e-05
0.517578	5.37133e-05
0.522461	5.31079e-05
0.527344	5.24991e-05
0.532227	5.18888e-05
0.537109	5.12755e-05
0.541992	5.06607e-05
0.546875	5.00564e-05
0.551758	4.94671e-05
0.556641	4.88851e-05
0.561523	4.83126e-05
0.566406	4.77633e-05
0.571289	4.72371e-05
0.576172	4.67232e-05
0.581055	4.62478e-05
0.585938	4.5789e-05
0.59082	4.53714e-05
0.595703	4.49757e-05
0.600586	4.46095e-05
0.605469	4.42794e-05
0.610352	4.39659e-05
0.615234	4.36828e-05
0.620117	4.34337e-05
0.625	4.31953e-05
0.629883	4.29845e-05
0.634766	4.27861e-05
0.639648	4.26e-05
0.644531	4.24173e-05
0.649414	4.22418e-05
0.654297	4.20703e-05
0.65918	4.18991e-05
0.664063	4.17191e-05
0.668945	4.15438e-05
0.673828	4.1352e-05
0.678711	4.11504e-05
0.683594	4.09382e-05
0.688477	4.07032e-05
0.693359	4.04578e-05
0.698242	4.01994e-05
0.703125	3.99241e-05
0.708008	3.96443e-05
0.712891	3.93481e-05
0.717773	3.90335e-05
0.722656	3.87075e-05
0.727539	3.83756e-05
0.732422	3.80323e-05
0.737305	3.76817e-05
0.742188	3.73327e-05
0.74707	3.69873e-05
0.751953	3.66466e-05
0.756836	3.63058e-05
0.761719	3.59794e-05
0.766602	3.56574e-05
0.771484	3.53439e-05
0.776367	3.50504e-05
0.78125	3.47782e-05
0.786133	3.45197e-05
0.791016	3.42887e-05
0.795898	3.4073e-05
0.800781	3.38753e-05
0.805664	3.36995e-05
0.810547	3.35427e-05
0.81543	3.34045e-05
0.820313	3.32781e-05
0.825195	3.31697e-05
0.830078	3.30758e-05
0.834961	3.2995e-05
0.839844	3.29198e-05
0.844727	3.28485e-05
0.849609	3.2778e-05
0.854492	3.27071e-05
0.859375	3.26374e-05
0.864258	3.25656e-05
0.869141	3.24879e-05
0.874023	3.24002e-05
0.878906	3.23009e-05
0.883789	3.21926e-05
0.888672	3.20731e-05
