# Time	Value
50.2	-0.0499288
50.4	-0.0510238
50.6	-0.0518581
50.8	-0.0524238
51	-0.0527154
51.2	-0.0527304
51.4	-0.0524695
51.6	-0.0519366
51.8	-0.0511386
52	-0.0500858
52.2	-0.0487916
52.4	-0.0472722
52.6	-0.0455462
52.8	-0.0436348
53	-0.0415605
53.2	-0.039347
53.4	-0.0370187
53.6	-0.0345999
53.8	-0.0321143
54	-0.0295847
54.2	-0.0270322
54.4	-0.0244763
54.6	-0.0219345
54.8	-0.0194222
55	-0.0169532
55.2	-0.014539
55.4	-0.0121899
55.6	-0.00991443
55.8	-0.00772043
56	-0.00561492
56.2	-0.00360441
56.4	-0.00169526
56.6	0.000105733
56.8	0.00179146
57	0.00335576
57.2	0.00479136
57.4	0.00609022
57.6	0.00724472
57.8	0.00824431
58	0.00908009
58.2	0.00974284
58.4	0.010221
58.6	0.0105046
58.8	0.0105849
59	0.0104533
59.2	0.0101026
59.4	0.00952724
59.6	0.00872401
59.8	0.00769126
60	0.0064312
60.2	0.0049496
60.4	0.00325505
60.6	0.00136009
60.8	-0.000719443
61	-0.00296143
61.2	-0.00534317
61.4	-0.00783722
61.6	-0.0104145
61.8	-0.0130453
62	-0.0156967
62.2	-0.0183359
62.4	-0.02093
62.6	-0.0234462
62.8	-0.0258527
63	-0.0281189
63.2	-0.0302175
63.4	-0.0321222
63.6	-0.0338108
63.8	-0.0352642
64	-0.0364671
64.2	-0.0374084
64.4	-0.0380815
64.6	-0.0384841
64.8	-0.0386184
65	-0.0384912
65.2	-0.0381133
65.4	-0.0374996
65.6	-0.0366679
65.8	-0.0356395
66	-0.0344374
66.2	-0.0330867
66.4	-0.0316131
66.6	-0.0300429
66.8	-0.0284017
67	-0.0267141
67.2	-0.025003
67.4	-0.0232891
67.6	-0.0215904
67.8	-0.0199221
68	-0.0182964
68.2	-0.0167226
68.4	-0.0152072
68.6	-0.0137541
68.8	-0.0123654
69	-0.0110413
69.2	-0.00978109
69.4	-0.00858319
69.6	-0.00744628
69.8	-0.00636895
70	-0.00535097
70.2	-0.00439285
70.4	-0.00349659
70.6	-0.00266517
70.8	-0.00190329
71	-0.00121718
71.2	-0.000613055
71.4	-9.89541e-05
71.6	0.00031663
71.8	0.000624571
72	0.000815953
72.2	0.000882067
72.4	0.000814758
72.6	0.000607065
72.8	0.000253415
73	-0.000250464
73.2	-0.000906589
73.4	-0.00171509
73.6	-0.00267234
73.8	-0.00377354
74	-0.00500822
74.2	-0.00636606
74.4	-0.00783046
74.6	-0.00938285
74.8	-0.0110056
75	-0.0126746
75.2	-0.0143649
75.4	-0.0160519
75.6	-0.0177101
75.8	-0.0193128
76	-0.0208361
76.2	-0.0222575
76.4	-0.0235547
76.6	-0.024708
76.8	-0.025701
77	-0.0265203
