# Frequency	Magnitude
0	6.05798e-18
0.00488281	0.000216618
0.00976563	0.000109004
0.0146484	0.00011218
0.0195313	5.27579e-05
0.0244141	5.21619e-05
0.0292969	5.96805e-05
0.0341797	3.80588e-05
0.0390625	2.75821e-05
0.0439453	3.93572e-05
0.0488281	3.41093e-05
0.0537109	2.04824e-05
0.0585938	2.78801e-05
0.0634766	3.10639e-05
0.0683594	2.01443e-05
0.0732422	2.42414e-05
0.078125	2.28355e-05
0.0830078	1.07164e-05
0.0878906	1.59925e-05
0.0927734	8.77075e-06
0.0976563	8.03497e-06
0.102539	1.29169e-05
0.107422	9.50343e-06
0.112305	5.17682e-06
0.117188	1.02121e-05
0.12207	1.08653e-05
0.126953	6.0029e-06
0.131836	6.33211e-06
0.136719	1.00546e-05
0.141602	8.47194e-06
0.146484	4.32475e-06
0.151367	7.21596e-06
0.15625	9.18085e-06
0.161133	6.33455e-06
0.166016	4.17498e-06
0.170898	7.5632e-06
0.175781	7.89337e-06
0.180664	4.54599e-06
0.185547	4.68907e-06
0.19043	7.4307e-06
0.195313	6.49546e-06
0.200195	3.42532e-06
0.205078	5.2597e-06
0.209961	6.96664e-06
0.214844	5.11291e-06
0.219727	3.1175e-06
0.224609	5.62425e-06
0.229492	6.25669e-06
0.234375	3.87143e-06
0.239258	3.41666e-06
0.244141	5.72473e-06
0.249023	5.38565e-06
0.253906	2.9316e-06
0.258789	3.89961e-06
0.263672	5.57006e-06
0.268555	4.43576e-06
0.273438	2.48618e-06
0.27832	4.30799e-06
0.283203	5.19426e-06
0.288086	3.49736e-06
0.292969	2.57418e-06
0.297852	4.54257e-06
0.302734	4.64495e-06
0.307617	2.68398e-06
0.3125	2.94904e-06
0.317383	4.57662e-06
0.322266	3.97744e-06
0.327148	2.15166e-06
0.332031	3.35463e-06
0.336914	4.41704e-06
0.341797	3.25622e-06
0.34668	2.0379e-06
0.351563	3.65992e-06
0.356445	4.08803e-06
0.361328	2.56151e-06
0.366211	2.27221e-06
0.371094	3.81327e-06
0.375977	3.62556e-06
0.380859	2.00513e-06
0.385742	2.6348e-06
0.390625	3.80179e-06
0.395508	3.07546e-06
0.400391	1.73059e-06
0.405273	2.9675e-06
0.410156	3.63329e-06
0.415039	2.49504e-06
0.419922	1.79971e-06
0.424805	3.19497e-06
0.429688	3.32881e-06
0.43457	1.96271e-06
0.439453	2.08237e-06
0.444336	3.28772e-06
0.449219	2.91967e-06
0.454102	1.59088e-06
0.458984	2.40795e-06
0.463867	3.24001e-06
0.46875	2.44733e-06
0.473633	1.49593e-06
0.478516	2.67664e-06
0.483398	3.06127e-06
0.488281	1.96734e-06
0.493164	1.66417e-06
0.498047	2.84208e-06
0.50293	2.77122e-06
0.507813	1.55977e-06
0.512695	1.95103e-06
0.517578	2.88668e-06
0.522461	2.39923e-06
0.527344	1.33512e-06
0.532227	2.23357e-06
0.537109	2.80955e-06
0.541992	1.98526e-06
0.546875	1.36608e-06
0.551758	2.44688e-06
0.556641	2.6211e-06
0.561523	1.5857e-06
0.566406	1.58182e-06
0.571289	2.56123e-06
0.576172	2.34108e-06
0.581055	1.28468e-06
0.585938	1.85254e-06
0.59082	2.56658e-06
0.595703	1.99822e-06
0.600586	1.18174e-06
0.605469	2.09218e-06
0.610352	2.46512e-06
0.615234	1.63282e-06
0.620117	1.29607e-06
0.625	2.25746e-06
0.629883	2.26862e-06
0.634766	1.30454e-06
0.639648	1.52792e-06
0.644531	2.32905e-06
0.649414	1.99709e-06
0.654297	1.10036e-06
0.65918	1.77333e-06
0.664063	2.30176e-06
0.668945	1.67961e-06
0.673828	1.09591e-06
0.678711	1.97245e-06
0.683594	2.18032e-06
0.688477	1.35848e-06
0.693359	1.25995e-06
0.698242	2.09584e-06
0.703125	1.97764e-06
0.708008	1.09805e-06
0.712891	1.48923e-06
0.717773	2.13099e-06
0.722656	1.71453e-06
0.727539	9.83398e-07
0.732422	1.70566e-06
0.737305	2.07634e-06
0.742188	1.4213e-06
0.74707	1.05364e-06
0.751953	1.86733e-06
0.756836	1.93858e-06
0.761719	1.14362e-06
0.766602	1.24231e-06
0.771484	1.95392e-06
0.776367	1.73184e-06
0.78125	9.50786e-07
0.786133	1.45846e-06
0.791016	1.95778e-06
0.795898	1.47802e-06
0.800781	9.16523e-07
0.805664	1.64502e-06
0.810547	1.88002e-06
0.81543	1.20962e-06
0.820313	1.03814e-06
0.825195	1.7723e-06
0.830078	1.72914e-06
0.834961	9.77003e-07
0.839844	1.2341e-06
0.844727	1.82637e-06
0.849609	1.52051e-06
0.854492	8.52037e-07
0.859375	1.43135e-06
0.864258	1.8031e-06
0.869141	1.2776e-06
0.874023	8.85434e-07
0.878906	1.58852e-06
0.883789	1.70591e-06
0.888672	1.0361e-06
0.893555	1.03805e-06
0.898438	1.68436e-06
0.90332	1.54479e-06
0.908203	8.51696e-07
0.913086	1.22998e-06
0.917969	1.70952e-06
0.922852	1.33656e-06
0.927734	7.92999e-07
0.932617	1.40545e-06
0.9375	1.6627e-06
0.942383	1.10682e-06
0.947266	8.78354e-07
0.952148	1.53433e-06
0.957031	1.54922e-06
0.961914	8.9551e-07
0.966797	1.04592e-06
0.97168	1.60143e-06
0.976563	1.38058e-06
0.981445	7.62977e-07
0.986328	1.22679e-06
0.991211	1.60083e-06
0.996094	1.17521e-06
1.00098	7.65117e-07
1.00586	1.37927e-06
1.01074	1.53357e-06
1.01563	9.61617e-07
1.02051	8.86161e-07
1.02539	1.48128e-06
1.03027	1.40664e-06
1.03516	7.8483e-07
1.04004	1.05705e-06
1.04492	1.52207e-06
1.0498	1.23306e-06
1.05469	7.06637e-07
1.05957	1.22264e-06
1.06445	1.4985e-06
1.06934	1.03333e-06
1.07422	7.60032e-07
1.0791	1.3519e-06
1.08398	1.41356e-06
1.08887	8.39611e-07
1.09375	9.0224e-07
1.09863	1.42857e-06
1.10352	1.27581e-06
1.1084	7.02282e-07
1.11328	1.06854e-06
1.11816	1.4453e-06
1.12305	1.09994e-06
1.12793	6.77934e-07
1.13281	1.21646e-06
1.1377	1.40126e-06
1.14258	9.08972e-07
1.14746	7.70291e-07
1.15234	1.3228e-06
1.15723	1.30115e-06
1.16211	7.39668e-07
1.16699	9.22083e-07
1.17188	1.37565e-06
1.17676	1.15511e-06
1.18164	6.46357e-07
1.18652	1.07861e-06
1.19141	1.3704e-06
1.19629	9.79702e-07
1.20117	6.71222e-07
1.20605	1.20759e-06
1.21094	1.30818e-06
1.21582	8.01168e-07
1.2207	7.89878e-07
1.22559	1.29163e-06
1.23047	1.19528e-06
1.23535	6.61513e-07
1.24023	9.42734e-07
1.24512	1.32218e-06
1.25	1.04344e-06
1.25488	6.14882e-07
1.25977	1.08616e-06
1.26465	1.2969e-06
1.26953	8.71525e-07
1.27441	6.80592e-07
1.2793	1.19568e-06
1.28418	1.21864e-06
1.28906	7.09757e-07
1.29395	8.14348e-07
1.29883	1.25824e-06
1.30371	1.09523e-06
1.30859	6.0516e-07
1.31348	9.62298e-07
1.31836	1.26798e-06
1.32324	9.40202e-07
1.32813	6.04508e-07
1.33301	1.09058e-06
1.33789	1.2245e-06
1.34277	7.75178e-07
1.34766	7.0065e-07
1.35254	1.18056e-06
1.35742	1.13223e-06
1.3623	6.35215e-07
1.36719	8.40613e-07
1.37207	1.22254e-06
1.37695	1.00059e-06
1.38184	5.70187e-07
1.38672	9.79578e-07
1.3916	1.21291e-06
1.39648	8.45136e-07
1.40137	6.10848e-07
1.40625	1.09149e-06
1.41113	1.15298e-06
1.41602	6.90968e-07
1.4209	7.27018e-07
1.42578	1.16214e-06
1.43066	1.04872e-06
1.43555	5.78355e-07
1.44043	8.66572e-07
1.44531	1.18452e-06
1.4502	9.11191e-07
1.45508	5.55074e-07
1.45996	9.93822e-07
1.46484	1.15694e-06
1.46973	7.584e-07
1.47461	6.29259e-07
1.47949	1.08871e-06
1.48438	1.08228e-06
1.48926	6.1972e-07
1.49414	7.56439e-07
