# Time	U	V	U_magnitude
0	-4.65974e-28	7.51295e-28	8.84068e-28
0.2	-0.0058197	0.000156467	0.0058218
0.4	-0.0183385	0.000109714	0.0183388
0.6	-0.0125756	0.000772244	0.0125993
0.8	-0.0123	0.000320824	0.0123042
1	-0.0212858	0.00120704	0.02132
1.2	-0.0204775	0.00197485	0.0205725
1.4	-0.0169898	0.00160954	0.0170659
1.6	-0.022478	0.00242253	0.0226082
1.8	-0.0245355	0.00360052	0.0247983
2	-0.021384	0.00360298	0.0216854
2.2	-0.0236797	0.00394413	0.0240059
2.4	-0.0267807	0.00550805	0.0273413
2.6	-0.0253789	0.00602231	0.0260836
2.8	-0.0257015	0.00619796	0.0264383
3	-0.0287139	0.00771815	0.0297331
3.2	-0.028941	0.00890234	0.0302793
3.4	-0.0287464	0.00921411	0.030187
3.6	-0.0310389	0.0105024	0.0327675
3.8	-0.0324035	0.0121918	0.0346212
4	-0.0325262	0.0129073	0.0349936
4.2	-0.0341382	0.014012	0.0369019
4.4	-0.0360632	0.01591	0.0394168
4.6	-0.036818	0.0171652	0.0406228
4.8	-0.0381125	0.0182592	0.0422606
5	-0.0401629	0.0201638	0.0449404
5.2	-0.0415623	0.0219066	0.0469822
5.4	-0.0428865	0.0232035	0.0487612
5.6	-0.0448972	0.0250569	0.051416
5.8	-0.0467795	0.02714	0.0540823
6	-0.0483647	0.0287909	0.0562855
6.2	-0.050359	0.030659	0.0589576
6.4	-0.0525377	0.0329425	0.0620114
6.6	-0.0544777	0.0349927	0.0647481
6.8	-0.0565555	0.0370035	0.0675853
7	-0.0589097	0.0394127	0.0708781
7.2	-0.0611882	0.0418256	0.0741173
7.4	-0.0634493	0.0440978	0.0772686
7.6	-0.0659356	0.0466352	0.080761
7.8	-0.0684879	0.0493456	0.0844132
8	-0.0709936	0.0519546	0.0879737
8.2	-0.0736326	0.0546987	0.0917262
8.4	-0.0764215	0.0577131	0.0957656
8.6	-0.0792356	0.0608019	0.0998757
8.8	-0.0821593	0.0640715	0.104189
9	-0.0853127	0.0678053	0.108976
9.2	-0.0886502	0.0720228	0.11422
9.4	-0.0921796	0.0767942	0.119977
9.6	-0.0960026	0.0824004	0.126516
9.8	-0.100098	0.0889464	0.133907
10	-0.10437	0.0963625	0.142052
10.2	-0.108783	0.104661	0.150955
10.4	-0.113265	0.113776	0.160543
10.6	-0.117656	0.123441	0.17053
10.8	-0.121829	0.133404	0.180663
11	-0.125708	0.143466	0.190748
11.2	-0.129173	0.153344	0.200499
11.4	-0.132121	0.162752	0.209628
11.6	-0.134513	0.171511	0.217967
11.8	-0.136321	0.179455	0.225361
12	-0.137507	0.18641	0.23164
12.2	-0.13808	0.192281	0.236724
12.4	-0.138081	0.197037	0.240603
12.6	-0.137536	0.200642	0.243255
12.8	-0.136489	0.203098	0.2447
13	-0.135014	0.204474	0.245027
13.2	-0.133178	0.204846	0.244332
13.4	-0.131038	0.204295	0.242708
13.6	-0.12867	0.202939	0.240292
13.8	-0.126144	0.20091	0.237228
14	-0.123515	0.198321	0.233639
14.2	-0.120834	0.195293	0.229653
14.4	-0.118155	0.191951	0.225402
14.6	-0.115512	0.188397	0.220989
14.8	-0.112929	0.184714	0.2165
15	-0.110432	0.180985	0.212016
15.2	-0.108036	0.177274	0.2076
15.4	-0.105743	0.173621	0.203288
15.6	-0.103557	0.170059	0.199108
15.8	-0.101479	0.166613	0.195084
16	-0.0995026	0.163291	0.191219
16.2	-0.0976207	0.160094	0.187509
16.4	-0.0958285	0.157021	0.183953
16.6	-0.0941182	0.154065	0.180539
16.8	-0.0924806	0.151215	0.177253
17	-0.0909101	0.148459	0.174082
17.2	-0.0894014	0.145787	0.171016
17.4	-0.0879476	0.143186	0.168039
17.6	-0.0865442	0.140645	0.165139
17.8	-0.0851886	0.138157	0.162309
18	-0.0838772	0.135712	0.15954
18.2	-0.0826068	0.133303	0.156823
18.4	-0.0813764	0.130925	0.154154
18.6	-0.0801849	0.128575	0.151529
18.8	-0.0790304	0.126249	0.148945
19	-0.0779125	0.123945	0.146399
19.2	-0.0768311	0.121662	0.143891
19.4	-0.0757854	0.1194	0.141421
19.6	-0.074775	0.117159	0.138988
19.8	-0.0738002	0.11494	0.136593
20	-0.0728605	0.112744	0.134238
20.2	-0.0719554	0.110573	0.131924
20.4	-0.0710848	0.108427	0.129651
20.6	-0.0702487	0.106309	0.127422
20.8	-0.0694464	0.10422	0.125238
21	-0.0686773	0.102162	0.1231
21.2	-0.0679412	0.100137	0.12101
21.4	-0.0672374	0.0981467	0.118969
21.6	-0.0665649	0.0961919	0.116978
21.8	-0.0659233	0.0942744	0.115037
22	-0.0653116	0.0923957	0.113148
22.2	-0.0647288	0.0905566	0.111312
22.4	-0.0641741	0.0887583	0.109528
22.6	-0.0636464	0.0870018	0.107797
22.8	-0.0631447	0.0852878	0.106119
23	-0.0626677	0.0836167	0.104494
23.2	-0.0622145	0.0819892	0.102922
23.4	-0.0617837	0.0804057	0.101402
23.6	-0.0613742	0.0788663	0.0999334
23.8	-0.0609848	0.077371	0.0985161
24	-0.060614	0.0759201	0.097149
24.2	-0.0602608	0.0745133	0.0958311
24.4	-0.0599239	0.0731503	0.0945613
24.6	-0.059602	0.0718309	0.0933385
24.8	-0.0592938	0.0705546	0.0921613
25	-0.0589979	0.069321	0.0910283
25.2	-0.0587133	0.0681295	0.0899382
25.4	-0.0584388	0.0669794	0.0888894
25.6	-0.0581731	0.0658698	0.0878803
25.8	-0.057915	0.0648001	0.0869092
26	-0.0576632	0.0637695	0.0859744
26.2	-0.0574167	0.062777	0.0850742
26.4	-0.0571746	0.0618216	0.0842071
26.6	-0.0569358	0.0609022	0.0833713
26.8	-0.0566994	0.0600177	0.0825648
27	-0.0564642	0.0591671	0.081786
27.2	-0.0562292	0.0583492	0.081033
27.4	-0.0559937	0.0575628	0.0803042
27.6	-0.0557568	0.0568068	0.0795979
27.8	-0.055518	0.0560799	0.0789126
28	-0.0552766	0.0553808	0.0782466
28.2	-0.055032	0.0547081	0.0775983
28.4	-0.0547836	0.0540605	0.0769661
28.6	-0.0545309	0.0534367	0.0763485
28.8	-0.0542732	0.0528353	0.075744
29	-0.0540102	0.0522551	0.0751512
29.2	-0.0537417	0.0516947	0.0745688
29.4	-0.0534674	0.0511528	0.0739957
29.6	-0.0531872	0.050628	0.0734307
29.8	-0.052901	0.050119	0.0728727
30	-0.0526089	0.0496245	0.0723208
30.2	-0.052311	0.0491433	0.0717739
30.4	-0.0520072	0.048674	0.0712314
30.6	-0.0516979	0.0482153	0.0706922
30.8	-0.0513831	0.0477661	0.0701557
31	-0.0510632	0.0473252	0.0696213
31.2	-0.0507386	0.0468915	0.0690885
31.4	-0.0504096	0.0464638	0.0685566
31.6	-0.0500766	0.0460412	0.0680254
31.8	-0.0497403	0.0456226	0.0674946
32	-0.0494013	0.0452072	0.066964
32.2	-0.0490601	0.0447942	0.0664335
32.4	-0.0487174	0.0443827	0.065903
32.6	-0.0483741	0.043972	0.0653727
32.8	-0.0480307	0.0435616	0.0648426
33	-0.0476882	0.0431507	0.0643129
33.2	-0.0473473	0.0427391	0.063784
33.4	-0.0470089	0.0423261	0.0632562
33.6	-0.0466738	0.0419116	0.0627298
33.8	-0.0463428	0.0414952	0.0622054
34	-0.0460168	0.0410768	0.0616834
34.2	-0.0456964	0.0406562	0.0611645
34.4	-0.0453826	0.0402335	0.0606491
34.6	-0.045076	0.0398087	0.060138
34.8	-0.0447774	0.0393821	0.0596319
35	-0.0444876	0.0389538	0.0591316
35.2	-0.0442072	0.0385242	0.0586377
35.4	-0.0439368	0.0380936	0.0581512
35.6	-0.0436771	0.0376626	0.0576729
35.8	-0.0434287	0.0372316	0.0572035
36	-0.043192	0.0368013	0.056744
36.2	-0.0429676	0.0363721	0.0562952
36.4	-0.0427558	0.0359449	0.0558578
36.6	-0.0425569	0.0355202	0.0554326
36.8	-0.042371	0.0350987	0.0550202
37	-0.0421984	0.0346813	0.0546214
37.2	-0.0420389	0.0342686	0.0542366
37.4	-0.0418926	0.0338616	0.0538665
37.6	-0.0417593	0.033461	0.0535115
37.8	-0.0416389	0.0330676	0.0531721
38	-0.0415312	0.0326823	0.0528486
38.2	-0.0414359	0.0323058	0.0525414
38.4	-0.0413526	0.0319389	0.0522506
38.6	-0.0412809	0.0315823	0.0519765
38.8	-0.0412203	0.0312367	0.0517188
39	-0.0411701	0.0309027	0.0514777
39.2	-0.0411299	0.0305809	0.0512529
39.4	-0.0410988	0.0302719	0.0510441
39.6	-0.0410761	0.0299761	0.0508509
39.8	-0.041061	0.029694	0.0506729
40	-0.0410527	0.0294258	0.0505094
40.2	-0.0410501	0.0291719	0.0503598
40.4	-0.0410526	0.0289325	0.0502236
40.6	-0.0410591	0.0287078	0.0500998
40.8	-0.0410688	0.0284978	0.0499877
41	-0.0410808	0.0283026	0.0498865
41.2	-0.0410941	0.0281219	0.0497952
41.4	-0.0411079	0.0279557	0.049713
41.6	-0.0411213	0.0278037	0.0496387
41.8	-0.0411334	0.0276656	0.0495716
42	-0.0411435	0.0275409	0.0495105
42.2	-0.0411506	0.0274293	0.0494544
42.4	-0.0411542	0.0273301	0.0494024
42.6	-0.0411534	0.0272428	0.0493536
42.8	-0.0411476	0.0271668	0.0493068
43	-0.0411363	0.0271012	0.0492612
43.2	-0.0411188	0.0270454	0.049216
43.4	-0.0410948	0.0269986	0.0491701
43.6	-0.0410637	0.0269598	0.0491229
43.8	-0.0410254	0.0269283	0.0490736
44	-0.0409794	0.0269032	0.0490214
44.2	-0.0409257	0.0268835	0.0489657
44.4	-0.0408642	0.0268683	0.0489059
44.6	-0.0407947	0.0268567	0.0488415
44.8	-0.0407173	0.0268478	0.0487719
45	-0.0406321	0.0268407	0.0486969
45.2	-0.0405393	0.0268346	0.0486161
45.4	-0.0404391	0.0268284	0.0485292
45.6	-0.0403319	0.0268214	0.0484361
45.8	-0.040218	0.0268129	0.0483365
46	-0.0400978	0.026802	0.0482306
46.2	-0.0399719	0.0267881	0.0481181
46.4	-0.0398407	0.0267705	0.0479994
46.6	-0.0397047	0.0267486	0.0478744
46.8	-0.0395647	0.0267219	0.0477434
47	-0.0394213	0.0266899	0.0476066
47.2	-0.0392751	0.0266522	0.0474644
47.4	-0.0391267	0.0266085	0.0473172
47.6	-0.038977	0.0265585	0.0471652
47.8	-0.0388266	0.026502	0.0470091
48	-0.0386762	0.0264388	0.0468493
48.2	-0.0385266	0.026369	0.0466864
48.4	-0.0383783	0.0262926	0.0465209
48.6	-0.0382322	0.0262096	0.0463535
48.8	-0.0380888	0.0261202	0.0461847
49	-0.0379488	0.0260246	0.0460152
49.2	-0.0378129	0.0259231	0.0458456
