# Time	Value
50.2	-0.0372112
50.4	-0.0371096
50.6	-0.0370149
50.8	-0.0369275
51	-0.0368474
51.2	-0.0367748
51.4	-0.0367098
51.6	-0.0366522
51.8	-0.0366021
52	-0.0365592
52.2	-0.0365235
52.4	-0.0364946
52.6	-0.0364722
52.8	-0.0364561
53	-0.0364459
53.2	-0.0364411
53.4	-0.0364412
53.6	-0.0364458
53.8	-0.0364544
54	-0.0364664
54.2	-0.0364813
54.4	-0.0364985
54.6	-0.0365175
54.8	-0.0365377
55	-0.0365585
55.2	-0.0365794
55.4	-0.0365998
55.6	-0.0366193
55.8	-0.0366373
56	-0.0366534
56.2	-0.0366672
56.4	-0.0366782
56.6	-0.0366862
56.8	-0.0366907
57	-0.0366916
57.2	-0.0366885
57.4	-0.0366814
57.6	-0.0366701
57.8	-0.0366544
58	-0.0366344
58.2	-0.0366101
58.4	-0.0365815
58.6	-0.0365486
58.8	-0.0365118
59	-0.036471
59.2	-0.0364265
59.4	-0.0363787
59.6	-0.0363277
59.8	-0.0362738
60	-0.0362174
60.2	-0.0361589
60.4	-0.0360985
60.6	-0.0360367
60.8	-0.0359739
61	-0.0359105
61.2	-0.0358468
61.4	-0.0357833
61.6	-0.0357203
61.8	-0.0356583
62	-0.0355975
62.2	-0.0355385
62.4	-0.0354814
62.6	-0.0354266
62.8	-0.0353744
63	-0.0353251
63.2	-0.0352788
63.4	-0.0352359
63.6	-0.0351965
63.8	-0.0351607
64	-0.0351287
64.2	-0.0351005
64.4	-0.0350761
64.6	-0.0350556
64.8	-0.035039
65	-0.0350262
65.2	-0.0350171
65.4	-0.0350116
65.6	-0.0350096
65.8	-0.0350108
66	-0.0350151
66.2	-0.0350223
66.4	-0.0350321
66.6	-0.0350443
66.8	-0.0350585
67	-0.0350746
67.2	-0.0350922
67.4	-0.035111
67.6	-0.0351307
67.8	-0.035151
68	-0.0351716
68.2	-0.0351923
68.4	-0.0352127
68.6	-0.0352325
68.8	-0.0352515
69	-0.0352695
69.2	-0.0352862
69.4	-0.0353014
69.6	-0.0353149
69.8	-0.0353266
70	-0.0353363
70.2	-0.0353439
70.4	-0.0353493
70.6	-0.0353525
70.8	-0.0353534
71	-0.0353521
71.2	-0.0353484
71.4	-0.0353424
71.6	-0.0353343
71.8	-0.0353241
72	-0.0353118
72.2	-0.0352976
72.4	-0.0352817
72.6	-0.0352642
72.8	-0.0352452
73	-0.0352249
73.2	-0.0352036
73.4	-0.0351814
73.6	-0.0351585
73.8	-0.0351351
74	-0.0351115
74.2	-0.0350878
74.4	-0.0350642
74.6	-0.0350409
74.8	-0.0350182
75	-0.0349961
75.2	-0.034975
75.4	-0.0349549
75.6	-0.034936
75.8	-0.0349185
76	-0.0349024
76.2	-0.0348879
76.4	-0.034875
76.6	-0.0348639
76.8	-0.0348547
77	-0.0348472
77.2	-0.0348417
77.4	-0.0348381
77.6	-0.0348363
77.8	-0.0348364
78	-0.0348383
78.2	-0.0348419
78.4	-0.0348472
78.6	-0.0348542
78.8	-0.0348626
79	-0.0348725
79.2	-0.0348836
79.4	-0.0348958
79.6	-0.0349091
79.8	-0.0349232
80	-0.034938
80.2	-0.0349534
80.4	-0.0349693
80.6	-0.0349854
80.8	-0.0350016
81	-0.0350177
81.2	-0.0350337
81.4	-0.0350494
81.6	-0.0350647
81.8	-0.0350794
82	-0.0350934
82.2	-0.0351066
82.4	-0.0351189
82.6	-0.0351303
82.8	-0.0351407
83	-0.03515
83.2	-0.0351582
83.4	-0.0351652
83.6	-0.0351711
83.8	-0.0351758
84	-0.0351793
84.2	-0.0351816
84.4	-0.0351829
84.6	-0.0351831
84.8	-0.0351822
85	-0.0351804
85.2	-0.0351777
85.4	-0.0351741
85.6	-0.0351699
85.8	-0.0351649
86	-0.0351595
86.2	-0.0351535
86.4	-0.0351472
86.6	-0.0351407
86.8	-0.0351339
87	-0.0351272
87.2	-0.0351204
87.4	-0.0351139
87.6	-0.0351075
87.8	-0.0351015
88	-0.0350959
88.2	-0.0350907
88.4	-0.0350862
88.6	-0.0350822
88.8	-0.035079
89	-0.0350765
89.2	-0.0350748
89.4	-0.0350739
89.6	-0.0350738
89.8	-0.0350747
90	-0.0350764
90.2	-0.0350789
90.4	-0.0350824
90.6	-0.0350867
90.8	-0.0350918
91	-0.0350978
91.2	-0.0351045
91.4	-0.0351119
91.6	-0.0351201
91.8	-0.0351288
92	-0.0351381
92.2	-0.0351479
92.4	-0.0351582
92.6	-0.0351688
92.8	-0.0351797
93	-0.0351908
93.2	-0.0352021
93.4	-0.0352135
93.6	-0.0352248
93.8	-0.0352361
94	-0.0352473
94.2	-0.0352582
94.4	-0.035269
94.6	-0.0352794
94.8	-0.0352894
95	-0.035299
95.2	-0.0353082
95.4	-0.0353169
95.6	-0.035325
95.8	-0.0353326
96	-0.0353397
96.2	-0.0353462
96.4	-0.0353521
96.6	-0.0353574
96.8	-0.0353621
97	-0.0353663
97.2	-0.0353699
97.4	-0.035373
97.6	-0.0353755
97.8	-0.0353777
98	-0.0353793
98.2	-0.0353806
98.4	-0.0353815
98.6	-0.0353821
98.8	-0.0353825
99	-0.0353826
99.2	-0.0353825
99.4	-0.0353823
99.6	-0.035382
99.8	-0.0353817
100	-0.0353815
100.2	-0.0353812
100.4	-0.0353811
100.6	-0.0353812
100.8	-0.0353814
101	-0.0353818
101.2	-0.0353825
101.4	-0.0353835
101.6	-0.0353848
101.8	-0.0353865
102	-0.0353885
102.2	-0.0353909
102.4	-0.0353936
102.6	-0.0353968
102.8	-0.0354003
103	-0.0354043
103.2	-0.0354086
103.4	-0.0354133
103.6	-0.0354184
103.8	-0.0354238
104	-0.0354296
104.2	-0.0354356
104.4	-0.035442
104.6	-0.0354486
104.8	-0.0354555
105	-0.0354626
105.2	-0.0354698
105.4	-0.0354772
