# Frequency	Magnitude
0	3.13741e-18
0.00488281	0.000222096
0.00976563	7.29248e-05
0.0146484	8.80904e-05
0.0195313	6.05144e-05
0.0244141	3.05328e-05
0.0292969	4.1063e-05
0.0341797	4.73801e-05
0.0390625	3.70332e-05
0.0439453	3.24963e-05
0.0488281	4.5386e-05
0.0537109	5.14382e-05
0.0585938	4.81144e-05
0.0634766	5.46643e-05
0.0683594	7.08258e-05
0.0732422	8.02605e-05
0.078125	8.9376e-05
0.0830078	0.000114895
0.0878906	0.000149152
0.0927734	0.000177342
0.0976563	0.000185856
0.102539	0.000159296
0.107422	0.000119746
0.112305	9.44849e-05
0.117188	8.15595e-05
0.12207	6.79575e-05
0.126953	5.57327e-05
0.131836	5.14996e-05
0.136719	4.86146e-05
0.141602	4.14824e-05
0.146484	3.61599e-05
0.151367	3.61723e-05
0.15625	3.44364e-05
0.161133	2.93007e-05
0.166016	2.73036e-05
0.170898	2.90154e-05
0.175781	2.83641e-05
0.180664	2.58979e-05
0.185547	2.72364e-05
0.19043	2.99088e-05
0.195313	2.80153e-05
0.200195	2.49446e-05
0.205078	2.55676e-05
0.209961	2.5489e-05
0.214844	2.22818e-05
0.219727	2.06323e-05
0.224609	2.19707e-05
0.229492	2.13073e-05
0.234375	1.85031e-05
0.239258	1.82768e-05
0.244141	1.96016e-05
0.249023	1.82802e-05
0.253906	1.60618e-05
0.258789	1.68094e-05
0.263672	1.76849e-05
0.268555	1.59145e-05
0.273438	1.45382e-05
0.27832	1.58369e-05
0.283203	1.60524e-05
0.288086	1.40618e-05
0.292969	1.3562e-05
0.297852	1.49172e-05
0.302734	1.4419e-05
0.307617	1.25626e-05
0.3125	1.28936e-05
0.317383	1.3982e-05
0.322266	1.29012e-05
0.327148	1.14842e-05
0.332031	1.24057e-05
0.336914	1.30088e-05
0.341797	1.15649e-05
0.34668	1.07956e-05
0.351563	1.19797e-05
0.356445	1.19946e-05
0.361328	1.04452e-05
0.366211	1.03785e-05
0.371094	1.15105e-05
0.375977	1.09785e-05
0.380859	9.62152e-06
0.385742	1.01761e-05
0.390625	1.10145e-05
0.395508	1.00348e-05
0.400391	9.08039e-06
0.405273	1.00095e-05
0.410156	1.03746e-05
0.415039	9.13571e-06
0.419922	8.74557e-06
0.424805	9.79734e-06
0.429688	9.66327e-06
0.43457	8.41016e-06
0.439453	8.59687e-06
0.444336	9.51486e-06
0.449219	8.92178e-06
0.454102	7.88721e-06
0.458984	8.53073e-06
0.463867	9.12428e-06
0.46875	8.19071e-06
0.473633	7.56084e-06
0.478516	8.454e-06
0.483398	8.63073e-06
0.488281	7.54986e-06
0.493164	7.42574e-06
0.498047	8.3384e-06
0.50293	8.07599e-06
0.507813	7.04325e-06
0.512695	7.38778e-06
0.517578	8.11264e-06
0.522461	7.4794e-06
0.527344	6.70349e-06
0.532227	7.39014e-06
0.537109	7.79439e-06
0.541992	6.91563e-06
0.546875	6.53566e-06
0.551758	7.36815e-06
0.556641	7.3898e-06
0.561523	6.43838e-06
0.566406	6.50459e-06
0.571289	7.28329e-06
0.576172	6.92839e-06
0.581055	6.0862e-06
0.585938	6.53614e-06
0.59082	7.09624e-06
0.595703	6.44136e-06
0.600586	5.87747e-06
0.605469	6.57085e-06
0.610352	6.81435e-06
0.615234	5.98959e-06
0.620117	5.80703e-06
0.625	6.56437e-06
0.629883	6.45834e-06
0.634766	5.62469e-06
0.639648	5.83159e-06
0.644531	6.4791e-06
0.649414	6.05089e-06
0.654297	5.37504e-06
0.65918	5.88988e-06
0.664063	6.30422e-06
0.668945	5.64548e-06
0.673828	5.26481e-06
0.678711	5.94272e-06
0.683594	6.05117e-06
0.688477	5.28556e-06
0.693359	5.26161e-06
0.698242	5.93466e-06
0.703125	5.72601e-06
0.708008	5.00805e-06
0.712891	5.32101e-06
0.717773	5.84858e-06
0.722656	5.3718e-06
0.727539	4.84895e-06
0.732422	5.39879e-06
0.737305	5.68085e-06
0.742188	5.0278e-06
0.74707	4.80295e-06
0.751953	5.44398e-06
0.756836	5.4343e-06
0.761719	4.73358e-06
0.766602	4.83941e-06
0.771484	5.42529e-06
0.776367	5.13553e-06
0.78125	4.53088e-06
0.786133	4.91934e-06
0.791016	5.33094e-06
0.795898	4.81937e-06
0.800781	4.43517e-06
0.805664	4.99477e-06
0.810547	5.15852e-06
0.81543	4.52567e-06
0.820313	4.43726e-06
0.825195	5.03023e-06
0.830078	4.92304e-06
0.834961	4.29504e-06
0.839844	4.50477e-06
0.844727	5.00208e-06
0.849609	4.65022e-06
0.854492	4.15736e-06
0.859375	4.59638e-06
0.864258	4.9007e-06
0.869141	4.37182e-06
0.874023	4.11598e-06
0.878906	4.66683e-06
0.883789	4.72559e-06
0.888672	4.12421e-06
0.893555	4.15291e-06
0.898438	4.68732e-06
0.90332	4.49696e-06
0.908203	3.94634e-06
0.913086	4.23659e-06
0.917969	4.64337e-06
0.922852	4.24301e-06
0.927734	3.8584e-06
0.932617	4.3252e-06
0.9375	4.52772e-06
0.942383	3.99503e-06
0.947266	3.85669e-06
0.952148	4.38382e-06
0.957031	4.35092e-06
0.961914	3.7927e-06
0.966797	3.92093e-06
0.97168	4.39041e-06
0.976563	4.13199e-06
0.981445	3.6633e-06
0.986328	4.0127e-06
0.991211	4.33066e-06
0.996094	3.89791e-06
1.00098	3.61914e-06
1.00586	4.09627e-06
1.01074	4.2068e-06
1.01563	3.68476e-06
1.02051	3.65268e-06
1.02539	4.14386e-06
1.03027	4.03061e-06
1.03516	3.52426e-06
1.04004	3.73423e-06
1.04492	4.13387e-06
1.0498	3.82081e-06
1.05469	3.4376e-06
1.05957	3.82766e-06
1.06445	4.05941e-06
1.06934	3.6076e-06
1.07422	3.43002e-06
1.0791	3.901e-06
1.08398	3.92568e-06
1.08887	3.42481e-06
1.09375	3.48644e-06
1.09863	3.93109e-06
1.10352	3.74791e-06
1.1084	3.30142e-06
1.11328	3.57656e-06
1.11816	3.90382e-06
1.12305	3.54923e-06
1.12793	3.25341e-06
1.13281	3.66713e-06
1.1377	3.81673e-06
1.14258	3.35945e-06
1.14746	3.27751e-06
1.15234	3.72944e-06
1.15723	3.6771e-06
1.16211	3.20883e-06
1.16699	3.35166e-06
1.17188	3.74275e-06
1.17676	3.50096e-06
1.18164	3.121e-06
1.18652	3.44516e-06
1.19141	3.69905e-06
1.19629	3.31509e-06
1.20117	3.10654e-06
1.20605	3.52841e-06
1.21094	3.59975e-06
1.21582	3.14841e-06
1.2207	3.15443e-06
1.22559	3.57568e-06
1.23047	3.4542e-06
1.23535	3.02821e-06
1.24023	3.23934e-06
1.24512	3.57193e-06
1.25	3.2826e-06
1.25488	2.97416e-06
1.25977	3.33194e-06
1.26465	3.51278e-06
1.26953	3.11114e-06
1.27441	2.98785e-06
1.2793	3.40402e-06
1.28418	3.40229e-06
1.28906	2.96844e-06
1.29395	3.05388e-06
1.29883	3.4359e-06
1.30371	3.25458e-06
1.30859	2.87963e-06
1.31348	3.14572e-06
1.31836	3.41651e-06
1.32324	3.0905e-06
1.32813	2.8567e-06
1.33301	3.2337e-06
1.33789	3.34342e-06
1.34277	2.93591e-06
1.34766	2.89442e-06
1.35254	3.29324e-06
1.35742	3.22428e-06
1.3623	2.81821e-06
1.36719	2.9731e-06
1.37207	3.30846e-06
1.37695	3.07564e-06
1.38184	2.7584e-06
1.38672	3.06579e-06
1.3916	3.27251e-06
1.39648	2.92031e-06
1.40137	2.7624e-06
1.40625	3.14534e-06
1.41113	3.1867e-06
1.41602	2.78446e-06
1.4209	2.81943e-06
1.42578	3.19099e-06
1.43066	3.0616e-06
1.43555	2.693e-06
1.44043	2.90665e-06
1.44531	3.1903e-06
1.4502	2.91537e-06
1.45508	2.66124e-06
1.45996	2.99677e-06
1.46484	3.13907e-06
1.46973	2.7715e-06
1.47461	2.68894e-06
1.47949	3.06595e-06
1.48438	3.04283e-06
1.48926	2.65647e-06
1.49414	2.76097e-06
1.49902	3.09698e-06
1.50391	2.91413e-06
1.50879	2.59118e-06
1.51367	2.85207e-06
1.51855	3.08015e-06
1.52344	2.77245e-06
1.52832	2.58517e-06
1.5332	2.93634e-06
1.53809	3.01501e-06
1.54297	2.64253e-06
1.54785	2.63271e-06
1.55273	2.99301e-06
1.55762	2.90966e-06
1.5625	2.54888e-06
1.56738	2.71448e-06
1.57227	3.00805e-06
1.57715	2.77927e-06
1.58203	2.50898e-06
1.58691	2.80547e-06
1.5918	2.97585e-06
1.59668	2.64518e-06
1.60156	2.52661e-06
1.60645	2.8817e-06
1.61133	2.89873e-06
1.61621	2.53174e-06
1.62109	2.59034e-06
1.62598	2.92485e-06
1.63086	2.78687e-06
1.63574	2.46089e-06
1.64063	2.67824e-06
1.64551	2.92425e-06
1.65039	2.65761e-06
1.65527	2.44541e-06
1.66016	2.76582e-06
1.66504	2.8775e-06
1.66992	2.53356e-06
1.6748	2.48353e-06
1.67969	2.83166e-06
1.68457	2.78987e-06
1.68945	2.43831e-06
1.69434	2.55934e-06
1.69922	2.86029e-06
1.7041	2.67372e-06
1.70898	2.39059e-06
1.71387	2.64956e-06
1.71875	2.84426e-06
1.72363	2.54831e-06
1.72852	2.39799e-06
1.7334	2.73096e-06
1.73828	2.78414e-06
1.74316	2.4367e-06
1.74805	2.45315e-06
1.75293	2.78453e-06
1.75781	2.68771e-06
1.7627	2.36111e-06
1.76758	2.53721e-06
1.77246	2.79834e-06
1.77734	2.57007e-06
1.78223	2.33666e-06
1.78711	2.62672e-06
1.79199	2.76779e-06
1.79688	2.45146e-06
1.80176	2.36495e-06
1.80664	2.69972e-06
1.81152	2.69578e-06
1.81641	2.35467e-06
1.82129	2.43385e-06
