# Time	Value
50.2	-0.0531445
50.4	-0.0531482
50.6	-0.053152
50.8	-0.0531559
51	-0.05316
51.2	-0.0531641
51.4	-0.0531684
51.6	-0.0531727
51.8	-0.0531771
52	-0.0531816
52.2	-0.0531861
52.4	-0.0531907
52.6	-0.0531953
52.8	-0.0531999
53	-0.0532045
53.2	-0.0532092
53.4	-0.0532138
53.6	-0.0532184
53.8	-0.0532229
54	-0.0532274
54.2	-0.0532318
54.4	-0.0532362
54.6	-0.0532405
54.8	-0.0532447
55	-0.0532488
55.2	-0.0532529
55.4	-0.0532568
55.6	-0.0532607
55.8	-0.0532645
56	-0.0532682
56.2	-0.0532718
56.4	-0.0532753
56.6	-0.0532788
56.8	-0.0532821
57	-0.0532854
57.2	-0.0532886
57.4	-0.0532918
57.6	-0.0532949
57.8	-0.053298
58	-0.053301
58.2	-0.053304
58.4	-0.0533069
58.6	-0.0533098
58.8	-0.0533127
59	-0.0533155
59.2	-0.0533184
59.4	-0.0533212
59.6	-0.053324
59.8	-0.0533268
60	-0.0533296
60.2	-0.0533323
60.4	-0.0533351
60.6	-0.0533378
60.8	-0.0533406
61	-0.0533433
61.2	-0.053346
61.4	-0.0533487
61.6	-0.0533514
61.8	-0.053354
62	-0.0533567
62.2	-0.0533593
62.4	-0.0533619
62.6	-0.0533645
62.8	-0.053367
63	-0.0533695
63.2	-0.053372
63.4	-0.0533744
63.6	-0.0533768
63.8	-0.0533791
64	-0.0533815
64.2	-0.0533837
64.4	-0.053386
64.6	-0.0533882
64.8	-0.0533903
65	-0.0533924
65.2	-0.0533945
65.4	-0.0533965
65.6	-0.0533985
65.8	-0.0534005
66	-0.0534024
66.2	-0.0534042
66.4	-0.0534061
66.6	-0.0534079
66.8	-0.0534097
67	-0.0534114
67.2	-0.0534131
67.4	-0.0534148
67.6	-0.0534165
67.8	-0.0534181
68	-0.0534197
68.2	-0.0534213
68.4	-0.0534229
68.6	-0.0534244
68.8	-0.0534259
69	-0.0534274
69.2	-0.0534289
69.4	-0.0534304
69.6	-0.0534319
69.8	-0.0534333
70	-0.0534347
70.2	-0.0534361
70.4	-0.0534375
70.6	-0.0534389
70.8	-0.0534402
71	-0.0534416
71.2	-0.0534429
71.4	-0.0534442
71.6	-0.0534455
71.8	-0.0534468
72	-0.053448
72.2	-0.0534493
72.4	-0.0534505
72.6	-0.0534517
72.8	-0.0534529
73	-0.053454
73.2	-0.0534552
73.4	-0.0534563
73.6	-0.0534574
73.8	-0.0534585
74	-0.0534595
74.2	-0.0534606
74.4	-0.0534616
74.6	-0.0534626
74.8	-0.0534636
75	-0.0534646
75.2	-0.0534655
75.4	-0.0534665
75.6	-0.0534674
75.8	-0.0534683
76	-0.0534692
76.2	-0.0534701
76.4	-0.0534709
76.6	-0.0534718
76.8	-0.0534726
