# Time	Value
50.2	-0.0388224
50.4	-0.0415317
50.6	-0.0440632
50.8	-0.0463959
51	-0.0485101
51.2	-0.0503875
51.4	-0.0520113
51.6	-0.0533669
51.8	-0.0544416
52	-0.0552252
52.2	-0.05571
52.4	-0.0558913
52.6	-0.0557674
52.8	-0.0553402
53	-0.0546148
53.2	-0.0536
53.4	-0.052308
53.6	-0.0507545
53.8	-0.0489584
54	-0.0469414
54.2	-0.0447277
54.4	-0.042343
54.6	-0.0398145
54.8	-0.0371699
55	-0.0344366
55.2	-0.0316413
55.4	-0.028809
55.6	-0.0259633
55.8	-0.0231251
56	-0.0203133
56.2	-0.0175442
56.4	-0.0148315
56.6	-0.0121872
56.8	-0.00962083
57	-0.00714072
57.2	-0.00475376
57.4	-0.00246607
57.6	-0.000283464
57.8	0.00178803
58	0.00374342
58.2	0.00557816
58.4	0.00728764
58.6	0.00886589
58.8	0.0103071
59	0.0116032
59.2	0.0127468
59.4	0.0137282
59.6	0.0145384
59.8	0.015167
60	0.0156036
60.2	0.0158383
60.4	0.0158613
60.6	0.0156637
60.8	0.0152378
61	0.0145773
61.2	0.0136781
61.4	0.0125388
61.6	0.0111607
61.8	0.00954834
62	0.00770976
62.2	0.00565664
62.4	0.00340358
62.6	0.000969424
62.8	-0.00162478
63	-0.00434685
63.2	-0.00716679
63.4	-0.0100526
63.6	-0.0129702
63.8	-0.0158844
64	-0.0187596
64.2	-0.0215604
64.4	-0.0242521
64.6	-0.0268012
64.8	-0.0291764
65	-0.0313486
65.2	-0.0332923
65.4	-0.0349849
65.6	-0.0364082
65.8	-0.0375481
66	-0.0383951
66.2	-0.0389448
66.4	-0.0391972
66.6	-0.0391577
66.8	-0.0388364
67	-0.038248
67.2	-0.037411
67.4	-0.0363478
67.6	-0.0350833
67.8	-0.0336449
68	-0.0320613
68.2	-0.0303622
68.4	-0.028577
68.6	-0.0267345
68.8	-0.024862
69	-0.0229843
69.2	-0.0211239
69.4	-0.0192997
69.6	-0.0175272
69.8	-0.0158186
70	-0.0141822
70.2	-0.0126233
70.4	-0.0111443
70.6	-0.00974479
70.8	-0.00842286
71	-0.00717521
71.2	-0.00599748
71.4	-0.00488593
71.6	-0.00383645
71.8	-0.0028466
72	-0.00191481
72.2	-0.00104134
72.4	-0.000227529
72.6	0.000523223
72.8	0.0012063
73	0.00181446
73.2	0.00234179
73.4	0.00278046
73.6	0.00312186
73.8	0.00335629
74	0.00347598
74.2	0.00347335
74.4	0.00334109
74.6	0.00307297
74.8	0.00266353
75	0.00210794
75.2	0.0014049
75.4	0.000554021
75.6	-0.000443023
75.8	-0.00158195
76	-0.002855
76.2	-0.00425072
76.4	-0.00575735
76.6	-0.00735569
76.8	-0.00902767
77	-0.0107527
77.2	-0.0125051
77.4	-0.01426
77.6	-0.0159915
77.8	-0.0176731
78	-0.0192781
78.2	-0.0207835
78.4	-0.022165
78.6	-0.0234011
78.8	-0.0244735
79	-0.0253663
79.2	-0.0260673
79.4	-0.0265681
79.6	-0.0268641
79.8	-0.0269552
80	-0.0268451
80.2	-0.0265419
80.4	-0.0260574
80.6	-0.025407
80.8	-0.024609
81	-0.0236842
81.2	-0.0226548
81.4	-0.0215444
81.6	-0.0203765
81.8	-0.0191746
82	-0.0179607
82.2	-0.0167554
82.4	-0.015577
82.6	-0.0144415
82.8	-0.0133616
83	-0.0123474
83.2	-0.0114057
83.4	-0.0105403
83.6	-0.00975226
83.8	-0.00904007
84	-0.0084002
84.2	-0.00782725
84.4	-0.00731514
84.6	-0.00685701
84.8	-0.00644569
85	-0.00607505
85.2	-0.00573981
85.4	-0.00543608
85.6	-0.00516147
85.8	-0.00491554
86	-0.00469905
86.2	-0.00451473
86.4	-0.00436646
86.6	-0.00425928
86.8	-0.00419863
87	-0.0041905
87.2	-0.0042406
87.4	-0.00435444
87.6	-0.00453684
87.8	-0.00479133
88	-0.00512132
88.2	-0.00552857
88.4	-0.00601372
88.6	-0.00657581
88.8	-0.00721228
89	-0.00791998
89.2	-0.00869253
89.4	-0.00952239
89.6	-0.0104007
89.8	-0.0113166
90	-0.0122581
90.2	-0.0132118
90.4	-0.0141628
90.6	-0.0150955
90.8	-0.0159941
91	-0.0168421
91.2	-0.0176237
91.4	-0.0183252
91.6	-0.0189332
91.8	-0.0194361
92	-0.0198246
92.2	-0.0200916
92.4	-0.0202328
92.6	-0.0202464
92.8	-0.0201336
93	-0.0198983
93.2	-0.019547
93.4	-0.0190892
93.6	-0.0185362
93.8	-0.0179014
94	-0.0171999
94.2	-0.0164478
94.4	-0.0156617
94.6	-0.0148585
94.8	-0.0140544
95	-0.013265
95.2	-0.0125042
95.4	-0.0117843
95.6	-0.0111157
95.8	-0.0105064
96	-0.0099622
96.2	-0.00948658
96.4	-0.00908074
96.6	-0.00874395
96.8	-0.00847341
97	-0.00826471
97.2	-0.00811228
97.4	-0.00800971
97.6	-0.00795012
97.8	-0.00792651
98	-0.00793211
98.2	-0.00796067
98.4	-0.00800697
98.6	-0.00806694
98.8	-0.00813782
99	-0.00821825
99.2	-0.00830817
99.4	-0.00840874
99.6	-0.00852186
99.8	-0.00865044
100	-0.00879794
100.2	-0.00896794
100.4	-0.00916387
100.6	-0.00938881
100.8	-0.00964537
101	-0.00993527
101.2	-0.0102592
101.4	-0.0106171
101.6	-0.0110078
101.8	-0.0114287
102	-0.0118764
102.2	-0.0123463
102.4	-0.0128328
102.6	-0.0133293
102.8	-0.0138284
103	-0.014322
103.2	-0.0148013
103.4	-0.0152572
103.6	-0.0156804
103.8	-0.0160618
104	-0.0163933
104.2	-0.016667
104.4	-0.0168758
104.6	-0.0170141
104.8	-0.0170776
105	-0.0170637
105.2	-0.0169713
105.4	-0.0168014
105.6	-0.0165564
105.8	-0.0162409
106	-0.0158609
106.2	-0.0154239
106.4	-0.0149387
106.6	-0.0144155
106.8	-0.0138649
107	-0.0132984
107.2	-0.0127274
107.4	-0.0121633
107.6	-0.0116172
107.8	-0.0110993
108	-0.0106187
108.2	-0.0101833
108.4	-0.00979967
108.6	-0.00947251
108.8	-0.00920502
109	-0.00899872
109.2	-0.0088534
109.4	-0.00876723
109.6	-0.00873707
109.8	-0.00875868
110	-0.00882694
110.2	-0.00893595
110.4	-0.00907927
110.6	-0.00925037
110.8	-0.00944294
111	-0.00965107
111.2	-0.00986943
111.4	-0.0100933
111.6	-0.010319
111.8	-0.0105436
112	-0.0107654
112.2	-0.0109834
112.4	-0.0111976
112.6	-0.0114085
112.8	-0.0116174
113	-0.0118259
113.2	-0.0120357
113.4	-0.0122485
113.6	-0.0124657
113.8	-0.0126887
114	-0.012918
114.2	-0.0131537
114.4	-0.0133953
114.6	-0.0136414
114.8	-0.01389
115	-0.0141384
115.2	-0.0143832
115.4	-0.0146207
115.6	-0.0148464
115.8	-0.0150556
116	-0.0152435
116.2	-0.0154049
116.4	-0.0155352
116.6	-0.0156301
116.8	-0.0156855
117	-0.0156978
117.2	-0.0156643
117.4	-0.0155834
117.6	-0.0154544
117.8	-0.0152775
118	-0.0150543
118.2	-0.0147872
118.4	-0.0144801
118.6	-0.0141376
118.8	-0.0137655
119	-0.0133702
119.2	-0.0129589
119.4	-0.0125392
119.6	-0.012119
119.8	-0.0117062
120	-0.0113086
120.2	-0.0109337
120.4	-0.0105883
120.6	-0.0102786
120.8	-0.0100099
121	-0.00978606
121.2	-0.00961035
121.4	-0.00948474
121.6	-0.00941003
121.8	-0.00938579
122	-0.00941035
122.2	-0.00948101
122.4	-0.00959419
122.6	-0.0097456
122.8	-0.00993044
123	-0.0101435
123.2	-0.0103794
123.4	-0.0106324
123.6	-0.0108971
123.8	-0.0111685
124	-0.0114416
124.2	-0.0117127
124.4	-0.0119781
124.6	-0.0122353
124.8	-0.0124821
125	-0.0127171
125.2	-0.0129394
125.4	-0.013149
125.6	-0.0133459
125.8	-0.0135309
126	-0.0137046
126.2	-0.013868
126.4	-0.0140219
126.6	-0.0141669
126.8	-0.0143037
127	-0.0144324
127.2	-0.0145528
127.4	-0.0146643
127.6	-0.0147661
127.8	-0.0148568
128	-0.0149349
128.2	-0.0149986
128.4	-0.0150458
128.6	-0.0150746
128.8	-0.0150825
129	-0.0150676
129.2	-0.0150279
129.4	-0.0149618
129.6	-0.014868
129.8	-0.0147461
130	-0.0145957
130.2	-0.0144175
130.4	-0.0142125
130.6	-0.0139826
130.8	-0.0137304
