# Time	U	V	U_magnitude
0	-8.86017e-29	1.42537e-28	1.6783e-28
0.2	-0.000574747	5.59308e-05	0.000577462
0.4	-0.0105213	4.67519e-05	0.0105214
0.6	-0.0108946	0.000356697	0.0109004
0.8	-0.0070407	0.000960234	0.00710588
1	-0.00643446	0.000475081	0.00645197
1.2	-0.0109964	0.000723381	0.0110201
1.4	-0.0128448	0.00193447	0.0129896
1.6	-0.0108083	0.00237804	0.0110668
1.8	-0.00943491	0.0018945	0.00962323
2	-0.0119105	0.00227046	0.0121249
2.2	-0.0141535	0.00366814	0.0146211
2.4	-0.0134457	0.0046235	0.0142184
2.6	-0.012582	0.00444443	0.0133439
2.8	-0.0139633	0.00471215	0.014737
3	-0.0158586	0.00628378	0.0170581
3.2	-0.0162873	0.00767101	0.0180033
3.4	-0.0160212	0.00791562	0.01787
3.6	-0.016821	0.00829953	0.0187571
3.8	-0.0184451	0.00982903	0.0209005
4	-0.0194156	0.0115223	0.0225772
4.2	-0.0196964	0.0123164	0.0232301
4.4	-0.0203858	0.012925	0.0241378
4.6	-0.0216994	0.0144271	0.0260577
4.8	-0.0228998	0.0163414	0.0281325
5	-0.0236332	0.0176519	0.0294977
5.2	-0.0243452	0.01864	0.0306616
5.4	-0.025453	0.0202213	0.0325078
5.6	-0.0267056	0.0223017	0.034793
5.8	-0.0276846	0.0240982	0.0367036
6	-0.0284821	0.0255622	0.0382709
6.2	-0.0294571	0.0273504	0.0401966
6.4	-0.0306247	0.0296242	0.0426083
6.6	-0.0316834	0.0318632	0.0449344
6.8	-0.0325252	0.0338441	0.0469395
7	-0.0333752	0.0359651	0.0490652
7.2	-0.0343781	0.0384876	0.0516058
7.4	-0.0353589	0.0411328	0.0542417
7.6	-0.0361417	0.0436323	0.0566569
7.8	-0.0368326	0.0461657	0.0590585
8	-0.0375938	0.0489923	0.0617539
8.2	-0.0383559	0.0520145	0.0646273
8.4	-0.0389545	0.0549944	0.0673932
8.6	-0.0394065	0.0579631	0.0700899
8.8	-0.0398454	0.0611241	0.0729645
9	-0.0402708	0.0644947	0.0760349
9.2	-0.0405601	0.0679192	0.0791083
9.4	-0.0406868	0.0713831	0.0821643
9.6	-0.0407464	0.0750828	0.0854265
9.8	-0.0407727	0.0791895	0.0890695
10	-0.0406823	0.083749	0.0931072
10.2	-0.0404118	0.0888471	0.0976059
10.4	-0.0399792	0.0946933	0.102787
10.6	-0.0393777	0.101448	0.108823
10.8	-0.0385089	0.109062	0.11566
11	-0.037272	0.117344	0.123121
11.2	-0.0356472	0.12611	0.131051
11.4	-0.033649	0.135166	0.139292
11.6	-0.0312598	0.144221	0.14757
11.8	-0.0284631	0.152932	0.155558
12	-0.0253051	0.161035	0.163011
12.2	-0.0218706	0.168366	0.169781
12.4	-0.0182213	0.174775	0.175722
12.6	-0.0143977	0.180103	0.180678
12.8	-0.0104651	0.184269	0.184566
13	-0.00651122	0.187283	0.187397
13.2	-0.00259985	0.189192	0.18921
13.4	0.00123823	0.190037	0.190041
13.6	0.00496931	0.189901	0.189966
13.8	0.00854799	0.188932	0.189126
14	0.0119474	0.187297	0.187677
14.2	0.0151735	0.185135	0.185756
14.4	0.0182396	0.182582	0.183491
14.6	0.0211509	0.179789	0.181029
