"velocity_X","Points_Y"
-0.341682,0.05888510.9970540.998052
-0.341647,0.057887
-0.341598,0.0598831
-0.341515,0.0608812
-0.341482,0.056889
-0.341431,0.0618792
-0.341317,0.0558909
-0.341203,0.0628773
-0.341152,0.0548928
-0.340887,0.0638753
-0.340835,0.0538948
-0.340571,0.0648734
-0.340407,0.0528967
-0.340255,0.0658714
-0.339979,0.0518987
-0.339784,0.0668695
-0.339551,0.0509006
-0.339254,0.0678675
-0.338932,0.0499026
-0.338723,0.0688656
-0.338225,0.0489045
-0.338193,0.0698636
-0.337518,0.0479065
-0.337502,0.0708617
-0.33681,0.0469084
-0.336776,0.0718597
-0.336051,0.0728578
-0.335866,0.0459104
-0.335326,0.0738558
-0.334856,0.0449123
-0.33444,0.0748539
-0.333846,0.0439143
-0.333542,0.0758519
-0.332836,0.0429162
-0.332644,0.07685
-0.331741,0.077848
-0.331521,0.0419182
-0.330693,0.0788461
-0.330167,0.0409201
-0.329644,0.0798441
-0.328814,0.0399221
-0.328596,0.0808422
-0.327532,0.0818402
-0.32746,0.038924
-0.326358,0.0828383
-0.32569,0.037926
-0.325184,0.0838364
-0.324011,0.0848344
-0.323915,0.0369279
-0.322814,0.0858325
-0.322139,0.0359299
-0.321539,0.0868305
-0.320315,0.0349318
-0.320264,0.0878286
-0.318989,0.0888266
-0.317976,0.0339338
-0.317689,0.0898247
-0.316338,0.0908227
-0.315637,0.0329357
-0.314987,0.0918208
-0.313636,0.0928188
-0.313298,0.0319377
-0.312262,0.0938169
-0.310859,0.0948149
-0.310808,0.0309396
-0.309455,0.095813
-0.308052,0.096811
-0.307668,0.0299416
-0.306633,0.0978091
-0.3052,0.0988071
-0.304529,0.0289435
-0.303767,0.0998052
-0.302334,0.100803
-0.301389,0.0279455
-0.300895,0.101801
-0.299453,0.102799
-0.29801,0.103797
-0.297915,0.0269474
-0.296568,0.104795
-0.295132,0.105793
-0.293699,0.106792
-0.293621,0.0259493
-0.292266,0.10779
-0.290833,0.108788
-0.28942,0.109786
-0.289328,0.0249513
-0.288012,0.110784
-0.286604,0.111782
-0.285195,0.11278
-0.285034,0.0239532
-0.283822,0.113778
-0.282451,0.114776
-0.28108,0.115774
-0.280108,0.0229552
-0.27971,0.116772
-0.278385,0.11777
-0.27706,0.118768
-0.275735,0.119766
-0.274418,0.120764
-0.274201,0.0219571
-0.273146,0.121762
-0.271874,0.12276
-0.270602,0.123758
-0.269344,0.124756
-0.268294,0.0209591
-0.268128,0.125755
-0.266912,0.126753
-0.265696,0.127751
-0.2645,0.128749
-0.263342,0.129747
-0.262386,0.019961
-0.262184,0.130745
-0.261025,0.131743
-0.259892,0.132741
-0.258789,0.133739
-0.257686,0.134737
-0.256584,0.135735
-0.25551,0.136733
-0.255437,0.018963
-0.254461,0.137731
-0.253411,0.138729
-0.252362,0.139727
-0.251344,0.140725
-0.250344,0.141723
-0.249343,0.142721
-0.248343,0.143719
-0.247417,0.0179649
-0.247376,0.144718
-0.24642,0.145716
-0.245464,0.146714
-0.244507,0.147712
-0.243585,0.14871
-0.242667,0.149708
-0.24175,0.150706
-0.240833,0.151704
-0.239948,0.152702
-0.239396,0.0169669
-0.239064,0.1537
-0.23818,0.154698
-0.237298,0.155696
-0.236442,0.156694
-0.235587,0.157692
-0.234731,0.15869
-0.233879,0.159688
-0.233047,0.160686
-0.232215,0.161684
-0.231384,0.162682
-0.231376,0.0159688
-0.230557,0.16368
-0.229744,0.164679
-0.228931,0.165677
-0.228119,0.166675
-0.227311,0.167673
-0.226514,0.168671
-0.225717,0.169669
-0.22492,0.170667
-0.224129,0.171665
-0.223344,0.172663
-0.222559,0.173661
-0.221866,0.0149708
-0.221775,0.174659
-0.220995,0.175657
-0.22022,0.176655
-0.219445,0.177653
-0.21867,0.178651
-0.2179,0.179649
-0.217133,0.180647
-0.216365,0.181645
-0.215597,0.182643
-0.214834,0.183642
-0.214073,0.18464
-0.213311,0.185638
-0.21255,0.186636
-0.211792,0.187634
-0.211339,0.0139727
-0.211036,0.188632
-0.210279,0.18963
-0.209522,0.190628
-0.20877,0.191626
-0.208017,0.192624
-0.207265,0.193622
-0.206513,0.19462
-0.205764,0.195618
-0.205015,0.196616
-0.204265,0.197614
-0.203517,0.198612
-0.202771,0.19961
-0.202025,0.200608
-0.20128,0.201606
-0.200813,0.0129747
-0.200535,0.202605
-0.199792,0.203603
-0.199049,0.204601
-0.198306,0.205599
-0.197564,0.206597
-0.196825,0.207595
-0.196085,0.208593
-0.195345,0.209591
-0.194606,0.210589
-0.193869,0.211587
-0.193132,0.212585
-0.192395,0.213583
-0.19166,0.214581
-0.190926,0.215579
-0.190287,0.0119766
-0.190192,0.216577
-0.189458,0.217575
-0.188726,0.218573
-0.187996,0.219571
-0.187265,0.220569
-0.186534,0.221568
-0.185806,0.222566
-0.185079,0.223564
-0.184352,0.224562
-0.183625,0.22556
-0.182901,0.226558
-0.182177,0.227556
-0.181454,0.228554
-0.180731,0.229552
-0.180011,0.23055
-0.179291,0.231548
-0.178572,0.232546
-0.177976,0.0109786
-0.177852,0.233544
-0.177137,0.234542
-0.176421,0.23554
-0.175705,0.236538
-0.17499,0.237536
-0.174279,0.238534
-0.173567,0.239532
-0.172855,0.24053
-0.172145,0.241529
-0.171437,0.242527
-0.17073,0.243525
-0.170022,0.244523
-0.169316,0.245521
-0.168613,0.246519
-0.167909,0.247517
-0.167206,0.248515
-0.166505,0.249513
-0.165806,0.250511
-0.165107,0.251509
-0.164885,0.00998052
-0.164408,0.252507
-0.163711,0.253505
-0.163017,0.254503
-0.162322,0.255501
-0.161627,0.256499
-0.160935,0.257497
-0.160245,0.258495
-0.159554,0.259493
-0.158864,0.260492
-0.158177,0.26149
-0.157491,0.262488
-0.156804,0.263486
-0.156118,0.264484
-0.155435,0.265482
-0.154753,0.26648
-0.154071,0.267478
-0.153389,0.268476
-0.152711,0.269474
-0.152034,0.270472
-0.151794,0.00898247
-0.151356,0.27147
-0.150679,0.272468
-0.150005,0.273466
-0.149331,0.274464
-0.148658,0.275462
-0.147985,0.27646
-0.147315,0.277458
-0.146646,0.278456
-0.145976,0.279454
-0.145308,0.280453
-0.144643,0.281451
-0.143977,0.282449
-0.143312,0.283447
-0.142648,0.284445
-0.141987,0.285443
-0.141325,0.286441
-0.140664,0.287439
-0.140004,0.288437
-0.139346,0.289435
-0.138703,0.00798441
-0.138688,0.290433
-0.138031,0.291431
-0.137375,0.292429
-0.136721,0.293427
-0.136068,0.294425
-0.135414,0.295423
-0.134762,0.296421
-0.134112,0.297419
-0.133462,0.298418
-0.132811,0.299416
-0.132164,0.300414
-0.131517,0.301412
-0.13087,0.30241
-0.130224,0.303408
-0.12958,0.304406
-0.128937,0.305404
-0.128293,0.306402
-0.12765,0.3074
-0.12701,0.308398
-0.12637,0.309396
-0.12573,0.310394
-0.12509,0.311392
-0.124454,0.31239
-0.123997,0.00698636
-0.123817,0.313388
-0.12318,0.314386
-0.122544,0.315384
-0.121911,0.316382
-0.121277,0.31738
-0.120643,0.318379
-0.120011,0.319377
-0.11938,0.320375
-0.11875,0.321373
-0.118119,0.322371
-0.11749,0.323369
-0.116862,0.324367
-0.116235,0.325365
-0.115607,0.326363
-0.114981,0.327361
-0.114357,0.328359
-0.113732,0.329357
-0.113107,0.330355
-0.112484,0.331353
-0.111862,0.332351
-0.11124,0.333349
-0.110618,0.334347
-0.109998,0.335345
-0.109379,0.336343
-0.108881,0.00598831
-0.10876,0.337342
-0.108141,0.33834
-0.107524,0.339338
-0.106907,0.340336
-0.10629,0.341334
-0.105674,0.342332
-0.10506,0.34333
-0.104445,0.344328
-0.103831,0.345326
-0.103217,0.346324
-0.102606,0.347322
-0.101994,0.34832
-0.101383,0.349318
-0.100771,0.350316
-0.100162,0.351314
-0.0995528,0.352312
-0.0989436,0.35331
-0.0983349,0.354308
-0.0977279,0.355306
-0.097121,0.356304
-0.0965141,0.357303
-0.0959078,0.358301
-0.0953031,0.359299
-0.0946984,0.360297
-0.0940937,0.361295
-0.0937642,0.00499026
-0.0934899,0.362293
-0.0928873,0.363291
-0.0922848,0.364289
-0.0916822,0.365287
-0.0910808,0.366285
-0.0904803,0.367283
-0.0898798,0.368281
-0.0892794,0.369279
-0.0886801,0.370277
-0.0880817,0.371275
-0.0874832,0.372273
-0.0868848,0.373271
-0.0862877,0.374269
-0.0856912,0.375267
-0.0850947,0.376266
-0.0844982,0.377264
-0.0839033,0.378262
-0.0833086,0.37926
-0.082714,0.380258
-0.0821193,0.381256
-0.0815264,0.382254
-0.0809336,0.383252
-0.0803408,0.38425
-0.079748,0.385248
-0.079157,0.386246
-0.0786479,0.00399221
-0.0785659,0.387244
-0.0779748,0.388242
-0.077384,0.38924
-0.0767946,0.390238
-0.0762052,0.391236
-0.0756158,0.392234
-0.0750268,0.393232
-0.074439,0.39423
-0.0738512,0.395229
-0.0732634,0.396227
-0.0726761,0.397225
-0.0720899,0.398223
-0.0715037,0.399221
-0.0709175,0.400219
-0.0703319,0.401217
-0.0697471,0.402215
-0.0691624,0.403213
-0.0685777,0.404211
-0.0679937,0.405209
-0.0674104,0.406207
-0.066827,0.407205
-0.0662437,0.408203
-0.0656612,0.409201
-0.0650793,0.410199
-0.0644973,0.411197
-0.0639154,0.412195
-0.0633343,0.413193
-0.0628007,0.00299416
-0.0627537,0.414192
-0.062173,0.41519
-0.0615923,0.416188
-0.0610126,0.417186
-0.0604332,0.418184
-0.0598537,0.419182
-0.0592743,0.42018
-0.0586959,0.421178
-0.0581176,0.422176
-0.0575393,0.423174
-0.056961,0.424172
-0.0563839,0.42517
-0.0558067,0.426168
-0.0552295,0.427166
-0.0546524,0.428164
-0.0540762,0.429162
-0.0535001,0.43016
-0.0529239,0.431158
-0.0523479,0.432156
-0.0517727,0.433154
-0.0511975,0.434153
-0.0506223,0.435151
-0.0500474,0.436149
-0.0494731,0.437147
-0.0488988,0.438145
-0.0483245,0.439143
-0.0477506,0.440141
-0.0471771,0.441139
-0.0468711,0.0019961
-0.0466036,0.442137
-0.0460301,0.443135
-0.0454571,0.444133
-0.0448843,0.445131
-0.0443116,0.446129
-0.0437389,0.447127
-0.0431667,0.448125
-0.0425946,0.449123
-0.0420226,0.450121
-0.0414506,0.451119
-0.040879,0.452117
-0.0403076,0.453116
-0.0397362,0.454114
-0.0391649,0.455112
-0.0385939,0.45611
-0.0380231,0.457108
-0.0374523,0.458106
-0.0368815,0.459104
-0.0363111,0.460102
-0.0357408,0.4611
-0.0351704,0.462098
-0.0346001,0.463096
-0.0340302,0.464094
-0.0334603,0.465092
-0.0328904,0.46609
-0.0323205,0.467088
-0.0317509,0.468086
-0.0311813,0.469084
-0.0309415,0.000998052
-0.0306118,0.470082
-0.0300423,0.47108
-0.029473,0.472079
-0.0289037,0.473077
