# Time	U	V	U_magnitude
29.4	-0.0290185	0.183287	0.18557
29.6	-0.0277557	0.181723	0.183831
29.8	-0.0265301	0.180145	0.182088
30	-0.0253246	0.178539	0.180326
30.2	-0.0241269	0.176882	0.178519
30.4	-0.0229402	0.175163	0.176658
30.6	-0.0217798	0.173396	0.174758
30.8	-0.0206597	0.171608	0.172847
31	-0.0195813	0.169819	0.170944
31.2	-0.0185334	0.168026	0.169045
31.4	-0.0175032	0.166209	0.167128
31.6	-0.0164874	0.164352	0.165177
31.8	-0.015495	0.162458	0.163195
32	-0.0145385	0.160546	0.161203
32.2	-0.013624	0.158637	0.159221
32.4	-0.0127464	0.156735	0.157253
32.6	-0.0118947	0.154828	0.155284
32.8	-0.0110619	0.152897	0.153297
33	-0.0102511	0.150938	0.151286
33.2	-0.00947235	0.148962	0.149263
33.4	-0.00873392	0.146989	0.147248
33.6	-0.00803567	0.145028	0.14525
33.8	-0.0073697	0.143072	0.143261
34	-0.00672781	0.141105	0.141266
34.2	-0.00610862	0.139119	0.139253
34.4	-0.00551862	0.137119	0.13723
34.6	-0.00496637	0.13512	0.135211
34.8	-0.00445523	0.133134	0.133208
35	-0.00398095	0.131159	0.13122
35.2	-0.00353575	0.129185	0.129233
35.4	-0.00311522	0.1272	0.127238
35.6	-0.00272219	0.125205	0.125235
35.8	-0.00236405	0.123211	0.123234
36	-0.00204631	0.12123	0.121247
36.2	-0.00176797	0.119265	0.119278
36.4	-0.00152262	0.117308	0.117318
36.6	-0.00130428	0.11535	0.115358
36.8	-0.00111264	0.113388	0.113393
37	-0.000953094	0.111428	0.111432
37.2	-0.000831814	0.109481	0.109484
37.4	-0.000750295	0.107553	0.107556
37.6	-0.000704155	0.105641	0.105643
37.8	-0.000687078	0.103735	0.103738
38	-0.000696328	0.101832	0.101835
38.2	-0.000734888	0.099935	0.0999377
38.4	-0.000808509	0.0980523	0.0980556
38.6	-0.000920343	0.096191	0.0961954
38.8	-0.00106806	0.0943507	0.0943567
39	-0.00124584	0.092525	0.0925334
39.2	-0.00144942	0.0907088	0.0907204
39.4	-0.00167953	0.0889026	0.0889185
39.6	-0.0019406	0.0871134	0.087135
39.8	-0.00223664	0.0853479	0.0853772
40	-0.0025671	0.0836077	0.0836471
40.2	-0.00292715	0.0818887	0.081941
40.4	-0.00331178	0.0801862	0.0802546
40.6	-0.00371978	0.0784992	0.0785873
40.8	-0.00415427	0.0768322	0.0769444
41	-0.00461936	0.075191	0.0753328
41.2	-0.00511539	0.0735785	0.0737561
41.4	-0.00563902	0.0719928	0.0722133
41.6	-0.00618512	0.0704297	0.0707008
41.8	-0.00675115	0.0688875	0.0692175
42	-0.00733865	0.0673687	0.0677672
42.2	-0.00795108	0.0658778	0.0663559
42.4	-0.00858976	0.0644186	0.0649887
42.6	-0.00925251	0.0629904	0.0636663
42.8	-0.00993472	0.0615902	0.0623863
