# Time	Value
50.2	-0.0411665
50.4	-0.0419439
50.6	-0.0427048
50.8	-0.0434492
51	-0.0441777
51.2	-0.0448898
51.4	-0.0455844
51.6	-0.0462594
51.8	-0.0469136
52	-0.0475469
52.2	-0.0481595
52.4	-0.0487516
52.6	-0.049322
52.8	-0.0498693
53	-0.0503924
53.2	-0.0508907
53.4	-0.0513647
53.6	-0.0518142
53.8	-0.0522388
54	-0.0526372
54.2	-0.0530084
54.4	-0.0533521
54.6	-0.0536684
54.8	-0.0539575
55	-0.054219
55.2	-0.0544522
55.4	-0.0546563
55.6	-0.0548308
55.8	-0.0549759
56	-0.0550919
56.2	-0.0551787
56.4	-0.0552358
56.6	-0.0552627
56.8	-0.0552591
57	-0.0552251
57.2	-0.0551611
57.4	-0.0550673
57.6	-0.0549436
57.8	-0.0547896
58	-0.0546053
58.2	-0.0543908
58.4	-0.0541467
58.6	-0.0538734
58.8	-0.053571
59	-0.0532396
59.2	-0.0528794
59.4	-0.0524906
59.6	-0.0520739
59.8	-0.0516301
60	-0.0511596
60.2	-0.0506628
60.4	-0.05014
60.6	-0.0495919
60.8	-0.0490194
61	-0.0484234
61.2	-0.0478046
61.4	-0.0471639
61.6	-0.046502
61.8	-0.0458197
62	-0.0451182
62.2	-0.0443985
62.4	-0.043662
62.6	-0.0429096
62.8	-0.0421425
63	-0.0413618
63.2	-0.0405688
63.4	-0.0397649
63.6	-0.0389517
63.8	-0.0381306
64	-0.0373029
64.2	-0.03647
64.4	-0.0356334
64.6	-0.0347949
64.8	-0.0339561
65	-0.0331186
65.2	-0.0322841
65.4	-0.0314541
65.6	-0.0306303
65.8	-0.0298145
66	-0.0290085
66.2	-0.0282139
66.4	-0.0274325
66.6	-0.026666
66.8	-0.025916
67	-0.0251842
67.2	-0.0244725
67.4	-0.0237825
67.6	-0.0231158
67.8	-0.022474
68	-0.0218587
68.2	-0.0212714
68.4	-0.0207135
68.6	-0.0201866
68.8	-0.0196921
69	-0.0192313
69.2	-0.0188053
69.4	-0.0184153
69.6	-0.0180624
69.8	-0.0177479
70	-0.0174726
70.2	-0.0172373
70.4	-0.0170429
70.6	-0.0168899
70.8	-0.0167789
71	-0.0167104
71.2	-0.0166849
71.4	-0.0167026
71.6	-0.0167635
71.8	-0.0168676
72	-0.017015
72.2	-0.0172054
72.4	-0.0174385
72.6	-0.017714
72.8	-0.0180311
73	-0.0183893
73.2	-0.0187878
73.4	-0.0192254
73.6	-0.0197014
73.8	-0.0202147
74	-0.0207637
74.2	-0.0213473
74.4	-0.0219639
74.6	-0.022612
74.8	-0.0232898
75	-0.0239959
75.2	-0.0247282
75.4	-0.0254845
75.6	-0.026263
75.8	-0.0270618
76	-0.0278787
76.2	-0.0287113
76.4	-0.0295572
76.6	-0.0304141
76.8	-0.0312796
77	-0.0321513
77.2	-0.0330268
77.4	-0.0339035
77.6	-0.0347789
77.8	-0.0356503
78	-0.0365152
78.2	-0.0373711
78.4	-0.0382152
78.6	-0.0390452
78.8	-0.0398583
79	-0.0406518
79.2	-0.0414231
79.4	-0.0421701
79.6	-0.0428905
79.8	-0.0435818
80	-0.0442414
80.2	-0.0448673
80.4	-0.0454575
80.6	-0.0460099
80.8	-0.0465223
81	-0.0469932
81.2	-0.0474209
81.4	-0.0478036
81.6	-0.0481401
81.8	-0.0484289
82	-0.0486691
82.2	-0.0488596
82.4	-0.0489996
82.6	-0.0490885
82.8	-0.0491259
83	-0.0491114
83.2	-0.0490449
83.4	-0.0489266
83.6	-0.0487567
83.8	-0.0485357
84	-0.0482642
84.2	-0.047943
84.4	-0.0475731
84.6	-0.0471556
84.8	-0.046692
85	-0.0461836
85.2	-0.0456322
85.4	-0.0450394
85.6	-0.0444072
85.8	-0.0437376
86	-0.0430328
86.2	-0.0422949
86.4	-0.0415263
86.6	-0.0407295
86.8	-0.0399067
87	-0.0390607
87.2	-0.0381939
87.4	-0.0373089
87.6	-0.0364083
87.8	-0.0354948
88	-0.034571
88.2	-0.0336395
88.4	-0.0327029
88.6	-0.0317639
88.8	-0.0308249
89	-0.0298887
89.2	-0.0289575
89.4	-0.0280341
89.6	-0.0271208
89.8	-0.0262199
90	-0.025334
90.2	-0.0244653
90.4	-0.0236162
90.6	-0.0227888
90.8	-0.0219853
91	-0.0212081
91.2	-0.020459
91.4	-0.0197403
91.6	-0.0190539
91.8	-0.0184018
92	-0.0177859
92.2	-0.0172079
92.4	-0.0166698
92.6	-0.0161732
92.8	-0.0157196
93	-0.0153106
93.2	-0.0149477
93.4	-0.0146321
93.6	-0.0143651
93.8	-0.0141477
94	-0.0139808
94.2	-0.0138651
94.4	-0.0138014
94.6	-0.01379
94.8	-0.0138313
95	-0.0139253
95.2	-0.0140719
95.4	-0.0142707
95.6	-0.0145212
95.8	-0.0148228
96	-0.0151745
96.2	-0.0155752
96.4	-0.0160235
96.6	-0.0165177
96.8	-0.0170561
97	-0.0176369
97.2	-0.0182577
97.4	-0.0189164
97.6	-0.0196105
97.8	-0.020337
98	-0.0210933
98.2	-0.0218769
98.4	-0.0226843
98.6	-0.0235122
98.8	-0.0243576
99	-0.025217
99.2	-0.0260875
99.4	-0.0269653
99.6	-0.0278471
99.8	-0.0287291
100	-0.0296078
100.2	-0.0304799
100.4	-0.0313417
100.6	-0.03219
100.8	-0.0330214
101	-0.0338327
101.2	-0.0346206
101.4	-0.0353818
101.6	-0.036113
101.8	-0.0368118
102	-0.0374755
102.2	-0.0381012
102.4	-0.0386865
102.6	-0.0392294
102.8	-0.0397276
103	-0.0401793
103.2	-0.0405831
103.4	-0.0409373
103.6	-0.0412409
103.8	-0.0414929
104	-0.0416927
104.2	-0.0418398
104.4	-0.0419339
104.6	-0.0419752
104.8	-0.0419638
105	-0.0419004
105.2	-0.0417856
105.4	-0.0416203
105.6	-0.0414059
105.8	-0.0411435
106	-0.0408347
106.2	-0.0404813
106.4	-0.0400851
106.6	-0.0396481
106.8	-0.0391724
107	-0.0386603
107.2	-0.0381139
107.4	-0.0375358
107.6	-0.0369282
107.8	-0.0362937
108	-0.0356347
108.2	-0.0349537
108.4	-0.0342532
108.6	-0.0335356
108.8	-0.0328033
109	-0.0320587
109.2	-0.0313043
109.4	-0.0305424
109.6	-0.0297751
109.8	-0.0290048
110	-0.0282337
110.2	-0.0274639
110.4	-0.0266976
110.6	-0.0259369
110.8	-0.0251838
111	-0.0244405
111.2	-0.0237089
111.4	-0.0229911
111.6	-0.0222891
111.8	-0.0216049
112	-0.0209405
112.2	-0.020298
112.4	-0.0196792
112.6	-0.0190862
112.8	-0.018521
113	-0.0179855
113.2	-0.0174815
113.4	-0.0170109
113.6	-0.0165755
113.8	-0.0161772
114	-0.0158174
114.2	-0.0154977
